id,trans
filename,scene_evt160613_cp1_q4_s20
translator,Gemini
info,scene_evt160613_cp1_q4_s20
48,「空中连结的羁绊物语」斯坦篇\n“映照眼眸的蔚蓝”\n　　　　　　　　　　　　　──终章
47,斯坦带着满脸笑容用力地挥了挥手，\n消失在了黑色裂缝的另一边──
46,大家……真的非常感谢！\n……再会！！
45,告诉他们我受了\n大家很多照顾。
44,哈哈哈！说的也是。\n不过等回去以后我会告诉那边的同伴的。
43,我们其实\n并没有见过那个叫里昂的家伙，\n他听到应该会很吃惊吧。
42,啊！\n我会转达的！
41,请代我向里昂先生\n问好！
40,好的！
39,哦，路上小心！
38,说的也是……\n那，我走了！
37,是啊。\n而且，我也不知道\n为什么会发生这种事。
36,不管怎么说还是快点比较好。\n总感觉很不稳定，\n不知道什么时候会消失。
35,啊，\n裂缝稍微变大了！\n这样应该就能通过了！
34,哇哇！？
31,欧根将从斯坦\n手中接过的枪\n对准了黑色裂缝的边缘。
30,好。
29,啊？\n我知道了。
28,对了。\n哥哥，你稍微\n往后退一点。
27,没什么，我也没做什么。
26,是啊，真的。\n谢了，哥哥。
25,卡住了。\n还好没有被完全吞噬进去。
24,嗯……？\n那不是我的枪吗！
23,嗯……\n啊，拿到了！
22,这次怎么了？\n把手伸到裂缝里……
21,啊！\n这不是……
20,斯坦朝着那道黑色的裂缝\n走去，并向里面窥探。
19,真的。\n不知道能不能钻过去……
18,但是，好像\n变小了很多……
17,哦，好像还在。
15,啊！！\n那道裂缝！\n还在吗！？
14,也是。\n那么，我得赶快……
13,啊啊。应该是这样没错。\n那家伙说不定\n也在到处寻找\n消失的你呢？
12,这么说来，里昂\n并没有来到这个世界\n对吧……？
11,哈哈！\n的确如此！
10,不过不管怎么说，\n还好朝我挥刀相向的家伙\n不是里昂！
9,原来如此。\n我被裂缝吞噬的时候，\n本来想试着对里昂\n说些什么的……
8,一开始呈现出那个叫里昂的家伙的模样\n也是因为读取了\n哥哥你的意识和记忆吧。
7,居然能读取我们这边\n的力量和意识，\n真是拥有着不得了的力量啊。
6,呼～\n总算是解决了。
5,一行终于成功地\n将星晶兽打倒了。
0,────……
0-synopsis,姬塔一行打倒的星晶兽拥有与对方意识和力量产生共鸣的能力，它之所以会呈现出里昂的模样，大概是因为斯坦在来到这个世界的时候意识被读取了。星晶兽消失后留下了一道黑色的裂缝，斯坦在里面发现了欧根的枪。就这样，斯坦从黑色的裂缝中顺利地回到了自己的世界。
0-chapter_name,斯坦篇　映照眼眸的蔚蓝
