id,trans
filename,scene_evt150930_cp3_q2_s10
translator,Gemini
info,scene_evt150930_cp3_q2_s10
36,……真是的。
35,好了，跟上我，\n露莉亚，姬塔！\n我还没逛够呢！
34,也好。\n我也叫你们的名字吧，露莉亚。
33,呵呵，我是露莉亚啦！
32,嗯。\n就这样吧，苍之少女哟。
31,啊，原来如此……\n那以后我就叫您\n丝卡萨哈酱吧！
30,迪尔德丽这个名字太有名了。\n在大街上被人叫这个名字，\n会引起别人注意的。
29,嗯？那是什么？
28,叫我丝卡萨哈。
27,一声不吭就消失了，\n我们当然要出来找您啊，\n迪尔德丽大人。
26,怎么了，这么快就被追上了。
25,……露莉亚殿下！？
24,啊！\n诺伊修先生他们在那儿！\n诺伊修先生～！
23,嗯？
22,丝卡萨哈！\n不许乱碰店里的东西。
19,奶奶，你说那两位骑士哥哥\n是往那边那条路走的对吧？\n我们过去看看吧，姬塔！
18,……真是太好了，这座岛屿恢复了生机。\n我为岛上的居民们感到自豪。
17,确实……曾经一度\n孩子们连房子都不能出。
16,那么小的孩子，\n能这么轻松自在地出来买东西……\n感觉真的像是回到了过去一样啊。
15,呼……太好了……
14,他们往那边那条路走了。\n呵呵，看起来关系挺好的呢。
13,我们向镇上的人们打听了一圈，\n卖头饰的老奶奶\n告诉我们说他们两个来过。
10,好！\n那我们就出发去找诺伊修和迪尔德丽吧！
9,您说得对。\n会议的事就交给您了，姐姐大人。
8,塞鲁艾尔，你\n跟姬塔小姐他们一起吧。\n应该需要一个熟悉城市地理环境的人。
7,如果是这样的话，就交给我们吧！\n对吧，姬塔。
6,我想赶紧去找，\n但我接下来有个会要开。\n能请你们帮帮忙吗？
5,无论如何，等迪尔德丽大人\n出了什么事就晚了。
4,唔～嗯，我感觉\n迪尔德丽那家伙\n还挺好相处的啊。
3,不排除这种可能性。
2,该不会是，\n迪尔德丽还在为之前那具身体被毁掉的事生气，所以……
1,是啊。而且，迪尔德丽大人也不见了。\n两人一起消失不见……\n总觉得不简单。
0,诶！\n诺伊修先生不见了！？
0-synopsis,塞鲁艾尔发现诺伊修和丝卡萨哈不见了，于是姬塔一行人便前去找他们。找到两人后，一行人在丝卡萨哈的带领下开始逛城下町。
0-chapter-name,第三话 可爱的故乡
