id,trans
filename,scene_evt180809_cp4_q2_s10
translator,Gemini
info,scene_evt180809_cp4_q2_s10
93,面对着来到这个世界后所见过的\n最大威胁，\n三人吓得瑟瑟发抖。
92,（好大……）
91,…………？
90,…………
89,提亚玛特轻轻点了点头。\n看来正如露莉亚所说，\n她（？）并不坏——
88,…………
87,请、请、请助我们一臂之力……
86,那、那个……\n丸我有准备台词……
85,提亚玛特仿佛在等待三人的指示\n向这边看来。
84,…………
83,啊，初次见面……
82,提亚玛特、小姐……zura……？
81,这、这这这、这就是……
80,…………
79,等回过神来，她们发现自己\n被露莉亚召唤出的星晶兽用手掌接住了。
78,…………
73,三人被吹飞到空中。
65,哇！？\nzura！？\n呀！？
59,下一瞬间，一股格外强劲的风吹过——
58,应该、没事的zura，大概……\n露莉亚说过「会有强大又温柔的孩子\n来帮忙」……
57,啊，花丸，善子……！？
56,诶……等……？
55,露莉亚解放力量的同时\n狂风大作。
49,────……！！
47,孕育了古代巴比伦的伟大母亲，\n连接了底格里斯河与内浦的\n生命之主，汝之名为，提亚玛特！
46,来吧，卑劣又下等的人类啊。\n就让你们见识见识我的力量吧。
45,虽然对善子的开场白感到困惑，\n但人们还是渐渐聚集到舞台周围\n查看情况。
41,我完全不明白……\n但她好像要做什么\n很可怕的事情……！？
40,那孩子是谁……！？\n她在说什么……！？
37,要不要成为\n我的小恶魔呢？
36,来吧，田纳西的民众们！\n侧耳倾听这堕天使夜羽的声音吧！然后……
35,吾乃堕天使夜羽！\n在巴比伦众神的指引下\n降临于此！
29,是从中央广场那边传来的……！？\n这是要干什么！？
28,什……什么！？\n这声音是怎么回事！？
27,卑劣又下等的人类啊，\n回应我的呼唤吧！
26,镇民们\n依然愁眉苦脸。\n这时——
25,啊啊……\n真希望我能有力气在面粉里加水……\n我再也不想做面包了……
24,也是……\n算了。我怎么样都无所谓，\n就这样枯萎掉好了……
23,不可能……我根本\n提不起劲揉面团……
22,我说，我想买面包。
14,有露莉亚在，\n一定没问题的zura。
13,……没问题吗……
12,呵呵……\n拜托你了，露莉亚。
11,加油吧，善子小姐！
10,没错。\n就让你见识见识堕天使夜羽的真正实力。
9,也差不多该轮到善子出场了！
8,既然如此……
7,伊欧，干得好♪
6,成功了……！\n照明好像也没问题了，\n都做到这份上了，修理就等于完成了！
5,这时，共鸣器里传来了刺耳的噪音\n响彻四周。
4,师傅教给我的事情，\n我绝对要派上用场……！
3,她紧盯着上面刻画的魔法术式，\n确定故障部位，用尽各种方法\n继续进行修理。
2,碧、露莉亚以及Aqours的成员们\n在打扫舞台的时候，\n伊欧正在修理共鸣器。
1,嗯……\n这个器材使用的术式是……
0-synopsis,碧一行人与Aqours齐心协力准备好了舞台，终于要开始执行作战计划了。善子利用伊欧修好的器材，在舞台上夸大其词地发表演说，被煽动起不安情绪的镇民们渐渐聚集到舞台周围查看情况。接着，在善子的示意下，露莉亚解放力量，召唤出星晶兽提亚玛特。面对提亚玛特庞大的身躯，善子等人吓得瑟瑟发抖，但作战计划仍在继续进行。
0-chapter_name,第四话  重燃热情！
