id,trans
filename,scene_fate_chr083_ep1
translator,Gemini
info,scene_fate_chr083_ep1
67,她改头换面，\n精神饱满。
66,就这样，法拉\n找到了骑士见习这条新的道路。
65,唔唔～……\n我不擅长理论学习……
64,呵呵，要教你的东西有很多。\n剑术训练，举止仪态的指导……\n还有理论学习。
63,原来如此……\n既然你想要成为骑士，\n那我就把你培养成一名合格的骑士吧。
62,我不会再迷茫了！\n我是骑士！\n骑士见习！
61,唔……\n你，也就是说，迷失了\n前进的方向……
60,不愧是前辈！\n您总是走在我的前面！
59,「作为骑士」！ 对！\n我想成为像卡塔莉娜前辈那样……\n像前辈那样的「骑士」！
58,诶？\n是，是吗？
57,前辈！ 就是这个！\n那就是我一直想要的！
56,咳咳……\n也没什么大不了的。\n你应该也无法参考吧……
55,哈啊……\n作为骑士……啊！
54,呃……是在我第一次被授予佩剑的时候。\n我找到了作为骑士的生存方式，\n迷茫也就随之消散了……
53,我可能，找不到每天训练和学习的\n意义所在吧。\n后来，因为某个契机……
52,怎么说呢……大概是你这个年纪的时候吧。\n我并不是对什么感到不满。\n但我的确有过迷茫的时候。
51,真的吗！？\n我想听听前辈的故事！
50,说起来……\n啊……我想起来了。\n我也有过那样的时期。
49,这样的烦恼，\n前辈肯定没有过吧……
48,呃……\n怎么说呢……
47,这种时候……\n前辈会怎么做？
46,啊啊啊啊啊！\n果然不行！
45,什，什么！？\n这才刚开始讲……
44,喂！\n她睡着了！
43,嘿嘿……前辈……
42,呼啊……
39,……好吧！\n就由我来执教吧！
38,拜托了！前辈！\n我也想克服不擅长的理论学习！
37,怎么说呢……\n硬要说的话，你的理论学习……
36,前辈！ 我想听听你的真心话！\n我还缺少些什么！？
35,呼，呼……\n还是没什么实感……
34,怎么样？\n有什么收获吗？
33,呼～……\n累死我了……
32,呼，呼……
30,法拉带着碧，跑到外面。\n她拖着很快就累趴下的碧，\n绕着飞艇跑了起来。
28,为什么是我！？
27,碧！ 陪我一下！
26,对！\n我的体力还不够！\n我要打起精神去跑步！
25,怎么样？\n有什么收获吗？
24,咕呜呜……\n我不能在这里就倒下！
23,真是的……\n我不是一直都说不要勉强吗？\n没事吧？ 你们两个。
22,呼，呼……
20,姬塔被法拉拉着手，\n来到了外面。\n就这样开始的训练极其惨烈──
18,陪我练吧！姬塔！\n我要反复练习真·无双破斩！
17,「听着，法拉，每天的反复练习很重要」\n前辈是这么说的！
16,新的招式……？\n不！ 一定是这个！\n我要把新招式练到炉火纯青！
15,我说～……怎么样呢？\n前些日子你不是才\n学会了新的招式吗？
14-sel2_txt,坚不可摧的体力
14-sel1_txt,一击必杀的招式
14,唔……\n法拉缺少的东西吗……\n你觉得是什么呢？姬塔。
13,唔……\n你的实力也并没有停滞不前\n而且……
12,啊啊啊！\n我不知道！\n我总觉得缺少些什么！
11,对！ 那就是问题所在！
10,呃……\n那还有什么……
9,最近，前辈们\n也开始依赖我了……\n我也有了自信！
8,就是少了些什么！\n我的剑术确实……\n是有进步，吧。
7,我说不上来……\n只是，现在的我，总觉得少了些什么！
6,对吧？法拉。\n你到底在烦恼什么？
5,不，我倒不这么认为……\n找到适合你身材的铠甲后，\n你的动作不是变得比以前更好了吗？
4,总感觉自己变得没用\n了……
3,我不是累了……\n总觉得……\n我在想……
2,喂喂……\n没事吧？\n累了吗？
1,你怎么了，法拉？\n今天怎么\n感觉你无精打采的。
0,唔啊啊啊～……
0-synopsis,最近，法拉为「自己缺少些什么」而感到烦恼。为了解决烦恼，一行人也来帮忙，但法拉自己也不明白原因。走投无路的她向卡塔莉娜进行了咨询。听完卡塔莉娜讲述自己年轻时的经历后，法拉发誓要以「骑士见习」的身份，成为像卡塔莉娜那样的骑士。
0-chapter_name,前辈的背影
