id,trans
filename,scene_evt151031_cp2_q4_s10
translator,Gemini
info,scene_evt151031_cp2_q4_s10
48,抱着千钧一发之际救下的向导，\n呆呆地望着同伴掉落的谷底。
47,好险啊，喂……\n怎么回事，从刚才开始……\n上面有什么东西吗？
46,被滚落的原木卷入，\n两人掉进了谷底。
45,呀啊啊啊！！
43,连斯慌慌张张地跑到向导身边。\n然后——
42,哦哦哦哦！？
41,连斯抬头望去，\n那里尘土飞扬。
40,……啊？
38,嘿嘿……你们，\n也太得意忘形了吧……
37,今年第一批天竺茸，\n到手啦！
36,哈哈哈！\n这下好了！
35,呵呵呵……太好了！\n进山里什么都采不到的情况，\n经常发生的哦？
34,喔哦！
33,天竺茸啊，\n采摘它是有诀窍的。\n像这样轻轻地……看！
32,可恶！终于找到了！\n差点就空手而归了！
31,真的假的！\n在哪儿呢大婶！
30,哎呀？\n啊，你眼神真好！\n是天竺茸哦！
29,啊？\n喂，大婶，那个……
24,没什么，我的目标是这边的树枝！\n来，帮忙生火！
23,呜……呜诶！？\n好不容易砍倒的\n为什么要这么做啊！
22,将砍倒的树干\n踢下了悬崖。
21,哼！
20,无视这一切，尤达拉哈\n将枯树的树枝砍了下来。\n然后——
19,对喘着粗气的两人\n送上慰问的碧和露莉亚。
18,哦哦……\n看起来没受伤，\n没事吧？累坏了吧？
17,啊哈哈……\n两、两位都辛苦了……\n要喝水吗？
16,呼，呼……\n结、结束了……
15,姬塔\n打倒最后一只魔物的瞬间，\n法拉也成功地砍倒了树木。
13,…………！
12,那么，\n差不多该结束了……
11,让他们砍栗子做准备运动真是正确的选择。\n不好好活动活动眼睛\n那些魔物可是很敏捷的。
10,蜥蜴，你小子还挺有眼光的嘛！\n那种数量的对手\n用斧头的话太重了，有点吃力啊！
9,老头子，你从一开始就打算让他们\n和那些魔物战斗吧。
8,看着两人\n拼命挥剑的样子\n碧像是领悟了什么似的嘟囔道。
7,啊，原来如此……\n我明白为什么要用剑了。
6,无暇顾及绳索\n忙于应对魔物\n的法拉和姬塔。
5,等、师父！？\n这太危险了！
3,魔物接连不断地涌现出来。\n姬塔和法拉\n拼命地挥舞着剑。
2,布布布布布！！
0-synopsis,好不容易击退魔物，砍倒树木的法拉一行。尤达拉哈只取了树枝，便将树干踢下了悬崖。悬崖下是连斯一伙人。突然，他们躲闪不及滚落下来的原木，两个暴徒掉进了谷底。
0-chapter_name,第二话 师父的修行
