id,trans
filename,scene_evt230829_cp1_q2_s10
translator,Gemini
info,scene_evt230829_cp1_q2_s10
173,从长眠中醒来的，\n拉伽佐。
172,将布递给三人，\n投来担忧目光的人物是──
171,…………！！
170,不用在意。\n比起那个，您没事吧？
168,哦哦，干净的白布……！\n谢谢──
167,如果不介意，\n用这个吧？
164,这块手帕已经不行了……\n得找块新的干净的布──
163,可恶……！\n完全止不住啊……？
162,但是，鼻血止不住地\n流淌，手帕都快\n能拧出血来了。
161,场面一片混乱，\n兰德尔捂住了鼻子。
160,流得还挺厉害的……\n给，手帕。
158,什么……！？\n呜哇，真的假的……！
155,……喂，兰德尔？\n没事吧？　你流鼻血了？
154,嘛，少一颗没事的吧！\n兰德尔也吃烤波姆吗？\n酱汁最多的地方──
153,弄丢了吗！？\n用魔法医术的话说不定\n还能粘回去，你在干嘛啊……
152,……啊咧？\n奇怪了，我应该\n放进口袋了啊……
151,哈哈，别客气──
150,不，不用了！\n我也不知道该怎么反应！
149,啊啊！\n突然掉了一颗臼齿。\n看，你瞧瞧这个！
148,牙……？
147,热乎乎的倒是挺好。\n喂，你的牙没事吧？
146,你买的净是烤的东西嘛。
145,<span class='scene-font-4'>唔哦哦哦哦哦！！</span>\n烤鱿鱼！　炒面！\n烤红薯！　烤波姆啊啊啊！
144,另一方面，逛着摊位的菲扎等人，\n抱着大量装着食物的容器。
138,…………！？
137,库皮碳刚开口，\n下一瞬间──
136,……那个呢，缇酱。\n是关于膝枕时做的梦──
119,…………
118,（但是……\n她对特利斯提特的感情……）
117,缇可回想起库皮碳\n以前说过的话，\n露出了复杂的表情。
111,就算看不见……\n不，正因为看不见，\n才能成为朋友，对吧？
110,如果依赖「虹之弓」，\n就无法维持对等的关系了。\n甚至可能会被崇拜。
109,……因为姬塔小姐她们，\n接受了我。
103,（……库皮碳变了。\n现在也低着眼，小心翼翼地\n不去窥视我的感情……）
102,…………
101,小莉丝就是小莉丝。\n大家也是重要的朋友，\n但谁也无法替代她。
100,即使在骑空团交了其他朋友，\n这份心情还是没有改变吗？
99,缇可大约每周一次，\n会听库皮碳说说特利斯提特的事，\n以此帮助她整理心情。
98,特利斯提特──\n是库皮碳追寻的纳比斯监察员，\n也是她幼时相遇的特别的朋友。
97,……还是会忍不住去想。\n想着好想见小莉丝啊。
96,最近……怎么样？\n关于特利斯提特的事。
95,缇可转向库皮碳，\n用若无其事的语气开口。
94,不行！\n那样缇酱就\n变成一个人了。
93,库皮碳你也和大家一起\n出去就好了。\n照顾拉伽佐有我一个人就……
92,为了让拉伽佐无论何时醒来\n都有了解情况的人能够应对，\n便一直有人守在他身边。
91,虽然拉伽佐的状态稳定，\n但身为医生的缇可既然要外出，\n为防万一还是有必要带着他──
90,另一方面，在旅馆一个房间的床上\n躺着拉伽佐，\n缇可和库皮碳在他身旁。
84,好，您多保重～！\n要好好吃饭好好睡觉哦～！
81,……再见。
80,虽然不是量的问题……\n说了也没用吗……
79,可露露掰开面包，\n塞进了男人纤细的手中。
78,啊啊，那就一半！\n至少请收下一半吧！
77,……我不想见到你。\n我……要走了……
76,又来了～！\n不过看您还有精神开玩笑，\n我就放心了！
75,我……也不去厕所。
74,啊，我真是的！\n一边递面包一边说拉撒的事……\n实在太抱歉了……！
73,…………
72,母亲也说过。\n无论是伟大的国王，还是无名小岛的居民，\n吃喝拉撒都是一样的……
71,呼呼呼……\n不需要食物的人，\n这世上可不存在！
70,食物……不需要……
69,……为了变得空空如也，\n我……才待在这里的……
66,啊，那个……
65,……………………
64,请用！
63,………………
62,来吧来吧！
61,…………
60,肚子空空的痛苦我可是\n深有体会……\n来，先吃这个面包吧！
59,是的！\n为了以防饿得受不了的时候，\n我总是揣在怀里的。
58,……面包？
56,那个，\n如果不嫌弃的话请用这个！
