id,trans
filename,scene_evt150731_cp5_q1_s10
translator,Gemini
info,scene_evt150731_cp5_q1_s10
50,哈！\n别说梦话了。\n……快点，赶紧的！
49,哦，这样啊！\n大哥，你真是个好孩子啊！
48,就让本大爷艾尔莫特，\n把老爷子那老掉牙的回忆\n覆盖掉吧！
47,把你说的那个特沃努斯炙鱼的\n做法，\n教给我！
46,嗯？\n什么条件？
45,……真麻烦。\n要我教你，我也有\n条件。
44,……啊，大哥你也很忙，\n抱歉说了这么多。\n能教教我厨房的事吗？
43,啊，是啊。\n我老婆做的，那可真是美味啊。
42,……是老爷子的回忆之味吗？
41,最佳火候的\n特沃努斯炙鱼……\n我已经有多少年没吃过了……
40,这样啊……真可惜。\n以大哥你的魔法，\n应该也能做到精细的炙烤。
39,咳！真是麻烦啊。\n我可不想做。
38,这种判断太难了，\n现在的年轻人可做不出来。
37,要根据鱼肉的厚度和脂肪含量，\n以及状态来判断火候。
36,把特沃努斯的鱼肉烤一下，\n用冷水冷却后再切成薄片。\n这火候的掌握可是很难的。
35,特沃努斯……炙鱼？\n那是什么东西。
34,不不不，可没那么简单。\n这……特沃努斯炙鱼，\n大哥你或许也能做出来。
33,咳！\n我只是在烤我想烤的东西而已。
32,哦，这可真厉害！\n居然能用魔法控制火候。\n真是灵巧啊！
31,说着，艾尔莫特\n在灶台里生起了火。
29,啊……嘛，我\n对用火比较熟悉。
28,呀，真是个很棒的厨房啊！\n这里，都是大哥你在\n管理的吧。
27,啊，谢谢你。\n这点小事没事的。
26,……老爷子，\n你就是仁说的那个渔夫吧？\n听说你生病了，没事吗？
25,抱歉啊，大哥。\n我会做美味的饭菜，\n你就原谅我吧。
24,啊！！\n等等，杂货店老板娘！！\n……切，跑了。
22,拜托您了～！
21,哈？\n为什么是我……
20,他会用到这个厨房，\n请您教教他怎么使用吧～
19,是的～！\n今天卡塔库里先生\n会来做饭哦～
18,什么事啊？\n今天的营业也快结束了吧。
17,艾尔莫特先生～，\n能打扰一下吗？
14,好耶！\n我很期待哦，\n渔夫爷爷！
13,不胜感激！
12,我做的饭菜虽然是乡下菜，\n但还是想让你们吃个饱。\n所以就过来问问你们什么时候有空。
11,所以啊，出海之前\n得吃点\n能补充精力的东西才行。
10,确实……\n可不是什么轻松的钓鱼\n就能搞定的啊。
9,倒也没什么事，\n钓特沃努斯可是\n很费精力和体力的。
8,卡塔库里大人？\n您有什么事吗！
7,喂——，仁的哥哥～！
5,抱歉了！\n我会记在心里的。
4,不用担心海之家，\n请务必\n帮助仁先生～！
3,说到特沃努斯\n据说只有极少数渔夫\n才能钓到，是最高级的鱼～
2,……我知道了～！
1,是啊！\n所以，我们也想\n帮帮仁……
0,原来如此～，仁先生终于要挑战特沃努斯了吗～！
0-synopsis,为了准备与莫德里克特沃努斯之间的决战，卡塔库里决定做些料理来鼓舞士气。在海之家的厨房里，卡塔库里向艾尔莫特传授了用他的火焰制作特沃努斯炙鱼这道料理的方法。
0-chapter_name,第五话  炙鱼之路
