id,trans
filename,scene_evt240928_cp1_q4_s10
translator,Gemini
info,scene_evt240928_cp1_q4_s10
63,不知不觉间，夕阳西下，\n骑士们的影子被拉得又细又长，\n投射在地面上。
62,莫德雷德再次\n推了一下亚瑟的肩膀，嗒的一声，踢了一下地面，\n向前迈了半步。
61,……当然会再见面的。\n笨蛋亚瑟，
60,……我们还会再见的，修女，\n还有孤儿院的孩子们……
59,啊……也对。\n嗯，你说得对。
58,什么也不用说。\n让她看到我现在的样子\n就足够了。
57,你这是狡辩～！\n见到修女你要怎么说\n啊！？
56,为了不弄丢\n我一直把它放在枕头里！
55," <span class='scene-font-4'>你烦不烦啊！！</span>\n出发太突然了，没办法吧！？"
54,你是说你忘了带！？\n难以置信！\n这么重要的东西居然忘了带！
53," <span class='scene-font-4'>怎么可能弄丢！</span>\n我放在房间里了！"
52,难道说你弄丢了！？
51,诶，你这什么反应……
50,……嗯，啊。
49,莫德雷德你也有\n一样的吧。
48,这是为了参加入团考试\n前往王都时，孤儿院的\n修女给我的护身符。
47,那是什么？
46,亚瑟拼命地\n抚平皱巴巴的小袋子。
45,<span class='scene-font-4'>啊！糟糕！</span>\n修女给我的护身符！
44,话说，你手里拿的什么东西？\n握那么紧都皱巴巴的了……
43,我知道啦～！
42,还有你……\n我我我的，烦死了！\n这些话都是我的台词！
41,那还用说。\n我们现在是为了什么在走路啊。
40,……也是。你说得对。\n现在还来得及，对吧。
39,因为你成为了骑士，\n所以才能去救人。
38,莫德雷德\n轻轻地推了一下僵硬的亚瑟的肩膀。
37,你不是已经成为骑士了吗！
36,我，就是为了这个\n才想成为骑士的……！
35,我不想让更多人\n和我一样……所以，我想守护国家，守护人民，\n我想帮助他们……
34,亚瑟满怀着无处安放的思绪\n紧紧地握紧了拳头。
33,我绝对不允许那种事发生……！
32,如果这场战争扩大……\n说不定会有很多\n像我们这样的孤儿出现。
31,不过……
30,我无所谓。\n我在菲迪拉克长大\n觉得自己就是这个国家的人。
29,……谁知道呢。
28,亚瑟和莫德雷德\n可能是希贝鲁古莱夫\n人？
27,啊，那岂不是说……
26,15年前的战争中希贝鲁古莱夫\n灭亡了，此后那里便成了阿尔巴诺姆的\n领地。
25,……我们现在要去的贝顿地区\n原本是与希贝鲁古莱夫接壤的地方。
24,原来如此……
23,修女说，从时间上来看，\n这种可能性很高。
22,不过，具体情况\n我也不清楚。
21,嗯……我和莫德雷德\n成为孤儿\n好像也是因为那场战争。
20,托涅利罗露出惊讶的表情，\n亚瑟轻轻地点了点头。
19,啊，难道说……
18,哎……正好是\n我们出生的时候啊。
17,希贝鲁古莱夫和阿尔巴诺姆之间\n发生战争是在\n15年前。
16,诶？什么？
15,是14……不，15年前。
14,啊，好像在10年还是20年前\n灭了希贝鲁古莱夫来着……\n教科书上也就写了这些吧。
13,嗯……历史课上\n也几乎没学过\n阿尔巴诺姆的事。
12,再说，菲迪拉克和阿尔巴诺姆\n早就断交了吧。
11,说是和这次烈人的事有关……
10,……话说回来，为什么现在\n阿尔巴诺姆要入侵\n菲迪拉克呢……
9,这样啊……
8,嗯……不过\n翻过一座小山\n就到阿尔巴诺姆了。
7,不……严格来说\n并不是边境小镇。
6,你们俩出生的……那家孤儿院\n离边境那么近吗？
5,……是啊。
4,亚瑟、莫德雷德……\n你们都很担心故乡吧……
3,而亚瑟等见习骑士，\n则沉默寡言地走在队伍的后方。
2,…………
1,韦恩将见习骑士队的指挥权\n托付给凯伊之时——
0-synopsis,亚瑟一行人边走边聊着关于阿尔巴诺姆的话题。此次遭受入侵的亚瑟等人故乡所在的地区，曾经与希贝鲁古莱夫接壤，15年前阿尔巴诺姆灭了希贝鲁古莱夫，那里便成了与阿尔巴诺姆的边境。为了保护人民免遭战火，亚瑟等人怀着新的决心前往边境。
0-chapter_name,第一话 落日
