id,trans
filename,scene_evt201129_cp4_q1_s10
translator,Claude 3 Opus
info,scene_evt201129_cp4_q1_s10
105,出现在震惊的众人面前的，\n是率领着元老院的人们\n的玛卡基乌。
104,不……「前」女王（阿莉）\n菲露露卡。
103,辛苦你长途跋涉了。\n女王（阿莉）。
101,为什么……？\n发生什么事了……？
100,明、明明那么……\n努力……呜……\n想要改变的……
99,我、我的库法……\n被破坏掉了……
98,你说什么！？
97,这就是原本的库法。
96,而且这是什么，\n到处都插着武器……\n感觉好不吉利。
95,不仅建筑物，就连马车和走艇\n也都被破坏得不成样子！
94,…………
93,众人回来的库法，\n已经变成了惨不忍睹的模样。
92,村子变得一片狼藉……
91,这、这是什么……
85,然后众人花了几天时间，\n总算回到了库法，但是——
84,众人对库·凯欧洛埃瓦的话语\n感到不安，却还是在晴朗的天空下前行。
83,风暴要来了。
77,…………
74,女王（阿莉），菲露露卡。\n神谕会在风暴之后……
72,这时，库·凯欧洛埃瓦\n慢慢睁开眼睛，\n温柔地注视着众人的背影。
71,在涅莫涅劝说梅路和菲露露卡的同时，\n众人转身朝出口走去。
70,好啦好啦！\n一定是害怕了吧，\n这也是没办法的事——！
69,用不着……\n说得这么直白……呜……
68,都是露露姐的错。
67,都是露露姐的错\n才没给我们神谕。
66,嗯——\n在这里也没什么事，\n回去吧……
65,真是任性的家伙啊。
64,他、他睡着了呢。
63,…………
60,神（我）能说的\n就这么多了……\n嗯，有点累了……
59,风暴……？\n明明是万里无云的晴天啊？\n完全没感觉到那样的气息……
58,是要吞噬一切的\n巨大风暴……做好准备。
57,"好了，快回去吧。\n<span class='scene-font-spword'>""风暴""</span>要来了，女王（阿莉）。"
56,呃……总觉得……\n那家伙只对我\n特别严厉……
55,抱歉，这是规矩。
54,喂，别说了！\n会被骂的……！
53,呜——小气鬼——\n真是个吝啬的神明啊——
52,碧被库·凯欧洛埃瓦的咆哮吓得发抖，\n不由自主地躲到了姬塔身后。
51,咿！？
50,闭嘴，小龙！
49,我说……神明大人啊，\n别说这么死板的话嘛……
48,这、这样啊……\n呜呜……
47,连力量都无法展现之人\n是得不到神谕的。
46,没想到女王（阿莉）\n竟然一点也没战斗……不仅如此\n还昏了过去，真是可悲。
45,诶……！？
44,已经结束了……
43,呜……呜呜……哇！？\n战、战斗呢！？
41,梅路轻轻摇了摇菲露露卡的肩膀。
40,喂，快醒醒？
39,哈。\n我就觉得怎么这么安静……
38,什、什么时候\n昏过去的！？
37,哇！？露露姐！？
36,只见菲露露卡\n失去意识倒在那里。
35,呜……
34,听到库·凯欧洛埃瓦的话，\n众人回头看去。
33,……看看你们身后吧。
32,咿……
30,想被吃掉吗。
29,怎么能这么简单就回去！\n我们可是为了神谕而来的！
28,你们没有接受神谕的资格。\n回去吧。
27,我只是说认可你们\n作为嬉戏的对手而已。
26,为什么啊！\n不是已经认可我们了吗！？
25,诶——！？
24,不，很遗憾，我不能给你们神谕。
23,呼——好累……\n快给我们神谕吧。
22,喵呼呼呼♪\n我们可是朋友啊！\n用不着道谢啦！
21,嗯，进行了一次很好的运动。\n我要道谢。
20,那就是说……\n您认可我们了吗？
19,不过……看来你们\n就算我稍微认真一点\n也能承受得住。
18,抱歉，就连神（我）\n也很久没有嬉戏了。\n想要不伤到你们还真不容易。
15,喂，神明大人。\n你是在玩吧。
14,嗯。\n彼此彼此吧？
13,在神（我）面前\n却没有拿出真本事吧。
12,呵呵呵呵。\n真是傲慢啊，在骗谁呢。
11,呜～……\n不愧是神明大人啊～\n完全没办法应对！
10,<span class='scene-font-4'>哈哈哈哈哈！</span>\n愉快愉快，因惰眠而迟钝的血肉\n正在欢喜雀跃！
0-synopsis,库·凯欧洛埃瓦看到菲露露卡因恐惧而一点也没战斗就昏倒了，便说「连力量都无法展现之人，是无法得到神谕的」，将众人赶了回去。但当众人再次花费数日回到库法时，美丽的村子已经被破坏，变得杀气腾腾。众人正对这片据说是菲露露卡改变前原本的库法景象感到震惊时，玛卡基乌带领着元老院的人出现了。
0-chapter_name,第4话 兽祭
