id,trans
filename,scene_fate_chr162_ep1
translator,gpt-4o-latest
info,scene_fate_chr162_ep1
126,他对拉面的热爱甚至超越了空域，也许有一天会到达天空的尽头……
125,就这样，热爱拉面的男人一发加入了骑空团。
124,嗞溜……<span class='scene-font-5'>太好吃了！！</span>
123,好，这顿我请客！来吃吧！
122,嗯……难道说，又加入了一个不得了的家伙吗……？
121,呃……嗯，好的……
120,吃完后，我们就回飞空艇吧。好吧！
119,来来，姬塔小姐们也不用客气，请尽情享用吧！
118,啊，久等了。那么请给我拉面吧！
117,……呼。
115,哎……好的！！我保证～！！
114,啊！？再也不要对这家店动手动脚！！
113,哎！哇啊～！！饶了我吧！！
111,愤怒的一发抓住小混混的领子，把他扔到了小摊的帘子外，强迫他反省。
110,吼啊啊啊！！
109,啊！？你是什么人！嚣张起来了！！
108,餐馆必须保持干净。垃圾要赶紧清理掉！
107,诶……？……拉，拉面的兄弟……？
106,闭嘴的是你吧混蛋！满嘴废话，像下水道一样！！
105,啊嗯？你说什么你！
104,哈？那么荒唐的保护费，我怎么可能付！
103,喂！我不是说过这里是我们的地盘吗！要开店就交保护费！！
102,这个！啊！你又来了啊！
101,啧……真是的，这破摊子还在营业啊！
99,为了庆祝今天的美好日子，店主，再来一碗拉面……
98,哈哈，我好像每次要倒下时都能遇上好人。
97,谢谢！……真是帮大忙了。
96,为了庆祝今天的美好日子，店主再来一碗拉面……
95,这真是不得了……眼中充满了火焰……！好强的热情！这真是无法拒绝啊，姬塔！
94,即便如此也没关系。那样的话，也可以在其他地方寻找食材！
93-sel2_txt,好的，一起来吧！
93-sel1_txt,可能不会去到有店的岛哦？
93,但如果能和你们一起旅行，也许能到达老板那里！
92,召唤老板的七曜骑士也很忙，无法联系……
91,虽然找到了几种食材，但没有能够前往老板所在空域的飞空艇……
90,拜托了！请让我陪伴你们的旅程！
89,呀！？一发先生，请抬起头！
88,一发突然坐到了地上，把头贴在了地面上。
87,…………！
86,嗯！当然了！
85,也就是说，你们有穿越瘴流域的觉悟。
84,原来如此……所以是为了<span class='scene-font-spword'>完全空图</span>……
82,姬塔一行说明了自己的旅行目的。
80,诶？……啊，是说<span class='scene-font-spword'>完全空图</span>的事吧。我们是以伊斯塔尔希亚为目标……
79,<span class='scene-font-5'>啊！！</span>关于这件事，请详细说说！！
78,是啊！确实有可能去到呢～
77,呵呵，在收集<span class='scene-font-spword'>完全空图</span>到达天空的尽头之前，若能经过那家店就去吧！
76,嗯嗯……确实……我也想尝一尝！
75,是啊！不过，七曜的骑士都做到这种地步，肯定是非常美味的拉面！
74,是这样吗！？这，这规模真是惊人！？
73,于是就决定在那位骑士的地盘上开店了。
72,据说是一位七曜的骑士十分喜爱老板的拉面……
71,诶！？要离开空域！？到底发生了什么事？
70,但是……在尝试完法塔格兰德空域的食材之前，就要离开这个空域了……
69,那位老板为了做出最棒的一碗面，现在仍在不断研习和锻炼。
68,那时候有一位拉面店的老板帮助了我，让我吃了拉面。
67,我小时候，发生了一些事情。真的差点倒地不起……
66,啊！不好意思。让你们吃惊了。
65,！？
64,哪有那种事！！
63,呃……材料……这么说来，一发先生也是拉面店老板吗？
