id,trans
filename,scene_evt140831_cp1_q2_s20
translator,Gemini
info,scene_evt140831_cp1_q2_s20
20,等等～！\n我们也要帮忙！\n姬塔！
19,嘿—总大将！\n我来了就没事了！\n这里就交给我吧！
18,！？　是友军！？
16,咕呀！？
14,咕啊啊！
13,数量远超预期……\n看来只能先撤退，重新整顿一下了。
12,彼赞大人！\n我们好像被哥布林包围了！
9,啊，喂！\n等一下！
7,嗯？\n这次出现在那边了吗！\n那么再见了！宝贝☆
6,咕啊啊啊啊啊！！
5,那，怎么说呢……\n本来只是想去城镇里看看，结果时机不好\n被卷进来了……
4,会飞的蜥蜴和蓝色头发的女孩啊。\n像你们这样的小孩子参加哥布林讨伐队\n胆子还挺大嘛～
3,那真是失礼了。\n但是，哥布林猎人？
2,我是哥布林猎人菲娜。\n给我好好记住。
1,弓箭手……那是什么鬼！？\n别把我当成路人甲一样称呼啊\n行不行啊？
0,得救了！\n弓箭手姐姐！
0-synopsis,救下众人的少女自称哥布林猎人菲娜。话刚说到一半，菲娜就听到了魔物的声音，眨眼间便飞奔而去。与此同时，梅涅亚皇国的指挥官彼赞面对数量远超预想的敌人，决定先行撤退，却反遭哥布林包围。就在此时，菲娜和姬塔一行出现，支援了他们。
0-chapter_name,第1话 战乱的凶兆
