id,trans
filename,scene_fate_chr172_ep1
translator,Gemini
info,scene_fate_chr172_ep1
59,不久后，尤利从镇上居民口中，\n得知了「万事屋」的存在，\n为了探寻情报，他敲响了那扇门。
58,环顾四周，\n发现了一处像是城镇的地方后，尤利\n缓缓地迈开了脚步。
57,好吧，\n先去收集情报吧。
56,……话虽如此，\n但我也不知道这里是什么地方，\n根本无从下手啊。
55,…………
54,也就是说，\n露露也在这里的某个地方……？
53,然后被那个奇怪的黑色漩涡给卷了进来……\n这么说，那个黑色漩涡，\n是通往这里的吗……？
52,对了。\n在<span class='scene-font-place'>伊尼尔街道</span>上，\n我追着露露……
51,这到底是哪儿……\n肯定不是温德尔。
50,岛在天上飞……？\n真的是在天上飞吧？那些……
49,这……是……？\n这是哪儿……？
47,……露露！？
46,喵
45,…………
44,就这样，尤利的意识，\n沉入了黑暗的深渊之中。
41,尤利松开了抓住墙壁的手指，\n任由那股力量将自己吞噬。
40,（如果真是这样……\n这个漩涡的另一边，露露就在……！）
39,（说起来刚才的叫声……\n难道说露露也，\n被这个黑色漩涡给卷走了？）
38,啧……\n这到底是什么鬼东西！？
37,那股力量\n自然也不会放过尤利，\n试图将他卷入其中。
36,突然，漆黑的漩涡\n以迅雷不及掩耳之势将周围的东西\n一个接一个地吞噬殆尽。
35,……这是什么东西？\n话说，露露呢……\n……！？
34,然而，那里并没有露露的身影，\n只有一股诡异的气息中央，\n出现了一个奇怪的漆黑漩涡。
31,尤利朝着露露拐进的小巷，\n立刻追了上去。
30,露露！？\n喂，怎么了！？
29,喵啊啊啊！？
28,真是的，露露那家伙，\n体型那么小\n怎么那么灵活……
26,喵～
23,你这家伙！\n给我站住……！
21,喵～？
18,站住！你这……！
16,喵～
13,啊！你给我站住！
11,喵！
10,露露！\n你，刚才跑到哪儿去了……
9,喵～
8,可是，我又\n不懂猫语，\n这可怎么办才好……嗯？
7,再说，对着一只猫\n用人类的语言呼唤……
6,唉……\n不行啊，这样下去不是办法。
5,露露——出来——\n艾露也很担心你哦——
4,虽说是在城里，\n但谁也不知道魔物\n什么时候会冒出来。
3,我事先告诉过艾露，\n让她藏起来，\n应该没事吧——
2,在瘴气弥漫的伊尼尔街道上，\n寻找着爱猫的尤利，\n一副无可奈何地挠了挠头。
1,真是的，为什么\n偏偏在这种时候走丢啊。
0,喂，露露——\n出来——在哪儿——
0-synopsis,尤利在瘴气弥漫的伊尼尔街道上与爱猫露露走散了。露露在一个小巷子里突然消失不见。然而，那条小巷里有一个奇怪的黑色漩涡，确信露露被卷入漩涡的尤利毅然跳入了漩涡之中。在黑色漩涡的另一端，尤利来到了一个岛屿漂浮在空中的神秘世界，为了探寻情报，他敲响了「万事屋」的门。
0-chapter-name,巷尾尽头的空
