id,trans
filename,scene_evt190828_cp3_q1_s10
translator,gpt-4o-2024-08-06
info,scene_evt190828_cp3_q1_s10
58,塔薇娜盯着跑开的男人的背影，重重叹了口气。
57,这下……麻烦了。
55,啊！
54,在那里的是谁！？
53,……
52,在宅邸被幸福氛围包围的时候，一个男人正在偷偷窥视。
51,这到底是怎么回事啊！
50,哈哈哈哈！
49,呵呵……呵呵呵！
44,想要跨越沙尘暴，高喊爱的誓言。
43,想要永远祝福他们。
42,祝愿两人的幸福，
40,思念加速了，别再阻止我，快要疯掉了。
39,在阳光下我们发誓，让爱的花朵绽放。
38,在遇见他的那一刻，恋爱的预感让我心动。
37,牵手指相扣，凝视着心动的彼此，与你这笑容耀眼的人共度未来。
31,诶，什么！？
30,而当我第一眼看到她的那一刻，我的心跳加速，整个世界都闪耀着玫瑰色！
29,像女神柔软肌肤般的微风……拂过我的脸颊。
28,就在以为是这样的时候……
27,看到阿提法和塔薇娜的身影，激动的斯坦也忍不住跟着流泪。
26,嘿嘿，感觉……真的太好了……
25,呜呜，小姐……
24,我也是……啊，我曾多少次梦见扑入这结实的胸膛……
23,啊，小姐……即使现在感受到彼此的温暖，我还是觉得这像是一场梦。
22,然后，热情地紧握双手，紧紧地拥抱在一起。
21,两人眼含泪光凝视着彼此，慢慢地一步步靠近。
17,小，小，小，小姐……
16,啊，您是……
14,就在那时，里面的门猛然打开，塔薇娜和女仆现身。
13,小姐现在身体不太好。所以请安静点……
12,哎呀呀～要阻止这满溢的喜悦，就算是恩人你也办不到啊。
11,阿提法，小声点。
10,终于……！梦寐以求与小姐的重逢。啊～～，真是受不了啊！
9,被斯坦带到塔薇娜的宅邸，阿提法无法抑制兴奋。
0-synopsis,在塔薇娜的宅邸里，阿提法和塔薇娜终于重逢。两人相拥后，阿提法他们突然用歌舞表达重聚的喜悦，让斯坦感到困惑。然而，阿哈巴卡的手下正在偷窥这情景。塔薇娜为父亲可能会知道她与阿提法的事而感到不安。
0-chapter_name,第3话 为小姐干杯
