id,trans
filename,scene_evt190726_cp4_q2_s10
translator,gpt-4o-2024-08-06
info,scene_evt190726_cp4_q2_s10
81,フライデ喃喃自语后，拔出炸虾，快步离开了那里。
80,无法忍受……！不能就这样放任不管……
79,没想到河童竟然在地下工作！
78,因为担心大将，所以调查了「みや里」……
77,フライデ利用其炸虾型爱机的功能，观察着地下的情况。
76,与此同时，在地面上，フライデ将炸虾刺入神社的地面，愤怒地颤抖着。
75,哦，天啊，巴哈姆特！！！
70,啊……就这么做。
69,听到了。老爸找到キュウタ了……那就把キュウタ的份也留着！
68,マイタ，发呆的话黄瓜就没了！
67,嗯……？刚才是キュウタ的声音……
62,キュウタ在昏暗的空间中，悲伤地低下了头。
61,这里就是キュウタ的故乡。
60,キュウタ先生……！？
59,姬塔小姐，对不起，我一直隐瞒着！
58,就在卡西乌斯准备进门，手放在门上的瞬间──
57,……无法理解。看来只能直接问大将了……
56,这，这到底是怎么回事……！？
55,河童们大口地吃着黄瓜，像是在给自己加油般地喊叫。
54,河童！靠黄瓜养足精神，度过夏天！
53,咕，咕咕咕……！今晚也要不眠不休地加油！
52,那，那就是说，那些黄瓜难道是……供奉给神社的那些吗？
51,那个是……黄瓜中似乎混入了炸虾。
50,咕……？有，有些奇怪的东西……
49,河童们争先恐后地聚集在大将带来的装满黄瓜的箱子旁。
48,河童！等这个等很久了！
47,河童！ 黄瓜！ 是黄瓜！
46,稍微休息一下，大家一起吃吧！
45,啊！那个人……是「みや里」的大将！
44,嗯？那张脸，好像在哪里见过……
43,喂，大家！带了黄瓜来哦～！
40,就在姬塔一行无法理解状况而困惑时，看到后面的门打开了，有人进入了空间。
39,这、这么多河童……！？
38,呼，呼……！ 啊啊啊！ 不知道洗的东西能不能在早上前完成……
37,呼，呼……！ 米快要用完了！
36,呼，呼……！ 即使切割鱼也结束了！
31,古老的门非常沉重，姬塔只稍微打开一条缝隙窥视里面。
30,姬塔调整好呼吸，决心将手放在门上。
29,不久，苔藓覆盖的石门出现在姬塔面前。
28,但是，闻起来有点腥？是海的味道吗……
27,没有人经过的痕迹。可以推测这里很长一段时间未被使用。
26,一行人在仅容一人通过的狭窄空间中小心前进。
21,就在那之后，神社旁边悄然出现了一个人影，然而没人注意到。
20,…………
14,姬塔点头，率先缓缓地沿着石阶走下去。
13,石阶的尽头看不到光源……小心前进。
12,姬塔稍微思考了一下后，提议确认声音的来源后立刻返回。
11,咕噜……看起来下面有什么东西……
10,姬塔一行清晰地听到了从楼下传来的神秘声音。
9,呼，呼……！
8,脚步声的回响有些异常。我猜测地下可能有空间，看起来是对的。
7,这，这是什么……！？
6,于是，地面的一部分翻起，露出了通往地下的石阶。
5,卡西乌斯突然蹲下来，拨开草丛开始查看地面。
4,并非如此。
3,嗯……难道是错觉？
2,然而，那里只有茂密的草木，没有人影。
1,在神社听到神秘声音的一行人，走向声音传来的神社后面的灌木丛。
0-synopsis,在神社后面的灌木丛中，姬塔一行发现了通往地下的石阶。从石阶尽头的门缝中窥视进去，看到许多河童正在处理鱼类等从事寿司店的工作。这时，「みや里」的大将手持供奉的黄瓜现身。当一行人准备推开门进去时，キュウタ出现并说道：「这里是キュウタ的故乡。」
0-chapter_name,第4话 黑夜骑士
