id,trans
filename,scene_evt201129_cp0_q2_s10
translator,Claude 3 Opus
info,scene_evt201129_cp0_q2_s10
147,　\n　\n　　　　　　　　　　　　────Fin.
141,亲密无间地拥抱在一起的三个人，\n今后应该不会再吵架了吧，\n姬塔这样想着。
140,姬塔一行\n看着和好如初的三姐妹，\n露出了微笑。
134,诶嘿嘿嘿♪
133,人家也要！\n人家这边也来！\n呜哦哦哦！
132,说得对。\n那么，我这边也来\n哈雷迈～♪
131,而且哈雷迈也是……\n库法重要的传统啊。
130,因、因为是梅路酱\n和涅莫酱……
129,呵呵呵……\n不是说这样很不得体吗？
128,露露姐的哈雷迈……\n真、真是感人……\n喵呼呼呼……
127,哈雷迈。
122,菲露露卡将两人拥入怀中，\n鼻子碰在一起。
121,嗯？
120,啊……那、那个……\n梅路酱，涅莫酱。
119,好嘞，\n那我们差不多该走了。
118,呵呵呵……
117,妹妹说得对！\n大家一起吃就不可怕了！
116,不行啦。\n大家要一起才行。
115,真的吗……\n那我就不参加了……
114,嗯……\n用传统的那个味道，\n吃个饱吧。
113,哦！不错嘛！\n那到时候一起\n做「米拉卡·基基尼」吧♪
112,睡衣派对！\n好主意，我们\n也想一起参加！
111,以现在库法的状况\n每天来也没问题呢。\n干脆举办个睡衣派对吧。
110,你看，别再哭了啦！\n我们会随时来玩的。\n反正也没那么远嘛！
109,呜……可、可是……\n寂寞还是会寂寞的……
108,真的没问题吗？\n眼睛都红了哦？
107,和大家一起……这次一定\n要朝着让大家都能幸福的村庄\n而努力。
106,嗯。\n不依赖梅路酱和涅莫酱\n我也没问题的。
105,不挽留吗。
104,涅莫酱，梅路酱……\n要保重哦。
103,我们也是库法的一份子。\n会支持女王和库法的。
102,我们，库法，回来了。\n再也，不会分开。
101,是的，战友们回到村子后，\n我们再也不会\n犯下那样的错误了。
100,我们回去以后，\n你们也要好好相处哦。
99,没什么啦。\n这种事呢……\n嘛，我们已经习惯了。
98,把你们卷入\n我们这边的纷争，\n真的非常抱歉。
97,各位，多谢照顾了。
96,随着库法恢复到革命前的模样，\n姬塔一行决定\n差不多该离开村子了。
90,菲露露卡与元老院的人们、\n村民们以及姬塔一行合作，\n推进着库法的复兴。
89,然后几天后──
83,姬塔一行温柔地\n注视着其乐融融的\n姐妹俩和一只兽。
82,哦—好孩子好孩子♪\n小撒也努力了呢♪
81,小撒轻轻地依偎在\n相拥的两人身旁。
80,…………
79,梅路也努力了呢。\n乖孩子乖孩子。
78,没关系的，说到底，\n都是人家的错。
76,还好有涅莫姐在。\n一直任性妄为，对不起。
75,梅路抱住了涅莫涅。
74,妹、妹妹……？
72,我来不就行了吗。
71,砰！爆炸了！！
70,<span class='scene-font-4'>虽然不知道会发生什么！！</span>说不定会爆炸什么的吧！？
69,什么！？\n要是从人家这里\n把姬塔抢走就糟了哦！？
68,不行。
67,呼喵～……姬塔……\n抱抱人家，\n给人家充充涅莫电……
65-sel1_txt,辛苦了，涅莫姐
65,被梅路和菲露露卡夹在中间，\n真是手忙脚乱啊。
64,可能是因为做了太多不习惯的事，\n涅莫姐的能量……简称\n涅莫能量已经耗尽了……
63,<span class='scene-font-4'>哇！？</span>没事吧，涅莫姐！？
60,呼啊……
58,嗯嗯，\n太好了太好了。\n真的……
57,哎呀哎呀，这下\n总算尘埃落定了。
56,嗯……
55,嗯……你能这样做的话，\n我也就不会再犯错了。\n让我们一起改变吧。
54,为了不再重蹈覆辙，\n从今往后我会\n坦率地向你提出意见。
53,女王的命令是绝对的。\n正因为一直坚守着这个传统，\n我们的不满也与日俱增。
52,我明白了。\n不过……有一点。
51,哈……\n爱哭的女王\n还真是让人头疼啊。
50,呜……\n我最需要的就是\n一位最重视传统的奶奶……
49,可是，奶奶\n就是奶奶啊……
48,你这家伙……\n还叫我奶奶……
47,我想向你道歉……\n想要好好理解你……\n奶奶……
46,不行！\n我不允许你这么做！
45,你真是太天真了……\n那我就自己跳下悬崖，\n用死来赎清自己的罪吧。
44,我没有资格\n去惩罚你。\n我没有那个资格。
43,我的阴谋也到此为止了。\n不论是处刑，还是放逐，\n我都甘之如饴。
42,你在王位继承战中获胜……\n连库法之神也认可了你。\n再没人会怀疑你了。
41,没事的。\n已经，没问题了。
40,姬塔摆出戒备的姿势，\n但被涅莫涅阻止了。
39,那是从昏迷中醒来的\n玛卡基乌。
38,菲露露卡……不，女王。
37,大家目送库·凯欧洛埃瓦离去时，\n有人走近了菲露露卡。
36,库·凯欧洛埃瓦\n展开翅膀，飞了起来。
33,哈哈哈哈……\n你这家伙，慧眼识珠啊。
32,喵呼呼呼。库酱，\n你意外地话多，\n其实是个寂寞的家伙吧。
31,随时都可以来洞窟……\n就算不是海隆纳人我也欢迎。
30,我这个神差不多该走了……
29,呵呵呵，那是当然。
28,嘛，有空的话吧。\n玛塔·阿图阿我还没见过呢。\n总之会来玩的。
27,如果方便的话，\n今后也请常来库法，\n多多支持女王。
26,啊啊，受你们照顾了。\n我这个神要向你们道谢。
25,哇！\n说、说的是我们吗？
24,那么，旅行者们啊。
23,那是当然。
22,请多多关照。\n库先生。
21,是……从现在开始，\n我会好好关注库法的每个人，\n建设一个大家都能幸福的村庄。
20,珍惜现在的想法。\n库法的优良传统……\n就托付给战骑兽了。
19,是……
18,大家听好了。
17,怀着信念战斗到底，\n现在的你有资格背负库法的重担。\n你才是真正的女王。
16,非、非常感谢。
15,你能直面内心，\n克服恐惧，实属不易。
