id,trans
filename,scene_evt161231_cp4_q1_s10
translator,gpt-4o-2024-08-06
info,scene_evt161231_cp4_q1_s10
82,……连带那家伙的一起！
81,那家伙……我会在决赛中打败他！
80,在这种场合连一点对手的敬意都不给吗？绝对不能让那种人赢。
79,听到马迪的话，泽塔心中燃起了无声的怒火。
78,……真让人生气，那家伙。装什么大头？
74,这样一来，多少也为比赛增添了些许色彩，不是很好吗？哈哈哈哈！！
73,不过啊，那些家伙大概都没能完赛就撞车了！
72,哦……这话可真够尖锐的！
71,连比赛的基本都不懂的菜鸟们越来越多，真是让人火大！
70,哼！好久没出来了，PSC的水平是不是下降了？
69,让我们来听听预选赛第一名马迪的感想吧！
68,女士们先生们！万众期待的时刻到了！
67,虽然在最后阶段减速让人担心，但总算稳住了，滑入了第四名！
66,最后……第四名是缪翁的蓝色轨道号！
65,听说他们全都是新人，真让人吃惊！
64,第三名，骑士密码！
62,第二名，绯红长枪号！
61,以惊人的速度和力量，展现了一场精彩的复活剧！
60,第一名，马迪的凯撒·统治者！
59,那么，我们来回顾一下晋级决赛的赛车！
58,那么……充满波折的预选赛，总算结束了！！
44,好了，预选赛也只剩下最后一点！晋级决赛的门票会落入谁手！？瞪大眼睛看着吧——！！
43,哦！他们也终于想起来这就是PSC了啊！！总算松了口气！
38,好！我们也上吧！！
34,能跟上来吗！？
32,哦，干得不错嘛！算了……
31,杂技师……不对，是骑空士太厉害了！躲过了马迪的拳头，然后跳上了骑士密码号！
26,姬塔，小心！
9,哦，这可不行。游戏到此为止！
8,对对就是这个！果然这就是PSC啊！！谢谢你，绯红长枪号！！
7,不知道在玩什么……我趁现在抢个第一！！
4,我们到底在看些什么！？我明明应该是在进行PSC的实况解说……
3,马迪似乎在愉快地笑着……这里是什么时候变成战场了！？
2,你们这帮家伙，干得不错嘛！比起缪翁那个小子，更有看头！
1,可恶！这个老头，究竟是什么人啊！？
0,马迪在受到姬塔的攻击后，几乎没有动摇的样子。
0-synopsis,即使面对姬塔一行的反击，马迪也毫不动摇，依然第一个穿过终点线。晋级决赛的选手确定为马迪、泽塔、姬塔一行和缪翁。赛后采访中，马迪发表了嘲讽中途撞车的参赛者的言论，激怒了泽塔，她发誓要在决赛中复仇。
0-chapter_name,第4话 星号
