id,trans
filename,scene_evt211129_cp3_q1_s10
translator,Gemini
info,scene_evt211129_cp3_q1_s10
161,守望着未来的她的，\n眼中映照出的究竟为何物——\n一切都被谜团所笼罩。
160,貌似司祭的女性，\n对着手杖诉说着。
159,我不会向星星祈祷。\n更不会向神明祈祷。
157,处于对立两极的他们的愿望，\n愿能一同实现……
152,鲁莽冒进的，\n乐天派的<span class='scene-font-spword'>狮子宫（Leone）</span>……
146,特立独行而客观的，\n贤明的<span class='scene-font-spword'>宝瓶宫（Aquario）</span>……
140,身着异教司祭服的女性，\n忧郁地凝视着手中的杖。
139,「物语」的舞台……\n降星之岛选择了雨……
129,兰德尔一边自嘲着，\n一边凝视着窗上滑落的雨滴。
128,啊—啊……\n我才是更笨的那个啊。
127,……我到底在期待什么啊。\n明明就知道他会这么回答。
124,……啊啊。是这样吧。
123,拉加佐……！\n对了，为了战胜那家伙，\n我才不断锻炼至今……！
120,…………
119,……真是的。
117,啊啊，缇可！\n我去活动活动身体！！
116,喂，菲扎！？\n你打算去哪？
112,突然这么大声。\n快点去吧！
111,唔哦哦哦哦哦！！\n我出发了！！！
110,谢谢你，兰德尔！
109,哼……\n你这家伙的脸，总算变回\n「笨蛋菲扎」了。
108,猛地起身的菲扎眼中，\n像往常一样闪烁着光芒。
107,不，不行！！！
106,既然如此，你还\n能在这里躺着吗？
105,这次一定要「谈话」！\n然后战胜那家伙！！
104,对了……！\n我没能和拉加佐好好交流！
103,…………ッ！
102,要和那家伙……\n用拳头交流的吧？
101,反正你也做不来随机应变，\n就只想着拉加佐的事吧。
100,在夺回科尔露的路上，\n很可能会再次和监察屋那帮人战斗。
99,但是，我们得把科尔露——
98,这不是很简单嘛。\n你只要集中精力\n去打倒拉加佐就行了。
97,兰德尔一瞬间\n露出了苦涩的表情，\n但很快就恢复了平时的语调开口。
96,……啊啊。是这样吧。
93,拉加佐……！\n对了，为了战胜那家伙，\n我才不断锻炼至今……！
90,（……和各种各样的家伙战斗过来，\n让我的灵魂为之颤抖的是——）
87,然后在那前方，若能在这片天空再次\n相遇，届时再用\n拳头来交流吧！
86,经历与强敌以及其他各路高手的\n战斗，去追求更高的境界吧！
83,（在武斗大会时\n和冈达葛萨用拳头交流，\n觉得他果然很厉害……）
80,那个身影我无法忘怀。\n为了能稍微接近那个人\n我想要变强。
79,那个人仅凭双拳\n就能与所有对手交锋，\n并且相互理解……
76,（最初，是憧憬着求道者——\n冈达葛萨）
75,为了，什么……？
74,好好回想一下。\n你当初是为了什么而战？
73,嘛，笨蛋这一点\n倒是从没变过啊。
72,菲扎彻底困惑了，\n看着映在窗户上的自己，\n啪嗒啪嗒地摸了摸脸。
71,脸不是一直都一样吗？
70,……从小时候起，\n你以为我看了你这家伙的脸\n多少年了？
69,我不是说了吗？\n写在脸上了。
68,你，你怎么知道的？\n连我自己都不知道。
67,就是因为想些多余的事，\n拳头才不听使唤了吧。
66,然后就搞混了，\n迷失了战斗的理由。
65,不，还不止这些。\n说什么必须救出科尔露，\n必须打倒纳比斯什么的……
64,说什么连我的份一起，\n或者要为我报仇什么的……
63,…………！
62,你这家伙……\n是想为了我而战吧？
61,可恶……！\n这种话就算死\n我也不想说啊。
60,兰德尔挠着头，\n烦躁地开口。
59,……～～！！\n<span class='scene-font-4'>所以说，就是这种反应！！</span>
58,……抱歉。
57,你顶着那张脸睡在旁边，\n能好的也变不好了。
56,但是啊，现在的你脸上\n写着「我是沮丧菲扎」。
55,就是写着呢。
54,没写啊，那种事。
53,啊啊。平时脸上不是都清楚地\n写着「我是笨蛋菲扎」\n吗？
52,什么……？你说脸？
51,那么，换个问题。\n你为什么，\n摆着那么一张苦瓜脸？
50,那个……\n我也不知道。
49,比起那个，为什么\n突然挥不出拳头了？
48,…………
47,你没必要在意。\n这是我自己凭自己意志做的事。
46,这话我听腻了。\n不是说了好几次了吗？
45,因为我的错，\n害你受了伤。
44,对不起，兰德尔……
42,打破这份寂静的，\n是菲扎沙哑的声音。
41,只剩下两人的室内，\n弥漫着沉重的沉默。
40,…………
39,…………
33,……那边更麻烦。
32,只是身体的伤……啦。\n心里的伤还没好。
31,是这样吗？\n但是，您不是说让他继续躺着……
30,然后，菲扎那边……\n身体的伤已经痊愈了。
29,话虽如此，\nクリムゾンフィンガー的魔力\n还残留着，需要注意。
28,兰德尔恢复得很好。\n能治好未知的症状，\n真不愧是我。
27,……缇可小姐，\n他们两位的状况怎么样？
19,啊啊……
18,——就是这样，\n再稍微静养一下。
17,另一方面，留在旅馆的缇可，\n正在为疗养中的菲扎和兰德尔\n进行诊察。
11,在持续不断的雨中，\n一行人根据菲奥莉托的提议，\n分头前往各自负责的区域进行搜索。
10,科尔露被绑架后，\n一夜过去的早晨——
0-synopsis,第二天早上，一行人再次展开对科尔露的搜索，而菲扎则烦恼不已，意气消沉。兰德尔对这样的菲扎加以激励，让他回想起自己究竟为何而战。菲扎想起了要通过拳头与拉加佐交流并战胜他的心情，重新振作起来。另一方面，没有被菲扎选为想要战胜的对手，兰德尔不禁自嘲。而这一切，都被一位貌似司祭的女性看在眼里。
0-chapter_name,第3话 接近
