id,trans
filename,scene_chr172_q1_s10
translator,Gemini
info,scene_chr172_q1_s10
37,喂喂！\n现在可不是悠闲思考的时候啊！\n那帮家伙拔剑了！
36,喂，上来就动手吗？\n不过总觉得哪里怪怪的……
35,可恶！\n既然如此，\n就先下手为强！
34,喂喂，怎么了？\n我还没说什么呢吧？
33,原来如此……\n你们是来监视我们，\n看我们有没有好好处理掉它们的吧！？
32,啊！？\n你、你们是那家伙的同伙吗！？
31,我们正在找从附近猫咪咖啡厅\n被偷走的猫……
30,不打扰你们了。\n你们几个，这些猫是怎么回事？\n是流浪猫吗？
29,呜！？\n可、可我还是做不到！\n我怎么能对这些小家伙下手……
28,喵？
27,可恶……抱歉了……\n吃了这些猫粮，\n你们就能毫无痛苦地，像睡着一样……
26,面对着一脸疑惑的猫群，\n男人一脸决绝地，\n握着猫粮。
25,喵？
22,原来如此。\n那我们先去那里看看吧。
21,嘛……\n那帮家伙也和岛上其他人一样，\n非常喜欢猫……
20,这个嘛……\n从这里往东走一段路，\n有个治安很差的聚集地。
19,喂，你们这边，\n有锁定什么嫌疑人吗？
18,嘛，没办法。\n既然已经被偷走了，\n那把它们找回来也是我们的工作。
17,啧……\n还是晚了一步吗……
16,是的……\n看来情况确实如此。\n我们也是接到报案后赶来的。
15,诶——！？\n难、难道说猫猫们，\n又不见了吗！？
12,总、总之！\n我们过去看看吧！
11,喂喂……那些是宪兵吗？\n怎么感觉事情闹大了啊。
10,嗯？\n喂，你看那个……\n那里就是委托人所在的猫咪咖啡厅吧？
9,谁知道呢……\n嘛，等抓到他们，\n自然就清楚了。
8,偷猫贼……\n偷了猫之后，\n他们到底想干嘛？
7,但是，他们的委托是，\n希望我们能保护猫咪咖啡厅，\n免遭偷猫贼的毒手吧？
6,猫咪咖啡厅现在，\n正为夜间潜入偷走猫咪的，\n偷猫贼而头疼不已。
5,作为<span class='scene-font-place'>马尔科岛特色\n可以与猫咪亲密接触的餐饮店\n猫咪咖啡厅。
4,真让人担心……\n猫猫们，\n竟然会失踪……
3,嘿嘿！\n会有这样的委托，\n也只有在这座岛上才会有了吧！
2,猫咪咖啡厅的保镖啊……
1,就在此时，某项委托，\n落到了他们头上。
0,为了寻找露露，姬塔一行与尤利一起，\n在马尔科岛\n停留了下来。
0-synopsis,姬塔一行来到了猫聚集的岛屿——马尔科岛，接受了猫咪咖啡厅的委托，担任保镖，保护可以和猫接触玩耍的餐饮店。为了抓住扰乱街巷的「偷猫贼」，一行人前往可疑的小巷，却遇到了一名神色慌张的小混混。小混混将一行人错认为是别的什么人，就这样对他们发起了攻击。
0-chapter_name,这把刀所守护之物
