id,trans
filename,scene_chr721_q2_s10
translator,Claude 3.5 Sonnet
info,scene_chr721_q2_s10
136,……无法理解……
135,（为了将那种一吹就会消失，\n如此脆弱的生命带到世上，\n竟然要赌上性命）
134,（刚出生的人类，\n竟是如此纤细、轻盈，\n如此脆弱吗）
133,啊……
132,那么，我们回房间吧。
131,嗯……是啊。\n就这么办吧。
130,菲迪埃尔大人看起来也很疲惫，\n会面的事就改到明天以后吧。
129,<span class='scene-font-4'>啊！</span>\n什、什么？　怎么了？
128,菲迪埃尔大人。
127,…………
126,呼……
124,好的，晚安。
123,嗯——……\n米亚哈大人，晚安——……
121,喂，霍林。\n如果你那么困的话\n我背你回去吧……
120,非常感谢。\n米亚哈大人也要\n好好休息哦。
119,呵呵，辛苦了。\n请好好休息吧。
118,呼啊……\n松了一口气之后，不知怎么的\n突然感觉好困啊……
117,这样一来，这件事算是告一段落了吧。
113,大家辛苦了！\n能帮上忙真是太好了。
112,助产士会照看的，\n我来接管婴儿吧。\n真是帮了大忙了！
111,费尔迪亚和霍林，\n谢谢你们的帮助。
110,霍林高兴地\n对费尔迪亚怀中的\n婴儿微笑。
109,太好了！\n太好了呢，\n婴儿和妈妈都没事！
108,各位，让你们担心了。\n妈妈的血液循环也变好了，\n已经没事了。
107,米亚哈大人！
105,那个是……那样的……
104,菲迪埃尔仍能感受到婴儿的触感\n感到有些麻木\n低头看着自己的手和手臂。
103,嗯……嗯……
102,……你没事吧？
101,哈……
100,我明白了。\n好了好了，妈妈正在努力呢。\n你也再忍耐一下……
98,够了！不用在意，快点！！
97,已经可以了吗？
96,<span class='scene-font-4'>你，你！</span>\n快点！快把婴儿给我！！
95,哇，婴儿\n又哭了！
93,多么脆弱啊……\n就像棉絮一样\n好像随时会飞走……
92,这，这是什么……\n人类的婴儿竟然\n如此柔软吗！
91,…………！
90,轻轻的……轻轻的……哦……
89,轻轻的，轻轻的！
84,唔……
83,不行啊，要更温柔一点！
79,难道是我的错吗！？
73,好的！
72,米亚哈大人，请照顾好妈妈哦！
71,好的！请交给我吧。
69,情况不太乐观。
68,这个孩子的妈妈呢……？
67,抱着刚出生的婴儿的米亚哈，
66,婴儿如你所见，
65,米亚哈大人！
64,菲尔迪亚！霍林！
62,我想看看婴儿和点燃生命之火的母亲！
61,<span class='scene-font-4'>哦哦！？这就是吗！？</span>
60,啊！？
59,嗯……
57,完全无所事事的
56,哈……
55,真的会有婴儿
54,嗯……那个艾露恩族的女孩
53,…………
52,呼……呼……
51,夜深了，但分娩还未开始，
44,就这样居然能活到现在，
43,人类如此脆弱，即便是继承火种，
41,我马上就来！
18,这也因人而异……\n反而是快的比较少见。
17,<span class='scene-font-4'>啊！？</span>\n生一个孩子，\n竟然需要那么长时间吗！？
16,半天……半天！？
15,不，这种程度是很正常的。\n人类的分娩，光是母体准备\n就可能需要半天时间。
14,话说回来，这也太费时费力了。\n是不是出了什么问题？
13,嗯……\n嘛，野兽也不会成群结队地\n生产吧。
12,主要是出于卫生考虑，\n但也是为了不让孕妇\n过于担心。
11,费尔迪亚是在体贴他人。\n产房……进入分娩室的人\n应该尽量控制人数。
10,真是不够机灵啊，\n应该把热水直接拿进去的。
8,嘿咻……
5,知道了知道了。
4,交给我吧！\n菲迪埃尔，你得和米亚哈大人\n在外面等着哦！
3,知道了，我马上拿来！\n霍林，能帮忙吗？
2,谢谢！\n抱歉，能再拿些备用床单和\n毛巾来吗？
1,我烧好热水了！\n把锅放在这里了！
0-synopsis,菲迪埃尔在产房外守候，从米亚哈那里学到人类的分娩需要很长时间，对母体也是很大的负担。深夜时分，婴儿终于出生了，菲迪埃尔被允许抱了抱婴儿。然而，人类的婴儿太轻了，菲迪埃尔对其脆弱感到强烈的冲击。
0-chapter_name,黑暗中看到的光芒
