id,trans
filename,scene_evt180809_cp0_q2_s10
translator,Gemini
info,scene_evt180809_cp0_q2_s10
113,　\n　\n　　　　 　　──To be continued…
112,就这样，这座城市的\n「校园偶像」们\n获得了新生──
106,每个人的眼中，\n都充满了希望的光芒。
105,街道的景象焕然一新。\n笑容回来了。
104,这就是奇迹啊！
103,太好了……\n传达到了……！
102,嗯。
101,千歌酱。
100,曾经作为校园偶像\n努力过的女性们，\n为千歌她们送上了掌声。
99,…………
98,…………
97,所以，和我们一起……\n再次闪耀吧！
96,我们，是为了让大家\n重拾光辉才来到这里的！
95,和大家聊过之后，\n了解到这座城市发生的事之后……\n我好像明白了。
94,我们，也不知道\n为什么要来这里……
93,我们是Aqours！
92,我们是、校园偶像……
91,然后，一曲终了，\n巨大的欢呼声\n如倾盆大雨般朝着千歌她们袭来。
85,他们的脸上\n无不洋溢着笑容。
84,人们纷纷举起手臂，\n跳了起来。
83,要去抓住梦想\n不知道会发生什么\n这也是乐趣所在──
82,最初开始时的\n心动要一直珍惜下去
77,拥抱梦想 Jumping Heart\n只要这样就能向着明天前进\n青春全力冲刺！？
76,想要开始！ My Story\n蔚蓝的天空正在等待着我们
75,她们的歌声与舞蹈，\n倾注了她们的全部\n青春与热情。
74,九名少女在舞台之上\n确实地闪耀着。
73,…………
72,哇……\n哦……
71,稍微等等什么的做不到 想要飞奔而出\n我们心中的勇气正在躁动
70,shining road 这份心情开始奔跑\n笔直地、奋力地寻找着你
64,♪追寻着\n从未见过的梦想轨迹──
58,Sunshine！
57,Aqours──
56,上了！
55,嗯！
54,上吧，大家！\n为了正在等待着我们\n的大家，我们再唱一次吧！
53,我们的歌声，传达到了呢……！
52,千歌酱。怎么办？
51,…………
50,人们的声音逐渐变大，\n汇聚成了巨大的安可声\n响彻四周。
49,大家都想起了重要的事，\n脸上都露出了笑容。
48,演唱会的、后续……\n请让我们听到后续！
47,那个……Aqours的各位！
44,……不过，应该没事吧？
43,是的。尼希里斯的力量似乎\n还残留着。
42,真是个难缠的家伙……\n你没办法打倒它吗？
41,又扩散到整座岛上了……\n我已经无法感知到它的气息了。
40,消失了……
36,不……！
35,！？
34,尼希里斯的气息变弱了。\n现在或许可以吸收它的力量了！
32,我的力量……为什么……不起作用……！？
30,唔……！
21,上吧姬塔！
15,Yes♪\n可以说是大成功了呢♪
14,但是，大家最后都露出了笑容。
13,是不是有点太过火了……
12,真是的，闹得也太厉害了。
11,也没必要做到那种程度吧……
10,啊哈哈……被善子酱她们带着一起飞\n真是了不起的体验ずら。
9,和平时的演唱会相比\n要做的事情更多，真是辛苦了。
8,好累啊～……
0-synopsis,击退了尼希里斯的姬塔一行。虽然尼希里斯在露莉亚吸收其力量之前就消失了，但街道上的人们脸上都恢复了笑容，心中也重拾了希望。在观众的安可声中，Aqours再次登台，奉献了闪耀无比的表演，并向台下的人们呼吁「让我们一起再次闪耀吧！」。就这样，田纳西的校园偶像再次获得了新生。
0-chapter_name,碧蓝航线！！
