id,trans
filename,scene_exjob_shield_ep1_q1_s20
translator,Claude 3.5 Sonnet
info,scene_exjob_shield_ep1_q1_s20
91,这对誓盾者部队来说\n是首次也是最大的\n考验的到来。
90,前所未有的大群\n哥布林正在逼近……
89,但是……\n我们真的能应付得了吗？
88,不要慌张。\n回想一下到现在为止的训练！\n然后付诸实践吧。
87,怎么会……\n这不是前所未有规模的\n袭击吗！？
86,不，那个……\n看起来轻松超过了100……
85,<span class='scene-font-4'>什么！？</span>\n敌人的数量如何？
84,喂！敌人来了！\n一大群哥布林\n正涌向城镇！
81,<span class='scene-font-4'>啊！？</span>\n这，这个声音是……
79,就这样，从开始训练\n过了一段时间后……
73,不知不觉中，自卫团成员\n开始将这种战法和自己\n称为「誓盾者」。
72,于是姬塔决定\n教授他们专注于\n「防守」的战斗方式。
71,要让不习惯使用武器\n的城镇年轻人成长为独当一面的战士\n需要太多时间了。
70,嗯嗯。看来进展顺利啊。\n我们都没有\n帮忙的余地了呢。
69,我认为这就是\n决定胜负的关键。
68,是啊。然后\n就看谁能凭借勇气\n克服恐惧了。
67,诶？哥布林们\n也会感到害怕吗……
66,但是，这一点\n对敌人来说也是一样的吧。
65,别在意。\n没有人能毫无恐惧地\n踏上战场。
64,抱歉……\n虽说是为了保护城镇，\n但果然还是害怕战斗。
63,嗯……你说害怕战斗？
59,嗯——\n似懂非懂的感觉……
58,呼……用这两样\n让身心都调整到\n最佳状态。
57,不要慌张。\n要有如热浪般炽热的斗志\n和如冰水般冷静的判断力！
56,没错。这样一来\n与敌人的距离会变近\n可能会不自觉地后退——
55,嗯嗯。\n是这种感觉吗？
54,来，开始吧！\n盾牌的持法是这样的。\n要紧贴手臂和身体。
50-sel2_txt,参加波蕾米亚的训练
50-sel1_txt,帮助德里福德
50,嘿嘿。\n看来到处都在\n进行训练呢！
49,就这样\n姬塔一行对\n自卫团成员的特训开始了。
43,明白了。\n那么立即开始训练吧。\n请集合自卫团成员。
42,<span class='scene-font-4'>哈哈哈哈！</span>\n不愧是姬塔大人。\n就该这样啊！
41,<span class='scene-font-4'>太好了！</span>\n真的非常感谢！
40,是的。\n不回应求助的声音\n是可耻的行为。
39,没错！\n我们可不能见死不救\n抛弃遇到麻烦的人啊！
38,姬塔立即\n欣然接受了他们的请求。
37,所以我有个请求。\n请教我们\n像你们那样战斗的方法！
36,但即便如此\n我们也想要守护这个城镇。
35,……得到你们的帮助后\n我真切地感受到了。\n我们完全不行啊。
34,原来如此。感觉到配合不足，\n是因为作为平民\n缺乏经验的缘故啊。
33,是啊。因此我们对付\n日益扩大规模的哥布林袭击\n感到很头疼。
32,但是刚才的战斗表现……\n恐怕是缺乏实战经验的人\n比较多吧？
31,嘿～\n这可真了不起啊。
30,这就是说……\n你们在自己保护\n自己的城镇对吧。
29,多亏了你们才得救。\n我们是这个镇上的\n自卫团。
28,一度以为会变成什么样子……\n你们是骑空团吧。\n谢谢你们。
27,就这样，姬塔一行\n成功地将哥布林群\n赶了回去。
21,德里福德这么说道，\n姬塔\n有力地点了点头。
20,姬塔大人！\n我们去支援他们吧！
19,这，这是怎么回事！？
18,咕呀！？
17,嘿呀！
15,被哥布林群压倒，\n自卫团的每个人都预感到失败\n就在那一瞬间……！
14,啧！不行了！\n要被压制住了！
13,可恶……！\n这些家伙，一个接一个地来！
12,吱吱……吱——！
11,嘿嘿嘿嘿！
5,不过，由于数量上的差距，\n我们一直处于劣势。\n就在这时，他们出现了……
4,为了对抗哥布林，\n我们组建了自卫团。\n到这里为止还算顺利。
3,是啊……\n简单来说，就是我们\n遭受了哥布林族的袭击。
2,在这过程中，他听说了\n源自某个岛屿的战斗技能，\n于是向相关人员申请采访。
1,某人正在调查\n全空各地岛屿的\n战斗历史。
0-synopsis,有一天，姬塔一行来到了一个在与哥布林的战斗中处于劣势的城镇。城镇由自卫团守护，但他们缺乏技术和经验。姬塔一行决定训练自卫团，德里福德和波蕾米亚成为主力，教授他们专注于「防守」的战斗方式。不知不觉中，自卫团成员开始称这种战法和自己为「誓盾者」，并准备迎接即将到来的与哥布林的下一场战斗。
0-chapter_name,背负友人生命之人
