id,trans
filename,scene_evt160613_cp2_q1_s20
translator,Gemini
info,scene_evt160613_cp2_q1_s20
109,好的！\n我们走吧！
108,是啊……\n那就拜托你们了。
107,别在意！\n你也不知道地方吧？
106,你们要带我去？\n帮大忙了，真的可以吗？
105,是啊。\n那我们赶紧\n过去吧！
104,啊，没错！\n虽然是个怪人……\n但还挺可靠的！
103,杂货店？\n是收集各种\n情报的地方吗？
102,要不要去问问杂货店老板？\n他或许知道些什么？
101,那种东西，居然会突然出现，\n闻所未闻啊……
100,黑色龟裂，吗……？
99,那个黑色龟裂，前一秒\n还什么都没有的地方，\n突然就出现了。
98,缇娅说，自己是被类似空间裂缝的\n黑色龟裂所吞噬，等回过神来\n就已经在这座城镇附近了。
97,……这种话，\n你们可能\n不会相信……
96,虽然不太明白，\n但你是怎么来到这里的？
95,那，那个……\n是迷路了吗？
94,……我好像\n来到了很远的地方。在我原来的地方，\n从没听说过骑空士。
93,缇娅\n凝视着姬塔\n缓缓开口。
92,是啊……
91,姬塔和我们\n看起来虽然这样但都很可靠的！
90,喂喂，大姐。\n你还好吗？\n有什么困难就说出来吧？
89,原来……这里是法塔·格兰德，\n这样的地方啊……
88,在这个法塔·格兰德，\n居然不知道骑空士和骑空团\n不觉得奇怪吗？
87,骑空艇……骑空士……\n在空中，旅行……
86,那个……骑空团指的是，\n乘坐骑空艇在空中旅行，\n骑空士的集团。
85,诶？\n大姐，你不知道骑空团吗？
84,骑空团……真是陌生的词语，\n那是什么呢？
83,我是缇娅。\n缇娅·格兰兹。
82,还有，姬塔。\n是我们骑空团的团长。
81,是啊！ 我是碧。\n这位是露莉亚和伊欧。
80,……嗯，是的。\n原来你们也\n在刚才的食堂啊。
79,在刚才的食堂也看到了\n大姐你真厉害啊！\n是用歌声让他们睡着的吗？
78,啊，您好！
77,"……谁！？ "
76,啊哇！？\n才，才没有那回事！
75,你看吧。\n姬塔说了奇怪的话，\n露莉亚都沮丧了。
74,呜……\n的，的确是很漂亮的人……
73,真的呢～\n而且，不知为何我感觉到了一种\n不可思议的力量。
72-sel2_txt,人真美
72-sel1_txt,歌声真美
72,好厉害！\n是什么魔法吗？
71,什，什么啊！？\n那位大姐一唱歌\n他们就都睡着了？
69,不，不行了……\n好困……
67,唔……这是什么歌……！？\n突然感到一阵困意……
66,女性用她那美妙的歌喉\n哼唱出不可思议的旋律，\n男人们的身躯摇摇晃晃。
65,────……♪
64,吵死了！\n给我乖乖地……
63,想报复我？\n你们还真是无可救药啊。
62,嘿嘿嘿。\n真是个不错的女人啊。
61,臭女人！\n刚才竟敢那样对我！
55,那位大姐，\n可能有危险。\n我们走，姬塔！
54,啊，他们进小巷了。
53,喂，那不是\n刚才被赶出店的\n醉汉吗？
52,喂，等一下。\n那个人，是不是被奇怪的人跟踪了？
47,啊，是赶走\n醉汉的大姐呢。
46,那个人，是刚才的……
45,咦？
44,哈～肚子好饱。\n很好吃呢。
43,吃完饭后，一行人\n走出店门，走在街上。
40,对于漂亮地赶走醉汉的女性，\n一行人发出了佩服的声音。
39,嗯！\n是非常帅气的女性呢！
38,呼～那位大姐，\n真厉害啊！
36,那就好。\n抱歉打扰到大家了。\n我也要走了。
35,嗯！\n谢谢您！
34,……你还好吗？
32,可恶！\n给我等着！
31,周围的客人也纷纷指责\n醉汉的脸上浮现出悔恨的表情。
30,大叔，你就认输吧！
29,干得漂亮，大姐！\n再教训教训他！
28,疼疼疼！\n你，你干什么，\n混蛋……！
27,说着，女性\n将醉汉的手臂扭了上去。
26,好啊，那就来吧。
25,吵死了！ 不关你的事\n给我滚远点！ 要不然你\n来陪老子也行啊！？
24,喝醉了就对女性动手动脚，真是下作。\n赶紧放开她。
23,疼！\n你干什么！？
22,发出凛然声音的女性\n抓住了醉汉的手臂。
21,住手。
20,就在点头的姬塔准备起身时，\n另一个身影插进了醉汉和店员之间。
19,就是说啊！姬塔。
18,喂喂，你说什么呢！\n我也很饿啊\n但这样下去根本没法好好吃饭啊！
17,就在点头的姬塔准备起身时，\n另一个身影插进了醉汉和店员之间。
16,就是说啊！\n那个大叔，太过分了！
15-sel2_txt,比起那个我更饿……
15-sel1_txt,去阻止他吧
15,喂喂，\n这也太过分了吧？
14,醉汉抓住女店员的手腕\n强行拉扯。
13,呀啊！
12,叽叽歪歪真烦人！\n叫你来就赶紧过来！
11,真的，那个……！
10,店员小姐，看起来很困扰呢……
9,喂喂……那个大叔，\n大白天就喝醉了吗？
8,那个，因为我\n正在工作……
7,别说那种话嘛，\n陪我喝一杯\n不就好了？
6,什，什么啊？\n声音真大。
5,啊，客人，请不要这样！
4,喂喂，可以吧？\n来这边一起喝酒吧！
3,人还挺多的呢。\n是人气店铺吗？\n好吃的话就好了……
2,一行人在某个城镇歇脚，\n<span class='scene-font-katari'>为了吃饭</span>\n来到了一个很大的食堂。
1,是！\n已经饿扁啦～
0,啊～肚子好饿啊！
0-synopsis,姬塔一行在某城镇的食堂里，看到一位女性冷静地打发走了一个醉汉。之后，一行人在小巷里目睹了该女性被醉汉及其同伴包围，并用不可思议的歌声让醉汉们睡着的场景。这位女性自称缇娅，并表示自己是被类似空间裂缝的黑色龟裂所吞噬，从完全不同的地方来到了这座城镇。为了探寻关于黑色龟裂的情报，一行人决定带缇娅前往杂货店。
0-chapter_name,缇娅篇 歌声溶于青空
