id,trans
filename,scene_evt240329_cp3_q1_s10
translator,Claude 3 Opus
info,scene_evt240329_cp3_q1_s10
65,面对怒视着他们的尤瑞尔，\n莱拉和骑士团教官\n都无法从原地动弹。
64,我喊了多少次？\n让你们听我说话！
63,虽然你在那里滔滔不绝地讲大道理，\n但是不愿意给我们一个对话的机会，\n你不也是一样吗。
62,尤瑞尔……\n你应该已经被处决了才对……
61,你好啊。\n好久不见。
60,紧接着，\n尤瑞尔出现在那里。
57,史蒂文和弗兰\n似乎冷笑了一下，\n就像生丝散开一样消失了身影。
53,唔……\n处刑，吗。
52,杀害你们的尤瑞尔已经\n被加利班处决了啊！？
51,复仇……？
50,什么事……\n当然是为了复仇啊。\n复・仇。
49,你、你们……\n来这里到底有什么事……！？
48,停，停下！\n你这么责备公主殿下会哭的哦？
45,听好了，莱拉──
44,那是……
43,你也赞同\n我的观点吧。\n也认为应该由我这样的人治理国家。
42,既然如此就不该对此置之不理，而是\n更深入地探讨一下。\n对吧，莱拉。你也这么认为吧？
41,未来的骑士们用自己的头脑思考，\n提出了通过对话解决问题。
40,史、史蒂文先生……！？
39,哎呀呀……\n这也算是教育者吗？
38,这时，\n窗帘被风吹动，\n一个男人站在房间角落。
29,现在就一心一意地，\n为了成为出色的骑士，\n努力学习和训练吧！
28,喂喂，谈判\n无法解决问题的时候，\n不就是为了有蒙比克斯骑士团在吗。
27,那个……这个……
26,…………
25,莱拉想起已故未婚夫史蒂文\n向蒙比克斯王进言的\n对话政策，欲言又止。
22,武力无法解决任何问题。\n对话才是人类获得的\n最佳方案，不是吗！？
19,就不能不通过战斗，\n和其他国家解决问题吗？\n大家围坐在一起吃饭聊天……
18,但是被告知要缩小田地，\n就被送进了预科练……
17,其实我想和爸爸妈妈一起\n一直在田里种土豆之类的。
16,那个……\n我要是可以的话，不想战斗。
15,呵呵……没关系的。\n有什么在意的事吗？
14,但是……
13,你怎么了……\n莱拉大人在这里，\n你还摆出这种表情太失礼了。
12,…………
11,希望大家也能成为出色的骑士，\n展现勇敢的战斗。
10,由加利班团长率领的\n蒙比克斯骑士团，\n如今已是国家的象征和骄傲。
9,王女莱拉正在向\n肩负国家未来的见习骑士少年们\n讲述骑士团的作用。
8,蒙比克斯骑士团的预科练讲堂──
0-synopsis,莱拉在蒙比克斯骑士团的预科练讲堂给见习骑士的少年们上课时，本应已经死去的史蒂文和弗兰出现了。两人说是为了复仇而来，话音刚落便像融化一般消失不见，紧接着尤瑞尔出现了。尤瑞尔开始抱怨莱拉曾经不听他的话。
0-chapter_name,第3章 杀人魔尤瑞尔
