id,trans
filename,scene_evt260428_cp2_q4_s10
translator,gemini-3.1-pro-preview
info,scene_evt260428_cp2_q4_s10
137,为什么佣兵们会被\n使唤得累死累活的啊！？
136,干脆杀了我吧……\n我已经干不动……了……
135,救命啊～～……\n我已经不行了……
134,这里是敌人的大本营吧……？\n那为什么……
133,另一方面，此时\n突入冥界的涅莫涅等人——
132,这、这叫什么事啊……
127,变了模样的姬塔。
126,诶……？
119,看到姬塔的样子\n菲尔鲁卡失去了言语。\n在那里的是——
118,姬塔……！\n你没事吧——
117,过了一会儿，包裹着姬塔身体的\n瘴气消散了。
112,野兽慢慢地向这边靠近，\n将姬塔的身体\n包裹起来……
109,到这边来。\n我将引导你走向更高处。
108,在朦胧的意识中，姬塔\n看到了眼前巨大野兽的身影。
102,姬塔……！\n振作一点……！\n姬塔……！！
99,今天就先到此为止吧。\n为了让你作为战士彻底完成，\n我已经布下了“暗棋”。
96,在意识逐渐远去的过程中，\n姬塔的脑海中\n浮现出希涅·努伊的话语。
95,突然，\n一阵瘴气覆盖了姬塔的身体。
92,…………！\n姬塔！\n身体有没有异状……！
91,诅咒……？\n那个……难道说……
90,读到这里，\n菲尔鲁卡停下了手。
89,兽之力会逐渐侵蚀战士的灵魂，\n最终将其完全侵蚀。\n那，简直就像是诅咒一……样……
88,希涅·努伊能够将自己所拥有的\n“兽之力”的一部分\n授予它认可的对象。但是……
87,原来如此……希涅·努伊似乎是\n跨越了这里记载的名为“神兽凭”的试炼，\n获得了神之力的战士。
86,虽然对壁画的内容感到害怕，\n但菲尔鲁卡还是继续\n读着后面的记载。
85,作为代价，神明需要战士的灵魂。\n以战士死后的安宁为担保，\n在战士死后将其化为自己的从者。”
84,“希涅·努伊是与战士同在的神明。\n它会赋予跨越试炼的战士\n超越人类智慧的力量，但是——
83,找到了……\n关于冥界之神，希涅·努伊的记录……
82,……啊。
81,这好像是……关于库夫阿古代神明的\n记录……
80,墙面上画着一头巨大的野兽，\n下面用古代的库夫阿文字\n记录着些什么。
79,太好了……！找到了！\n好像是写着遗迹信息的\n壁画……！
74,姬塔和萨酱一边觉得\n她那样子有些不靠谱，\n一边跟在后面。
73,库夫阿的仪式有其相应的步骤。\n如果从现在看到的东西，\n推测其他地方的话……
72,菲尔鲁卡拿出笔记本，\n一边将里面的内容与遗迹内部进行比对\n一边向前走去。
71,如果是那样的话，应该会有\n为了说明仪式的背景和步骤而留下的记录。\n通常是以壁画之类的形式……
70,这个遗迹……也就是希涅·努伊\n称之为冥界的地方……\n原来似乎是个仪式场。
69,姬塔询问是否有\n什么办法，菲尔鲁卡\n稍作思考后开了口。
68,无论如何，遗迹的形状\n非常特殊，比起盲目地前进，\n希望能再多掌握一些遗迹的信息呢……
67,啊，对不起……\n我不小心就陷入沉思了……！\n虽然我有在注意……
66,不……但佣兵们应该\n没有那么高的忠诚度……\n也许不会把重要的地方交给他们……？
65,本来守卫的人数就很少呢……\n这一带难道不是那么\n重要的地方吗……？
63,是这个遗迹的层数比想象中\n要深吗？还是说\n把人手分配到别的事情上去了？
62,确实，相对于佣兵们的规模来说，\n分配在这里的人数很少呢。
