id,trans
filename,scene_evt240928_cp5_q1_s10
translator,Gemini
info,scene_evt240928_cp5_q1_s10
189,然而，完成这一切的骑士们\n脸上没有一丝笑容\n全都带着痛苦的表情。
188,不久，王城前的混乱\n平息下来。
187,我们……
186,呜……可恶……
181,以维恩的行动为开端，激动的\n居民们一个接一个地\n被制服。
180,唔……
179,放开！放开我！！
178,我要逮捕你！
176,……对不起，大叔！
175,（为什么我的话\n传达不到他们心里……！）
174,可恶……！
173,滚开！\n让我们过去！！
172,冷静点，冷静下来！！\n我会好好听你们说的，\n我会听你们说话……！！
169,（维恩酱，副团长……大家\n都会看着我的脸叫我）
168,（我出去巡逻的时候他们会跟我说\n辛苦了……还会告诉我面包\n刚出炉……）
165,（仔细一看，那个人，这个人……\n那边的大叔，大婶，\n我都认识）
164,为什么……！
163,不仅在战场上，\n你们还想把武器对准我们吗！？
162,为什么要发动战争！\n你们要怎么负责！！
161,保护我们的生活\n难道不是国家的责任吗！？
160,随着兰斯洛特的号令，\n骑士们开始镇压\n涌上来的居民。
159,是！
158,绝对不能伤害他们！！
157,把人们手中的武器夺走，让他们失去反抗能力！\n如果有人强烈抵抗\n可以将其逮捕。但是……
156,滚开！！
155,无处发泄的不满和愤怒，\n各种压抑的情绪\n如同漩涡般涌动。
153,是啊，必须想办法\n平息这场骚乱……！
152,兰酱，我们……
151,趁着骑士们拦住民众的空隙\n姬塔和亚瑟等人\n溜进了城门。
150,好，走吧！
149,是、是！
148,然后，\n把情况禀报给陛下\n并负责保护他！
147,指挥其他的见习骑士\n把城门内侧守住！
146,你觉得现在是顶嘴的时候吗！？
145,可是！我们也要……！
144,亚瑟你们这些见习骑士也\n和姬塔小姐一起进城！
143,知道了！
142,姬塔小姐，拜托你们照顾西尔芙大人！\n把她带到城里避难，保护好她！
141,唔……！
140,西尔芙的情况也很奇怪！\n她好像被\n街上的居民的情绪影响了……
139,呜、呜呜呜……！\n难受，痛苦，憎恨，恐惧……！！
138,团长，怎么办！？\n很多人情绪激动\n根本控制不住！
137,怎么会这样……！
136,都是国家的错吧！！
135,战争什么的，和我们没关系！\n物价上涨也好，\n治安恶化也好……
134,还给我们正常的生活！
133,一开始只是街上的居民之间\n发生了点小争执……
132,我、我们也不知道……！\n大家突然就\n变得很奇怪……
131,这不是街上的居民吗……\n怎么会变成这样！？
130,维恩副团长也来了……太好了！
129,这……发生什么事了！？
128,兰斯洛特团长！
127,你们在干什么！？
124,<span class='scene-font-4'>现在已经够糟糕的了！</span>\n得想办法才行……
123,怎、怎么办……\n再不阻止的话\n事情就糟了……！？
122,可恶……\n怎么会突然变成这样……！？
121,您没事吧！？
117,方木、扫帚、菜刀……\n人们把各种映入眼帘的东西\n都当作“武器”紧握在手中。
115,唔……！？
113,吵死了！！
112,求求你们冷静下来！
111,陷入狂乱的居民们，\n大举涌向王城前。
110,就是！\n都是因为你们无能\n我们才这么辛苦！
109,<span class='scene-font-4'>吵死了！</span>\n别以为是骑士\n就可以对我们颐指气使！！
108,喂，站住！\n说了让你们站住！！
