id,trans
filename,scene_chr1000_q1_s10
translator,gcli-gemini-3.1-pro-preview
info,scene_chr1000_q1_s10
151,看着满脸疑惑的格利德，\n阿拉南自信满满地笑了起来。
150,啊……？
149,好了好了，格利德先生啊。\n这说不定是个机会哦。
148,说得还真够做作的。\n是想使唤本大爷吗。
147,哎呀，如果有什么强大～的人\n能帮忙打倒魔物的话\n可就帮大忙了呢……（瞥眼）
146,这下可麻烦了……
145,是啊。那就是最后一杯了。\n啊～，真伤脑筋啊～\n这样下去生意都没法做啦～～
144,那么……老夫刚才\n喝的麦酒是……
143,其他酒馆也都断货了吧。\n我们家还算是撑得比较久的了……
142,其实最近啊，在运酒的路线上\n盘踞着魔物，\n导致那条路无法使用了呢。
141,哈……！？
140,来——啦！\n抱歉啊——，我在酒窖里翻了个底朝天\n可酒已经一滴都不剩了。
137,别敷衍我！　所以说酒鬼就是这样！\n把别人的话……
136,<span class='scene-font-4'>喂——！</span>\n我点的酒怎么样了啊——！？
135,啊——啊——烦死了。
134,说到底，我们来这里是为了寻找能修理遗物的\n材料的对吧？\n你也有要回到原来世界的理由……
133,啊？\n那个小鬼，什么时候说过这种事……
132,这种主动摄入会让判断力迟钝之物的\n愚蠢行为我是绝对不会允许的。麟先生也\n严格命令过不能让你喝酒。
131,不行。唯独这件事\n就算是你格利德先生\n我也不会让步的。
130,所以你看，对吧，比起明天的事，\n首先解决口渴问题\n才是最优先的吧？
129,不是没喝，\n是没喝成！！
128,话说，虽然我觉得不太可能\n你还没喝吧？
127,那个人的身体\n才15岁啊！\n请不要让他喝酒！
126,是啊！　怎么能让你回去，笨蛋！\n让老夫请你一杯！
125,回什么去，笨蛋！\n酒还没端上来呢！
124,聊得正起劲的格利德和阿拉南\n对迪亚曼的话瞪大了眼睛。
123,好了，回去了格利德先生。\n明天还要早起呢。
122,也就是说只是因为聊得开心就凑到一起了吗……\n白白过度解读了啊。
121,……然后，两人就完全意气相投了。
115,不过，是啊。\n在酒端上来之前，\n我就继续讲我的故事吧──
114,<span class='scene-font-4'>嘎哈哈！</span>\n这不还是没说对嘛老头！
113,竟然能毫不顾忌地、将真心话\n袒露到这种地步，真是令人钦佩啊，\n何门什么什么的格利德先生哟！
112,我就是强欲的<ruby>人造人<rt>Homunculus</rt></ruby>、\n<span class='scene-font-4'>格利德大爷！</span>
111,我想要这世上的一切！！！
110,我想要金钱！\n也想要女人！\n还有地位！名誉！！
109,毕竟我是强欲的化身啊。
108,嘿，眼光不错嘛老头。\n没错。我格利德。\n想要的不仅是酒。
107,老夫也说不清，\n是器量还是风格之类的……\n就是那种，能把东西连根拔起，“嘎！”地带走的感觉。
106,啊？　有什么特质？
105,（又在随口胡说八道了……）
104,哦……？\n这么说来，确实……\n你这家伙，好像“有什么特质”啊。
103,再说，别把本大爷格利德\n跟普通的酒鬼混为一谈。
102,都说是<ruby>人造人<rt>Homunculus</rt></ruby>了。\n老头，你完全没说对啊。
