id,trans
filename,scene_evt220228_cp10_q2_s10
translator,Gemini
info,scene_evt220228_cp10_q2_s10
66,无论这个选择\n最终会带来怎样的结果。
65,她明白，不做出选择就\n无法继续前进。
64,姬塔\n重新握紧露莉亚的手，\n向尤妮点了点头。
63,特异点……
61-sel1_txt,我明白了
61,对于正在迷茫的科斯莫斯来说，\n你们的答案都是有意义的。
60,无论你们\n是否认可科斯莫斯……
59,但是……
58,或许我只是在\n强迫自己相信\n自己的使命和愿望是相同的……
57,我不知道……
56,尤妮的声音\n微微颤抖着。
55,……其实，我也不知道。
54,我们做出的选择，\n真的能够帮助到\n科斯莫斯大人吗？
53,尤妮酱说，\n希望我们能够帮助科斯莫斯大人。
52,所以，特异点。\n我希望由你来做出选择。
51,但是，能够制裁科斯莫斯的\n星之民首领路西法\n已经不在了。
45,我答应你。
44,……我知道了。
43,在科斯莫斯\n坦率的目光注视下，\n路西法深吸一口气，\n缓缓吐出。
42,就由你来制裁我吧。
41,如果你认为\n科斯莫斯应当消失，那么……
40,特异点与科斯莫斯的调停……\n究竟哪一方\n才是空之世界进化所需的答案。
39,只需依照你\n身为星之民首领的立场\n做出判断即可。
38,作为星之民的首领，对特异点和\n科斯莫斯做出调停。
37,如果我所恐惧的事态\n真的发生……\n就由你来判断。
31,她也和路西法约定好了……
30,……科斯莫斯\n早已做好心理准备，\n知道这样的日子终会到来。
29,<span class='scene-font-4'>请等一下！</span>\n那科斯莫斯大人\n会怎么样！？
28,名为科斯莫斯的系统\n将迎来终结，空之世界\n也将从星之调停的手中解放。
27,诶！\n最终的引导……！？
26,迷茫的科斯莫斯，\n也会因此迎来最终的引导……
25,你们返回现世，\n就意味着否定\n此前执行的调停。
24,沉默片刻后，\n尤妮像是心中有所疑虑，\n缓缓开口说道。
23,…………
22,姬塔的心情\n也和露莉亚一样。\n她探寻似的注视着尤妮。
21,那个……我感觉\n根本不需要考虑……
20,呃……
19,没错。
18,或者我们复活，一切恢复原样，\n必须在这两者之中做出选择……\n对吧。
17,也就是说，就这样姬塔和我\n都死了，\n世界也会跟着毁灭……
14,没错。\n是不可或缺的存在。\n一旦失去，世界将会迎来毁灭。
13,呃，那也就是说\n姬塔对于这个世界而言……
9,它并非从外部破坏天平的存在，\n反而是支撑天平的\n关键所在。
4,特异点，与科斯莫斯\n设想的\n完全不同，出现在了空之世界。
1,诶……可是，刚才\n尤妮酱说过了吧？
0-synopsis,尤妮说，如果姬塔一行人选择继续活下去，就等于否定了此前执行的调停，会导致名为科斯莫斯的系统迎来终结。虽然不知道这样做是否真的能帮助到科斯莫斯，但对于正在为自己的调停是否正确而迷茫的科斯莫斯来说，这或许是有意义的——尤妮的声音颤抖着说道。姬塔接受了这一切，下定决心做出选择。
0-chapter_name,第二话 特异点的选择
