id,trans
filename,scene_evt181209_cp3_q2_s10
translator,Gemini
info,scene_evt181209_cp3_q2_s10
83,姬塔一行人虽然心中不安，\n但也只能等待凯露的好消息了。
82,说完，\n凯露便追着男人们的身影，\n转瞬间消失在夜幕之中。
74,好啦好啦。\n你们就安心等着吧。\n走了！
72,凯、凯露小姐……\n请务必小心。\n千万不要勉强……
71,那就交给我吧。\n可萝就拜托你了。
70,面对凯露的疑问，\n姬塔小姐摇了摇头。
69,姬塔小姐你做得到吗？
68,太、太厉害了吧……
67,诶！？\n凯露小姐，\n你居然能做到这种事？
66,我可以用魔法\n隐藏自己的气息，\n还能消除脚步声。
65,专业人士……？
64,虽然也不是什么值得夸耀的事。
63,毕竟，我可是跟踪的\n专业人士。
62,姬塔小姐想去？\n这里就交给我吧。
61,虽然也不是什么值得夸耀的事。
60,不过很遗憾，我可是跟踪的\n专业人士。
59,呵呵，担心我吗？\n谢谢。
58-sel2_txt,我去
58-sel1_txt,太危险了
58,如果刚才的话是真的，\n那些家伙一定知道些什么。\n不能在这里跟丢了。
57,什、什么……？
56,这样吧，那些家伙\n就由我一个人去跟踪。\n你们在这里等着。
55,可是，这么多人去跟踪，\n马上就会被发现吧……
54,那个方向……\n是人烟稀少的地方。
53,啊，喂！\n那些家伙，要走远了！
50,…………
49,…………
48,也就是说……\n他是装作不知道吗？\n那些家伙，在隐瞒什么……？
47,那家伙明明早就知道了，\n之前问起「主人」的事，\n却说「不知道」来着？
46,嗯……\n那是什么意思？
45,具体是什么时候我也记不清了，\n不过至少有十天了吧……
44,没错。\n和那群看起来很凶的家伙在一起，\n我还担心他来着。
43,我说，大哥……\n真的和那些家伙在一起吗？\n那是多久之前的事了？
42,的确是那家伙！\n我也想起来了！
41,正是几天前，\n对打听消息的可可萝\n恶语相向的男人。
39,居民所指的那群看起来很凶的男人\n姬塔小姐也觉得眼熟。
38,哎呀？那位是……
37,…………
36,啊！去问问那几个人吧！\n我看到他和他们在一起！
35,……嗯？
34,不，那就不清楚了……\n说起来这几天都没看到他，\n说不定去了别的街区了──
33,那……那家伙现在在哪里？\n知道他有没有来这个祭典吗？
32,是、是的……\n非常感谢。\n碧先生，露莉亚小姐……
31,前进了一大步呢！可可萝！
30,终于找到线索了！！
29,果然「主人」是迷路了，\n在寻找我们……
28,是不是本人我也不清楚，\n不过年龄和服装都完全一致。\n一直在我们街区附近徘徊。
27,那、那是真的吗？\n真的是「主人」吗！？
26,啊，看到了。在我住的街区。
25,你刚才说……看到了？
24,诶……诶！？\n看、看到了……！？
23,……嗯？
22,啊……这样啊……\n那，谢谢了……
21,啊，那个家伙的话我见过。
16,看着人流攒动的街道，\n凯露开始怀疑是否能得到想要的目击情报……
15,嗯，希望如此吧……\n在这么多人里，\n我们真的能遇到吗？
14,人这么多，\n一定会有认识「主人」的人。
13,当然，为了以防「主人」没来，\n除了佩可莉努以外的其他人\n也要继续打听消息。
12,这是姬塔小姐为了利用即将举办的大胃王比赛\n来寻找「主人」而想出的作战计划。
11,不是我们去找，\n而是让对方发现我们。
10,就能更容易找到了对吧。\n我知道啦……
9,是的。而且……\n如果主人在这里的话，\n佩可莉努小姐就能吸引他的注意……
8,可是凯露小姐……\n佩可莉努也努力地\n在打听消息了。
7,明明必须找到那个家伙\n怎么可以只顾着吃……
5,望着热闹的比赛舞台，\n凯露似乎欲言又止，\n皱起了眉头。
4,…………
3,大胃王比赛，好热闹啊～\n大家好像都被佩可姐姐的吃相给惊呆了！
0-synopsis,姬塔一行边远远观望着大胃王比赛边打听着消息，终于遇到了知道「主人」消息的人。「主人」似乎和一群看起来很凶的男人在一起，而其中一人正是之前可可萝打听消息时一口咬定「不知道」的男人。凯露怀疑男人在说谎，便将姬塔等人留在原地，独自一人开始了对男人们的跟踪。
0-chapter_name,第三章 那是美食中不可或缺之物
