id,trans
filename,scene_evt211129_cp0_q2_s10
translator,Gemini
info,scene_evt211129_cp0_q2_s10
222,　\n　\n　　　　　　　　　　　　　——END？
213,就像仅仅通过望远镜观察星星，\n无法理解夜空的全貌一样——
209,但是，姬塔等人\n面对的阴谋浓重而深邃，\n全貌尚未明朗。
208,就这样，旧天文台的战斗，\n在没有失去任何一个同伴的情况下，\n静静地落下了帷幕。
207,只有脚步声回响着，\n菲尔迪南德\n缓缓离去。
206,真是……长成了一个温柔的孩子呢。\n是爸爸的骄傲。
205,那化作了治疗魔法，\n注入了濒死的拉伽佐体内。
203,缇可呐喊着，\n从阿斯克勒庇俄斯之杖中\n解放出魔力。
202,呜哇啊啊啊啊啊！！
201,唔……！
200,按你想的去做就好。\n但是，已经没有时间了。
199,…………！
198,如果你真的这么想，\n那就释放你积蓄的魔力好了。
197,等等！！
196,在一行人只能不甘心地看着\n菲尔迪南德离去的背影时，\n缇可向前迈出了一步。
194,没必要这么着急。\n还会有再见的机会的。
193,姬塔环顾着\n遍体鳞伤的同伴们，\n握着剑陷入了纠结。
192-sel1_txt,…………！
192,现在，如果我叫来监察屋，\n然后在这里开战的话……
191,虽然能在这里相遇是我的荣幸，\n但也希望姬塔君好好考虑一下。\n考虑一下全员都能平安回去的方法。
190,不，我会逃……全力地逃。\n说到逃跑我可是很有自信的。
189-sel1_txt,绝对不会让你逃掉……！
189,还是算了吧。\n你们已经筋疲力尽了吧？
188,开什么玩笑！\n怎么可能让你白白回去！
187,那么，我就告辞了。
186,毕竟……你是医生嘛。
185,如果放任不管，我会因失血过多\n很快死掉吧，\n但你没有那样做。
184,医生，你无论何时都是个医生。\n你救了我的那天，\n我深切地体会到了这一点。
183,无法理解状况的缇可陷入混乱，\n而菲尔迪南德则\n若无其事地整理着仪容。
182,为什么……？\n到底是怎么回事……！？
181,拜托了……求求你了……！
180,那家伙，也是受害者……\n被菲尔迪南德陷害了……
179,…………！？
178,缇可……\n请救救，拉伽佐……！
177,<span class='scene-font-4'>吵死了！</span>\n让你再也张不开嘴——
176,嘛，算了……\n只是，你的话就能救……\n不，是只有你才能救的生命。
175,才没有……
174,是这样吗？\n但你的魔力\n似乎有所动摇呢……
173,那，那家伙是你的部下……！\n我才没有义务救他！
172,…………！？
171,菲尔迪南德指的是\n躺在血泊中的\n拉伽佐。
170,哈啊……！？
169,缇可医生是医生吧？\n不去救那边快要死的「患者」，\n真的好吗？
168,呐，香农……\n不对，是缇可医生吧……\n你有空管我吗？
167,那时候「手术」的后续\n现在就在这里开始！
166,缇可用单手取出无数手术刀，\n灌注了全部的魔力。
164,有什么好笑的！
163,呵呵……！\n真是有趣啊。\n那就是你的选择吗。
162,菲尔迪南德微笑着，\n饶有兴趣地\n看着失去意识的菲欧丽特。
161,……啊啊，不对，托尔君\n是在二楼照顾伤心的\n库比坦君吗？
160,呵呵，大家都来了啊。
159,以及，背着身负重伤、\n浑身是血的菲欧丽特的\n姬塔的身影。
158,————
156,赶到那里的是，\n缇可，科尔露，\n碧，露莉亚——
155,<span class='scene-font-4'>没事吧！？</span>\n菲扎还有……兰德尔！？
153,要不是我躲开了就死了……！\n怎么能对爸爸做这种事！
152,明明是久别重逢，\n居然突然就扔手术刀……！
151,菲尔迪南德！！
150,香农！\n好久不见了啊……！
149,…………！
147,不知从何处飞来的刀刃，\n擦过菲尔迪南德的脸颊，\n溅出血花。
146,哦っと……！
143,好了……\n那么，差不多该——
142,最好不要勉强行动。\n你们的能力\n负担尤其大呢。
141,菲尔迪南德……！\n只有你……绝对……！
140,菲扎和兰德尔\n怒视着感慨万千的菲尔迪南德。
139,虽说他的<span class='scene-font-spword'>资质（Natal Chart）</span>\n本就优秀，\n没想到一瞬间就能引导至适应。
138,真是超乎期待的「教育」啊。
132,…………！
131,为了不玷污斯皮卡家的名声，\n能否请你们进行\n更加严厉的「教育」呢？
130,我的话或许能说服校长……\n不过，最好能让别人\n清楚地看到他反省的样子……
129,能不能……\n能不能想办法不把事情闹大\n呢……？
128,啊啊，怎么会这样……！
127,……也就是说，贵公子\n犯下了盗窃行为……\n这样下去，相应的处罚是免不了的。
123,然后，在那天晚上，\n以学校相关人员的身份接触了他的双亲——
122,给拉伽佐送去禁书，\n诱导他去偷出\n绯红之指。
118,除掉了斯皮卡家的潜力股，\n营造出让本家长子\n背负沉重期待的环境。
112,可是费了不少功夫呢。
111,「星座」……你说……？
110,因为那样的「星座」，\n是我描绘出来的啊。
109,啊啊，他确实很努力了。\n无论带到哪里都不会丢脸，\n是我引以为傲的儿子。
107,为什么，菲尔迪南德……！\n拉伽佐是为了你——
106,可恶……！！
105,拉伽佐……！
104,拉伽佐眼中的光芒消失了，\n伸出的手臂无力地垂下。
103,————
102,（真想……\n被摸着头说「你很努力了呢」啊……——）
101,（啊啊，但是……\n如果最后还能奢求一点的话……）
96,（这样就好……\n如果能帮上你的忙的话……）
95,温热的液体滴落，\n将掉落的书染成了红色。
94,拉伽佐\n像是要抓住遥不可及的星星一般，\n向菲尔迪南德伸出了手臂。
93,…………
92,正在<span class='scene-font-spword'>星律（Harmonics）</span>……\n完美的成品。
91,菲尔迪南德以恍惚的表情\n注视着连着拉伽佐手腕的\n绯红之指。
90,啊啊，太棒了……\n真不愧是我的儿子。
89,抱歉啊，很痛吧？\n但是，只能连同手腕一起砍下来呢。\n和处理鸡肉是同样的要领。
88,噶……啊啊啊啊啊！！！
87,菲尔迪南德面带微笑，\n朝着拉伽佐的手腕\n挥下了短剑。
86,那么，终于到了收获的时候了！
85,呼……\n总算老实了呢。
84,……————
83,住……手……！
82,菲尔迪南德\n对着挣扎的拉伽佐\n一次又一次地刺下短剑。
80,生命！是很宝贵的！
79,……嘎啊！
78,我没打算杀了你。
77,咕啵……！？
76,啊啊，别乱动！
75,咕啵！噶哈！！
