id,trans
filename,scene_fate_chr035_ep1
translator,Gemini
info,scene_fate_chr035_ep1
60,与公主的相遇，\n是很久以后的故事？\n还是说──
59,为了邂逅命运中的公主\n与姬塔一起，\n安洁飞向了新的世界。
58,嗯哼哼，有安洁酱在的话，\n一定会成为很棒的冒险的！\n我们一起去吧！
57,姬塔，你\n在说什么傻话啊！\n王子殿下为什么要去找王子殿下啊？
56-sel2_txt,我觉得你应该去找王子殿下……
56-sel1_txt,帮你寻找公主吧！
56,环游世界的空中旅行，吗。\n想要寻找命运中的公主，\n这不是最合适的方法了吗？
55,啊，说到这个……\n你们，是骑空团吧？
54,啊……没什么没什么！\n话说回来，\n希望你能遇到命运中的公主啊！
53,走火入魔……？
52,原来如此！太憧憬小时候救了自己的\n王子殿下了，都走火入魔了。\n……原来是这样啊！
51,我……我要成为像那个人一样\n出色的王子殿下，\n保护命运中的公主！
49,那是，对安洁而言\n命中注定的邂逅──
48,被魔物袭击身陷险境\n年幼的安洁被一位\n如同童话故事中走出的王子殿下般的青年所救。
47,安洁脸颊绯红，陶醉其中，\n开始讲述起童年的回忆。
45,那个，我觉得一点也不奇怪。\n但是，你为什么要成为王子殿下呢\n我有点好奇……
44,……但是，果然还是有点奇怪吧。
43,不管别人怎么说，\n我都要成为出色的王子殿下！
42,这……这有什么关系！\n女孩子憧憬王子殿下。
41,你说什么！？\n可是，安洁你是女孩子吧？\n为什么要成为王子殿下……
40,成为出色的王子殿下，\n是我的梦想！
39,我呢，为了与在世界某处\n等待着王子殿下的命运中的公主\n相遇，才踏上旅途的。
38,嘛……确实姬塔和露莉亚的\n相遇是命运的安排。
37,哇哇哇～……！\n我、我是姬塔的\n命运之人……嘿嘿嘿～
36,你找到了命运之人，真是令我羡慕。
35,别说傻话了！！\n我羡慕的\n是你啊，姬塔！
34,怎么怎么了？\n戴帽子的姐姐你也，想让谁来保护\n你吗？
33,真让人羡慕啊……
32,原来如此……看来不用我担心\n你已经有\n可以保护你的人了。
31,嗯哼哼。\n我们第一次相遇的时候，就是她\n从坏人手里保护了我！
30,是的！\n姬塔她，非～常\n强的！
29,骑空团……吗。\n怪不得，身手如此不凡！
28,怎么样！\n别看她这样，她可是统领骑空团\n的团长啊！
27,嘿嘿嘿！\n姬塔她，怎么可能会弱不禁风\n真是笑死人了！
26,真令人惊讶……\n没想到，你们居然这么\n强……
22,什……么！喂，姬塔！\n虽然不知道怎么回事\n但我们可不能输啊！
21,不用客气。\n我的职责就是，保护像你这样\n的淑女！
20,那、那个……？
19,小姐，请放心。\n为了不让你受伤，接下来就由我\n来保护你！
18,哼……看来你没有\n闲工夫聊天啊。
16,什……么！你说谁弱不禁风！？\n别小看人啊！\n姬塔她可是……
15,但是……在这片幽深的森林里，\n像你们这样弱不禁风的人\n到处乱逛很危险的。
14,什么……我还以为\n是魔物出现了呢……\n嘛，既然不是那就好。
13,是啊是啊！\n不是魔物啦，只是她摔倒了而已！
12,我没事！\n就算说受伤，也只不过是\n擦破点皮而已，而且……
11,竟然让像你这样柔弱的女孩子\n受伤……\n魔物……看我把你打倒！
10,我是安洁·德朗热！\n听到尖叫声就过来看看……\n你，受伤了吧！
9,哇！\n你是谁啊！
8,你没事吧！！
7,哎呀，说曹操曹操到！\n是魔物登场了吗！？
5,真是的……\n太掉以轻心的话，\n会被魔物盯上的哦！
4,嘿嘿嘿……
3,喂喂……你没事吧露莉亚？\n能在这种空无一物的地方摔倒\n你也真是个人才啊！
2,哎哟……好痛……
1,呀啊啊啊啊！
0-synopsis,为了邂逅命运中的公主，每天都为成为理想的王子殿下而努力的少女，安洁·德朗热。为了寻求与姬塔和露莉亚那样的命运邂逅，她恳请一同踏上天空之旅。
0-chapter_name,追寻命运的少女
