id,trans
filename,scene_evt190527_cp4_q2_s10
translator,Gemini
info,scene_evt190527_cp4_q2_s10
47,好的，回头见！
46,嗯。\n那……回头见。
45,谢谢你，薇特尔。\n那这张符纸我就收下了！
44,是啊……我们\n要尽一切努力才行！
43,虽然不知道会不会有效……\n但试试看吧，拜托你了\n法斯提瓦。
42,符纸……？
41,嗯……\n今晚睡觉的时候\n把这张符纸放在枕头底下。
40,哇！真的吗，薇特尔！
39,我或许\n可以帮上忙，\n问出姬塔小姐的烦恼。
38,谢谢……\n那个，所以……所以说。
37,如果我是你的话，\n我想我也会停下来听的。\n所以请不要太在意。
36,你也在担心团长，\n对吧，薇特尔。
35,对不起，\n我不是故意\n偷听的……
34,那个，我听到你们\n在谈论姬塔小姐的事。
33,啊！是薇特尔啊。\n怎么了？
32,那个……法斯提瓦。
30,唉……
29,目送着为准备出发而离开座位的\n露莉亚她们，\n法斯提瓦忧郁地叹了口气。
26,好的！\n还有，我会努力\n不让姬塔勉强自己的！
25,我留守骑空艇。\n大家都要小心哦。\n千万别受伤了！
24,如果我没记错的话，今晚你们要\n在完成委托的村子里过夜吧。
23,啊……说的是呢！\n不能迟到！\n得准备出发了。
22,差不多该为完成委托\n出发去城镇了。
21,露莉亚她们想要探寻姬塔情绪低落的原因，\n但她们想不到什么好办法。
20,可是……团长关闭的\n心门钥匙，究竟在哪里呢……
19,无论如何都要想办法让团长\n对我们敞开心扉才行啊。
18,感觉她好像不想让我再问下去了，\n所以我也不好再问了……
17,我试着问她「您是不是有什么烦恼？」，\n但她却说「没有」。
16,问题是怎么宠着她啊。\n感觉她好像很消沉，\n但我们都不知道原因是什么……
15,贾米尔说得对……\n所以我们更要\n好好地宠着团长才行。
14,我对此也深有体会。\n自己没有意识到的东西\n应该还有很多吧。
13,或许是说，从小养成的习惯，\n不是那么容易改掉的……
12,明明在我们面前，无论给我们添多少麻烦都没关系的……\n……我们根本不会觉得是麻烦事。
11,说不定是因为她从小就照顾着她的\n村子里的人，不想给他们添麻烦……
10,姬塔她，\n很会掩饰自己不舒服。
9,那也没办法啊！
8,然后……真是抱歉。我竟然直到被拜托商量这件事才注意到团长身体欠佳。
7,法斯提瓦小姐……
6,被你们叫到这种谈论团长的事情的地方来，我深感责任重大，同时也倍感荣幸。
5,我知道露莉亚、碧还有贾米尔，你们有多么珍视团长。
4,请不要放在心上，露莉亚。不如说被叫来我很开心。
3,法斯提瓦小姐，真是不好意思。明明昨晚已经很忙了，还一大早把您叫来……
2,为了商量姬塔的情况，露莉亚、碧、贾米尔和法斯提瓦聚到了一起。
1,贾米尔将姬塔身体欠佳的事告诉法斯提瓦的第二天早晨。
0-synopsis,法斯提瓦、露莉亚、碧、贾米尔聚到一起商量关于姬塔的烦恼。然而，他们并不知道姬塔在烦恼什么，姬塔一行人就这样出发去完成委托了。对留在骑空艇上的法斯提瓦搭话的是薇特尔。薇特尔说她或许能够帮上忙，并交给了法斯提瓦一张符纸。
0-chapter_name,第四话 迷雾绿
