id,trans
filename,scene_evt180430_cp0_q1_s10
translator,Gemini
info,scene_evt180430_cp0_q1_s10
70,战士们挑战自身肉体的极限，\n热血沸腾地将力量相互碰撞的战斗如今\n拉开了帷幕──！
69,来自法塔·格兰德各地的\n格斗家们齐聚一堂\n参加苍穹斗技大会。
68,但是……太激动了\n结果在赛场外打起来\n这种事就饶了我吧！
67,第一届苍穹斗技大会！\n看来决赛也\n非常值得期待！
66,看到从各组中脱颖而出的\n强者们的身影，\n观众们爆发出更加热烈的欢呼声。
65,<span class='scene-font-4'>喔哦哦哦哦！</span>\n我的拳头燃烧起来了啊啊啊！！
61,哈！\n那是当然的，我可不会在这里输掉！
57,切……\n全是些猪猡。
53,垃圾终于清理干净了呢。
42,啊啊，都打哈欠了。\n就没有更厉害的家伙\n了吗？
38,还差得远呢！\n我可不止这点本事！
34,在这之中，接连不断地有\n选手从决赛中\n脱颖而出。
33,斗技场中弥漫的热情，\n炙烤着人们的\n心灵，使其动摇。
27,咕啊啊啊！\n这、这是什么力量……！
21,<span class='scene-font-4'>我的当然也不够用！</span>\n不只是眼睛，\n我已经不够用了！！
20,所有12组同时进行比赛的预选赛。\n眼睛再多也不够用吧\n这么多观众都是这么想的吧！？
19,啊啊啊到底是怎么回事啊！\n我到底该看哪里！？
17,喂！\n第七组\n好像很不得了啊！
16,每组，只有坚持到最后的\n一人才能进入决赛\n！
15,预选赛是以12组为单位进行的\n大逃杀形式！
14,什么！？\n可恶，错过了吗！
13,喂，第二组好像\n已经决出胜负了哦！
12,这里，阿尔比恩的斗技场\n热浪滚滚\n简直令人窒息！
11,真是精彩！预选赛开始就\n气氛高涨到令人难以置信！\n苍穹斗技大会！！
10,呜啊！可恶！\n我可不会在这里输掉！
9,哇！\n那是什么踢技！？
8,充满斗志的怒吼。\n兴奋的欢呼声。
7,<span class='scene-font-4'>喔哦哦哦！</span>\n上啊！就是那里！
1,<span class='scene-font-4'>咕啊啊啊！</span>\n接招吧！
0-synopsis,在<span class='scene-font-place'>城塞都市阿尔比恩</span>的斗技场中，名为「苍穹斗技大会」的武斗大会拉开帷幕，来自世界各地的格斗家们齐聚一堂。在群情激昂的氛围中，从大逃杀方式的预选中脱颖而出的猛将们接连登场亮相。就这样，即将开始的决赛中出现了阿丽莎、菲扎、兰德尔等人的身影。
0-chapter_name,开幕式
