id,trans
filename,scene_evt150131_cp1_q2_s20
translator,Gemini
info,scene_evt150131_cp1_q2_s20
34,退后，露莉娅！\n赶快解决掉它，姬塔！
32,这、这些点心我不会交给你的！\n这些是送给萨拉的！
31,呀啊！\n可、是黑色魔物！！
30,呜……叽……
29,希望如此……
28,如果是和露莉娅一起\n也许能让她\n提起一点食欲也说不定。
27,萨拉自从身体抱恙之后，\n就没什么食欲了……
26,唔～，比起花更喜欢团子吗\n怎么说呢……真像露莉娅的风格。
25,嘿嘿，是点心！\n因为我和萨拉约好了，\n要一起吃点心！
24,话说回来，\n露莉娅你带了什么礼物？
23,这是露莉娅精心挑选的礼物。\n她一定会喜欢的。
22,不知道萨拉\n会不会喜欢我带的礼物呢？
16,哼！\n……萨拉还在等着呢。\n我们快点过去吧。
15,啊！……咳咳。\n啊，没什么？
14,……你傻笑什么。
13,呵呵……
12,……不过，\n我不会原谅他\n那样苛待萨拉。
11,是啊。\n常年执掌国家大事，\n果然有两把刷子。
10,嘿～，之前见到他的时候\n还以为他只是个讨厌的家伙，\n没想到还挺能干的嘛！
9,没错。\n他是神官长，\n也是这个国家政治的中心人物。
8,呃，乌玛尔是\n这个国家的大人物吧？
7,比如，如果有消息称黑色魔物出现在小村庄，\n乌玛尔大人的私兵\n直属部队就会前去支援。
6,而且，就算黑色魔物出现了\n乌玛尔大人也会迅速应对。
5,是啊。\n只要黑色魔物不出现，\n就和往常一样。
4,村里的人们依然平稳地\n过着日常生活呢。
3,我还以为因为魔物异常增殖，\n岛上会很混乱……
2,哎呀，是吗！\n那我要买一些。
1,哦，你真有眼光。\n这可是今天用骑空艇\n运来的！
0,哎呀，这水果看起来真好吃。
0-synopsis,卡塔莉娜注意到，即使黑色魔物异常增殖，岛上的人们依然过着和平的日常生活。据说这是因为神官长乌玛尔的调度，才将损失控制在最小限度。此时，露莉娅带着慰问萨拉的点心来了。波蕾米亚对说要遵守和萨拉一起吃点心的约定的露莉娅说，虽然萨拉的食欲下降了，但如果是和露莉娅一起，她也许会吃的。
0-chapter_name,第1话 再访萨贝尔岛
