id,trans
filename,scene_chr022_q2_s10
translator,Gemini
info,scene_chr022_q2_s10
18,现在的年轻人，\n真是不懂得敬畏古老的事物。\n就让我来好好教训你们一番吧！
17,正合我意。\n你们如此肆意破坏遗迹，\n我早就忍无可忍了。
16,姐姐……\n怎、怎么回事？
15,……呵呵……\n库库库……\n……啊哈哈哈哈！
14,唔……\n不出所料……吗。
13,咕噜噜噜……
12,嘿嘿嘿……不然的话……
11,喂！你们几个！\n不想吃苦头的话，\n就把那个女人交给我。
10,原来如此……你还真是\n够粗暴的呢……
9,所以……没办法，\n我正打算\n把这片遗迹给拆了！
8,嘿嘿嘿……\n我找到了一张像是藏宝图的东西，\n但是上面的古老文字我却看不懂！
7,咻……真是走运啊！\n要是有你在，\n就能找到宝藏的位置了。
6,……如果我说看得懂呢？
5,喂，那个妖精族的女人！\n你刚才说什么咒语来着……\n你看得懂这些古老的文字吗？
4,……！
3,嘿嘿嘿……\n小姑娘感觉还挺敏锐的嘛。
2,说不定是有人在操纵魔物\n想要赶走我们……
1,那个……刚才，\n我好像看到建筑物深处\n有人影……
0,不过，真奇怪。\n这里原本应该是被施了\n防止魔物靠近的咒语才对……
0-synopsis,释放魔物的，是一个为了寻找财宝而来的男人。由于解读不了古代文字，男人便打算利用玛伊谢拉找出宝藏的所在地。结果一行人并不打算乖乖听话，惹恼了男人，于是他再度放出魔物袭击众人。
0-chapter-name,贤者的宝藏
