id,trans
filename,scene_evt191128_cp6_q2_s10
translator,Gemini
info,scene_evt191128_cp6_q2_s10
65,我和凯瑟琳\n负责整体的支援。
64,……我知道了。
63,护盾消失后的突入\n就交给菲尔了。
62,就这样吧。学者先生\n你坐闪电紫罗兰\n吧。
61,那就拜托你了。\n我把后座空出来\n坐那里可以吗？
60,你技术也不错，\n但我应该比你更强一些。
59,吸烟凯茜\n能让我来驾驶吗？
58,如果护盾消失了\n我一定会阻止伊修库鲁的。
57,在接近护盾的时候\n姬塔你来启动\n加速装置。
56,好。\n既然决定了，\n就马上开始行动吧。
55,在露莉亚的话语的鼓励下，\n姬塔坚定地\n点了点头。
54,要试试看吗？
53,……姬塔，我、\n觉得没问题。
52,我们时间不多啊？\n不能一直\n待在这里。
51,没错！\n不试试看怎么知道\n只能上了！
50-sel2_txt,稍等一下
50-sel1_txt,试一试吧
50,夜空飞艇是姬塔\n你的船。你来决定吧。
49,缪恩看向姬塔。
48,但是，我们也别无选择。\n就算是一场赌博，\n我也觉得只能这么做了……
47,那种风险也太高了。
46,但是，反过来\n也有可能导致输出功率上升\n这一点也无法断言。
45,如果顺利的话，护盾发生装置\n有可能停止运作。
44,很遗憾，具体会发生什么我也不清楚。
43,共鸣……会发生什么呢？
42,也就是说加速装置启动的时候，\n和伊修库鲁发生某种共鸣\n也是有可能的。
41,当这艘快艇的动力部分以高输出\n产生能源时……
40,呃……也就是说？\n到底是怎么回事？
39,没错。甚至有可能\n和我们推测的伊修库鲁的\n动力源是同一种东西。
38,和天气操纵装置一样\n古老吗。
37,但是，产生能源的\n核心部分则更加古老。\n应该是数万年前的……
36,是啊。确实，\n这个动力部分的结构\n像是霸空战争时期的东西。
35,怎么样？\n芬迪奥先生说过，\n这里使用了<span class='scene-font-spword'>星之民</span>的技术……
34,唔……原来如此……这个是……
29,哦，给你看！\n大叔你或许\n能看出些什么吧！
28,那个……夜空飞艇的\n加速装置，可以\n让我看一看吗？
27,对于姬塔的这番话\n最先做出反应的是\n考古学家。
26,但是，夜空飞艇的\n加速装置，会不会\n和天气操纵装置有什么关系呢。
25,虽然根据很薄弱，\n也没有确凿的证据。
24,是的，就是那个时候。
23,说起来，雾也突然散去\n放晴了……\n是说那个时候吗？
22,是啊。\n而且在那之后\n雷雨和狂风也停了。
21,哥哥你也感觉到了吗？
20,……我还以为是错觉\n看来果然不是啊。\n就像空间里出现了杂音一般……
19,姬塔说，在比赛末段\n使用夜空飞艇的加速装置时\n感觉和平时不太一样。
12,……我也想起来了。\n是说使用加速装置的时候吧？
11,比赛的时候，吗？
10,姬塔轻轻点了点头，\n开口道「我回想起了比赛时的事」。
9,你有什么想法吗？
8,注意到了似乎在思考着什么的\n姬塔，\n菲尔歪了歪头。
7,……姬塔小姐？
6,只要护盾消失，就能阻止\n伊修库鲁。可是，\n在现在这种连靠近都做不到的情况下……
5,我们也是啊。\n考古学家大叔\n应该最了解情况了才对……
4,快艇的事我还能懂一些，\n但对于这种古代的机械\n我是一窍不通啊。
3,抱歉，我完全没有头绪。
2,问题在于护盾呢。\n不设法解决掉它的话\n我们根本无法靠近装置。
1,……好。那么接下来就该讨论要如何阻止\n天气操纵装置了……
0-synopsis,为了解决事态，众人开始思考对策，但保护着伊修库鲁的护盾成了问题所在。姬塔突然想起在使用加速装置时天气发生了变化。据考古学家所说，夜空飞艇和伊修库鲁使用的可能是同一种动力源，通过加速装置产生共鸣或许就能破坏护盾。为了抓住这一可能性，众人乘上快艇，朝伊修库鲁而去。
0-chapter_name,第六话 乘上吧
