id,trans
filename,scene_chr078_q2_s10
translator,Gemini
info,scene_chr078_q2_s10
15,真是的，出现的真不是时候的魔物！	\n姬塔小姐，为了猫猫	\n我们赶紧把它解决掉吧！	
14,是魔物！	\n在这种时候……！	
13,咕噜噜噜噜！	
12,包在我身上！	\n我飞过去，	\n把它抓住！	
11,好像下不来了	\n呢……	\n呜，我如果抱它的话就会打喷嚏……	
10,阿嚏！	\n……找到了，看！	\n在这棵树上！	
9,是这样吗！？	\n……就算不在眼前	\n也会打喷嚏的话，那可真是够呛啊……	
8,这种感觉是……！	\n附近可能有猫！	\n我们去找找吧！	
7,哈啾！	
6,唔～嗯，为什么喷嚏	\n会停不下来呢……	
5,我碰不到真正的猫，	\n所以就想着至少……	\n……虽然有点空虚……	
4,因为那不是真正的猫，	\n所以也不会打喷嚏。	
3,咦？	\n但是图书管理员姐姐，	\n你平时不都是用魔法变出猫的吗？	
2,明明这么喜欢……	\n明明那么可爱……	\n呜……	
1,唉……	\n……我明明很喜欢猫，但一靠近	\n不知为何就停不下来打喷嚏。	
0,唔～嗯，没有猫猫呢……	\n糟糕了……希望	\n它没有遇到危险……	
0-synopsis,非常喜欢猫，但一靠近就会不停打喷嚏的阿露夏。阿露夏说她至少用魔法召唤出了猫来聊以慰藉。突然开始打喷嚏的阿露夏说附近有猫，然后发现了一只爬到树上却下不来的猫。
0-chapter_name,最喜欢却不能触碰！
