id,trans
filename,scene_radio_q26_s10
translator,Claude 3 Opus
info,scene_radio_q26_s10
103,明白了。\n走吧，夺冠的就是我们！
102,当心点。前方恐怕会更加\n严峻……但只要突破那里，\n胜利就在眼前！
101,抱歉……多谢搭救。
100,你在发什么呆！\n可别走神啊！
95,呼啊啊啊啊！
94,哇！\n糟了，是魔物吗！
93,切……！\n喂，兰斯洛特！
92,（不过，一开始还以为是残酷的宴会，\n其实相当合理的宴会呢……\n看来我还很不成熟啊）
91,（原来如此，一边进行基础的\n战斗训练，一边兼顾\n提高团结力的训练吗）
90,（唔，这个试炼，一个人要通过\n是非常严峻的，但如果合作的话就能突破，\n调整得恰到好处）
89,怎么样！这种程度，\n对我们来说就像小石子一样不痛不痒！
88,然而，随着不断深入，\n陷阱和魔物的攻势变得越发严酷，\n队伍的人数也渐渐减少。
87,在一路上设下的重重陷阱中，\n尽管不断有人被淘汰，这个集团仍然\n毫不减速地继续前进。
85,交给我吧！喝！
84,什么！这里也有陷阱！ \n……！兰斯洛特殿下！
83,可恶！\n这未免也太卑鄙了吧！
79,当心点。到处都是陷阱。\n……索利兹！后面！
78,喂，别畏缩！\n背对敌人可是男人的耻辱！\n身为男人至少要潇洒地战斗到最后一刻！
77,哎呀！\n是、是魔物！
76,可恶！是陷阱！\n停下来！
74,哇啊啊啊！
73,山岳间，男人们如狂涛骇浪般\n奋勇向前。
69,咳……！啊已经，\n事已至此别无选择！\n上了！\n
68,哦——！
66,走吧！你们！\n要赢得冠军，让漂亮的姐姐\n请我们喝酒！
64,哈哈哈！好表情！\n祝你们好运！\n就位……预备！
63,喂，小子们！\n兜裆布系紧了吗！？中途\n可不能掉下来啊！
62,哦！！
61,呼呼呼……害怕了吗？\n但是！只有做到这一点的人\n才能获得作为真正男人的荣耀！
60,但是！通往男人汉子之路并不简单！\n各种试炼！陷阱！需要克服一切困难的\n胆量和强韧的肉体！
59,很简单！在秘境之泉，\n在日落之前把你们那脏兮兮的兜裆布\n洗干净！就只是这样！
58,好！那么就说明规则！\n不管是知道的还是不知道的，\n都给我竖起耳朵好好听着！
57,哦！！
56,哇哈哈哈！\n今年这个季节又到了！\n准备好了吗，小子们！！
55,好了，差不多要开始了。
