id,trans
filename,scene_chr052_q2_s20
translator,Gemini
info,scene_chr052_q2_s20
16,为了追赶上那个遥不可及的背影，\n他虽然鲁莽，\n却也日复一日地磨练着自己。
15,菲扎在心中暗暗发誓，\n要用自己的拳头实现那个无比宏大的梦想。
14,哎呀……\n那件事\n是不是太勉强了……
13,没错，所以总有一天我也要\n仅凭自己的拳头和星晶兽较量，\n让它理解我的心意！
12,原来如此！\n菲扎你之前说的梦想，\n就是这件事吧！
11,我永远无法忘记那个人的身影。\n为了能少しでも接近那个人，\n我要变得更强。
10,那个人仅凭一双拳头\n与各种各样的对手较量，\n最终互相理解……
9,我有一个目标人物。
8,真是的……\n说什么通过互殴来互相理解，\n为什么要做那种乱来的事啊？
7,正如他所说，村子失窃的物品都被送了回来，\n村子也恢复了往日的平静。
4,这样啊……那就好。\n只要你诚心诚意地道歉，\n村民们也会原谅你的。
3,那个……抱歉了。\n从村子里抢来的东西，\n我会好好地还给村民们的。
2,哎呀……\n没想到还有你这样的家伙。\n我感觉我好像突然清醒了。
1,确实感受到了……\n通过你的拳头。
0,嘿嘿……\n你还真是\n满腔热血啊……
0-synopsis,菲扎通过互殴让帝国士兵洗心革面。据说在菲扎心中有一个目标人物。菲扎梦想着变得像那个人一样强大，总有一天可以用拳头和星晶兽交流。
0-chapter_name,魂之拳
