id,trans
filename,scene_chr064_q1_s10
translator,Gemini
info,scene_chr064_q1_s10
18,真是的！话说到一半……\n快点解决掉它们吧，姬塔！
17,咕啊啊啊啊！！
16,呀啊啊啊啊！\n魔、魔物！
15,我也很想让你们看看啊，\n但是最近，这附近魔物增多了\n今年的光华祭只能中止了……
14,哇～！　\n我也想看看～！
13,原来如此……光之花的祭典啊！\n感觉是场很雅致的祭典，\n我也想看看！
12,嘿嘿。\n以前，我和家人看过光华祭。\n那时候有人详细地告诉我了。
11,哦……\n小姑娘你年纪轻轻\n对光华师却很了解啊！
10,然后每年，各地选拔出的优秀\n光华师，到了这个季节就会巡回各地\n举办光华祭吧！
9,当然啦！光华师，好像是……\n用能发出特殊光芒的火药球\n在夜空中绽放光之花吧？
8,啊……是、是啊。\n小姑娘你\n知道光华师？
7,……光华师，诶！？\n大叔你是光华祭的光华师吗？\n哇～！　好厉害好厉害！
6,嗯？你们这些小姑娘是游客吗？\n光华祭是这地方的特色。\n是我们光华师操办的传统活动。
5,呐呐，大家聚在这里做什么呢？\n光华祭怎么了？
4,人好多啊～\n……好啦好啦，借过一下！
3,抱歉……魔物这么多\n根本没法安心准备祭典。\n今年的光华祭就放弃吧……
2,唉……\n为了光华祭，我们一家特地\n从很远的地方赶来……真是遗憾啊。
1,呐，祭典不办了吗？\n为什么为什么！？
0,一行人在度假地散步时，\n发现大路上聚集了一群人。
0-synopsis,姬塔一行在海边散步时，偶然遇到了聚集的人群。那些是前来观看名为光华祭、使用特殊火药的祭典的游客们，但由于魔物的危害，今年的祭典似乎要被迫中止了。
0-chapter_name,夜空中绽放的花朵
