id,trans
filename,scene_chr009_q2_s20
translator,Gemini
info,scene_chr009_q2_s20
18,就这样，特蕾兹向观众们约定一定会再次来到赌场艇，\n然后和伙伴们一起\n飞向了天空。
17,被决斗所爱的美丽战士，\n在欢呼声中，高举胜利之手，\n露出了骄傲而满足的微笑。
16,守护了决斗不受假赛玷污的\n特蕾兹充满了自信，\n她的一举一动都牵动着斗技场上观众们的心。
15,哈哈，姬塔看起来很高兴呢！\n我知道你想说什么！同伴闪耀的样子\n是最棒的，对吧？
14,呵呵呵，特蕾兹小姐看起来很开心呢！\n她真的很喜欢决斗呢。\n特蕾兹小姐～加油～!
13,哈哈……不用担心啦。\n看看那笑容！\n完全是决斗者模式了！
12,不愧是你！特蕾兹一登场\n全场都沸腾了！\n快展现你帅气的一面吧！
9,等、等一下！我还没做好心理准备……\n在这么多观众面前进行决斗什么的\n太让人害羞啦ーーー！
8,喂喂，这样真的没问题吗！\n姬塔，我们把特蕾兹\n带到斗技场去吧！
7,我、我……\n腿开始发抖了……
6,哇哇！不得了啦！！
5,去吧！\n观众们\n都等着你出场呢！
4,话说回来……不用着急吗？\n决斗应该\n快要开始了吧？
3,呵呵，特蕾兹的气势\n让那些坏人都慌了神呢！
2,呀、呀哒……太丢人了！\n我一说到决斗的事\n就变得不管不顾的……
1,嗯嗯！姬塔小姐\n要是没有阻止她的话，那些坏人\n就完蛋啦！
0,呼～……刚才真是捏了一把汗啊！\n我还以为特蕾兹要大发雷霆了呢，\n当时都仿佛看到那些坏人的末日了。
0-synopsis,一行人教训了坏人之后，便带着紧张到腿软的特蕾兹前往斗技场。站在斗技场上的特蕾兹，切换到了她平时的决斗者模式，堂堂正正地展现了自己的风采，令观众们为之倾倒。
0-chapter_name,决斗者的矜持
