id,trans
filename,scene_evt180731_cp4_q4_s10
translator,Gemini
info,scene_evt180731_cp4_q4_s10
88,姬塔一行预感到还会与黑手党再次交战，\n便急忙赶回沙滩，\n与留在原地的其他团员会合。
87,然而，干部托尼带着半数的手下\n逃走了，不知去向。
86,在卡托尔和艾瑟尔的活跃下，\n锡拉斯岛上的黑手党大部分都被歼灭了。
85,嗯……\n只是稍微吃点苦头的话，\n他们是不会善罢甘休的。
84,是啊。\n黑手党这种东西，就算消灭了一批\n还会有新的一批冒出来，非常难缠。
83,是的。那些家伙还会\n再次来找我们麻烦的。
82,真是太可靠了。\n不过，\n我们还不能掉以轻心。
81,嗯，这种小事不算什么。\n不用在意。
80,你们动作这么快真是帮大忙了。\n辛苦了。
79,是吗……\n这里是他们的老巢，\n准备逃生路线也是理所当然的。
78,我们把这里都扫荡了一遍，\n不过好像还有别的逃生路线，\n剩下的家伙都逃走了。
77,姬塔小姐，你没事吧？
75,我已经把姬塔小姐她们救出来了。\n我这就去帮艾瑟尔和卡托尔。\n这场闹剧该彻底结束了！
74,为了争取时间让姐姐你们逃离这里，\n她们才会那样做的。
73,艾瑟尔小姐和卡托尔小姐正在\n将黑手党的那些喽啰们\n一网打尽。
72,比起这个，这些枪声\n是怎么回事？\n除了突入进来的那些人以外还有其他人在吗？
71,姐姐还真是\n一如既往地爱胡闹啊。不过，那种货色\n我可不认为他能得到姐姐的青睐。
70,是啊，这样出场\n还挺有戏剧性的吧。
69,塞鲁艾尔！\n来得正好。\n你一直在旁边等着出场吗？
68,姐姐，您没事吧？
61,快走！
54,姬塔点了点头，\n让大家退后，\n然后一刀便将牢笼的门劈开了。
53,看来我们没时间闲聊了。\n姬塔小姐，你能把牢笼切开吗？
52,看来他们一开始就打算\n把我们喂电鳗了。
51,糟了。这个鱼池里\n竟然有那么多电鳗！
50,是因为这片黑暗，电鳗的电流\n才变得肉眼可见吗。
49,啊，那里也有！
44,快看！\n刚才那里，有电光闪过！
43,这时，一阵噼啪的干燥声\n在周围回荡开来。
38,我召唤了夜幕笼罩四周。\n趁着敌人目不能视之时\n我们赶快逃离这里。
37,是奥莉薇尔吗。\n原来如此，\n这片黑暗是你搞的鬼啊。
36,奥莉薇尔小姐！？
35,大家，都没事吧！？
33,发生什么事了！？
32,托尼判断形势不利，\n便趁着黑暗逃离了现场。
30,可恶……！
29,什么！？　拉杆拉不动了……\n这是怎么回事……！
28,切，是入侵者！！
27,是，是！
26,我没事。\n大家冷静，小心戒备！\n还有，不要和同伴走散了！
25,赫尔艾斯大人！！\n您没事吧！？
24,别太嚣张了！！
23,是谁！？\n<span class='scene-font-4'>咕啊！！</span>
21,四周突然陷入一片黑暗。
20,什么！？
14,我明白了。\n如果只要我一个人就能满足你的愿望──
13,(没办法了。\n只能假装屈服，\n再找机会反击了──)
12,怎么不说话？\n快回答我！
11,(既然如此……)
10,(就算诺伊修和姬塔小姐也\n没办法在那种情况下保护所有人并同时对抗电鳗……)
9,(问题是被放进鱼池里的\n电鳗……)
8,(那个男人没有战斗力。\n只要抓住破绽，就能压制住他……)
7,即便身处险境，赫尔艾斯依然努力思考着，试图寻找机会让对方露出破绽。
6,面对想要胁迫赫尔艾斯就范的黑手党，她毅然决然地与其对峙。
1,中了黑手党的陷阱，沦为人质的姬塔一行。
0-synopsis,姬塔一行眼睁睁地看着赫尔艾斯与托尼交涉却无计可施之时，四周突然陷入一片黑暗，枪声随之响起。卡托尔和艾瑟尔与黑手党们交战争取时间，奥莉薇尔趁机将姬塔一行救出，塞鲁艾尔则救下了赫尔艾斯。托尼不见了踪影，姬塔一行担心黑手党会卷土重来，便急忙赶回沙滩与其他团员会合。
0-chapter_name,第四话 悄然逼近的电流
