id,trans
filename,scene_evt250204_cp1_q1_s10
translator,Gemini
info,scene_evt250204_cp1_q1_s10
96,空之世界与「魔法世界」──\n围绕着不同世界的战斗，\n现在，即将开始。
95,面对这样说着伸出手的葱，\n姬塔用力地点了点头\n回握住伸过来的手。
94,为了拯救这个空之世界和「魔法世界」，\n这两个世界！
93,姬塔小姐，\n碧，露莉亚。\n请助我们一臂之力。
92,……我知道了。
91,…………
90,而且……嗯。\n如果是姬塔她们一定没问题！\n我觉得可以相信她们。
89,如果自己的世界正面临危险\n就不能坐视不管的心情\n你也是能理解的吧？
88,但是，明日菜……！
87,……葱。\n这里就坦率地接受他们的好意吧。
86,在点头的姬塔她们的眼中，\n没有丝毫的迷茫和恐惧\n只有充满坚定自信的光芒。
85,大家……
83-sel1_txt,没问题，我对自己的实力有信心
83,至今为止，我们也曾多次\n跨越了危险的战斗。\n事到如今不会害怕的啦！
82,而且，我们可是骑空士哦？\n骑空士，就是在空中旅行时\n帮助有困难的人。
81,没错！如果空之世界\n正面临危机，\n我们不能坐视不管！
80,你在说什么啊！\n不是说了吗，这对我们来说\n也不是与我们无关的事啊。
79,最重要的是，他是我们那个世界的人。\n所以，必须由同为那个世界居民的\n我们来做了断……
78,我不能把大家\n卷入这么危险的战斗中……
77,……但是，他非常强。\n要阻止他的计划，\n就不可避免地要与他战斗。
76,诶！？\n但、但是……
74-sel1_txt,请让我们助你们一臂之力
74,是啊。对我们来说，\n这也不是与我们无关的事。
73,如果这是真的，\n无论如何都必须\n阻止菲特……！
72,听完葱的叙述，\n姬塔、露莉亚和碧\n表情严肃地点了点头。
71,然后，就被卷入转移\n来到了空之世界吗……
70,为了阻止他，我们试图\n阻止菲特转移到这个世界……
69,把空之世界当做祭品！？
68,他的计划……也就是，如果对\n他将这个空之世界作为祭品，\n破坏现在的「魔法世界」的计划\n视而不见的话，就放我们回去。
67,可能是预料到了我的回答，\n他提出了「不要妨碍他的计划」\n这个条件作为备选。
66,不管有什么理由，\n都不可能把明日菜\n交给敌人。
65,要交出明日菜？
64,以将我和误入「魔法世界」的\n我的学生们送回「现实世界」\n为条件，要我交出明日菜。
63,然后有一次，他向我们\n提出了一个交易。
62,为了那个目的，他在「魔法世界」\n引发了很多混乱，\n我们也和他交战了好几次。
61,是的。他……菲特的目的是\n毁灭「魔法世界」\n本身。
60,那家伙，为了让「魔法世界」\n崩溃，好像打算\n利用空之世界的样子。
59,问题不止那个。
58,哼……然后，那个组织的残党\n又不知悔改地企图毁灭\n「魔法世界」是吗……
57,在<span class='scene-font-spword'>纳吉·史普林菲尔德</span>率领的\n<span class='scene-font-spword'>「红之翼」</span>的阻止下，\n计划破产了。
56,那时候，我的父亲……\n被称为<span class='scene-font-spword'>「千咒法之男」</span>\n的<span class='scene-font-spword'>「伟大的魔法使」</span>……
51,他所属的那个组织，\n据说以前也曾企图\n毁灭世界……
45,是的。在那里，出现在我们面前的\n就是我们这次追踪的敌人，\n菲特·阿维路克斯。
44,然后，为了寻找父亲的线索\n去了「魔法世界」对吧？
43,原来如此……\n葱先生，是在寻找\n失踪的父亲啊。
37,听到葱以严肃的表情说出的话，\n姬塔她们\n不禁面面相觑。
36,──而是为了阻止企图毁灭世界的\n敌人的计划。
34,不，我们来到空之世界，\n并不是为了魔法使的修行……
33,诶……也就是说，\n葱你们来到空之世界\n也是为了魔法使的修行吗？
32,而我在那里担任教师，\n是成为<span class='scene-font-spword'>「出色的魔法使」</span>\n修行的一环哦。
31,明日菜就读的麻帆良学园，\n是位于「现实世界」的学校……
30,啊，是的！魔法使们居住的世界\n被称为<span class='scene-font-spword'>「魔法世界」</span>，普通人居住的\n世界被称为<span class='scene-font-spword'>「现实世界」</span>。
29,说起来，在葱先生你们的世界里\n是分成有魔法的世界，和没有魔法的世界\n对吧？
28,真是的，魔法使的思维\n还真是搞不懂啊。
27,才不是呢，只是这家伙特别而已。\n就算在我们的世界，10岁的\n老师也不普通啊。
26,10岁就能当老师的世界，\n还真是第一次听说啊。
25,我们至今为止也认识了很多\n从别的世界来的人……
24,不过，这样啊……\n在葱你们的世界里，\n10岁也能当老师啊。
23,…嘛，确实听了刚才那番话\n被说是小鬼头也是能够理解的。
22,唔……！\n因为，明日菜和姐姐\n很像，让人安心所以不知不觉就……
21,哼？\n但是，你不是经常\n钻到我的被子里来吗？
20,我、我才没有一个人\n不敢睡觉呢！
19,我、我不是说了是和一开始比嘛！\n晚上一个人不敢睡觉的你，\n还完全是个小鬼头啊！
18,哇，真难得啊明日菜\n居然会夸奖我……！
17,那当然，虽然一开始不太可靠……\n但最近也成长到\n让人觉得有老师的样子了哦。
16,啊哈哈……\n确实这样想也\n是没办法的呢……
15,<span class='scene-font-4'>10岁！？</span>\n这样还能当老师吗！？
14,啊……是啊。\n毕竟才10岁。
13,老师？\n但是，不管怎么看……\n都比姬塔还要年轻吧？
12,我是神乐坂明日菜。\n这家伙，虽然看起来这样\n姑且也算是老师哦。我的班主任。
11,我是葱·史普林菲尔德。\n在<span class='scene-font-spword'>麻帆良学园</span>初中部\n担任教师。
10,嗯……\n那么，请允许我再次自我介绍一下。
9,时间回溯到数周前。\n在格兰赛法的一间房间里\n出现了几位陌生的客人。
0-synopsis,数周前。葱与明日菜在空之世界与姬塔等人相遇。菲特试图牺牲空之世界来破坏「魔法世界」，葱等人为了阻止他的计划而被卷入了菲特的转移之中。姬塔等人向葱等人提出合作，一行人决定拯救空之世界与「魔法世界」这两个世界。
0-chapter_name,第一节课 欢迎来到异世界！
