id,trans
filename,scene_evt140731_cp1_q4_s20
translator,Claude 3 Opus
info,scene_evt140731_cp1_q4_s20
31,果然我们\n也不得不战斗啊，这下子！
30,什么……\n这就有魔物登场了吗！
29,咕噢噢噢噢！！
28,她们也有\n身为渔团的自尊。\n没办法啊……
27,真是的……\n那家伙到底是谁啊。
25,哼……\n就算你们吃了苦头，\n我也不管哦。
24,只要是我们能做的事情，\n怎么可能\n置之不理呢！
23,嘛……\n我们从心底里就是心软的人啊。
22,当内心呼喊应当如此行动时……\n海洋游侠伸张正义\n是不需要理由的！
21,就算那样做了，\n你们也不会有任何好处啊？
20,希格小姐！
19,真是受不了……\n我都说到这个份上了，\n你们还不打算放弃吗？
13,对、对啊！\n我们也去讨伐魔物吧！\n姬塔！
12,但是啊！\n就算被那样说了，\n我们也不能就这么老老实实退缩啊！
11,哎呀哎呀……\n还真是一群固执的家伙啊。
9,好！
8,明白的话就别来妨碍我们。\n……走吧，你们几个！\n去搜索阿尔巴科尔，巡视海岸！
7,从上一代、上上代……\n一直到很久以前的首领们\n都没能了结的因缘。
6,我们啊……和那个星晶兽\n阿尔巴科尔有因缘。
5,什！？\n现、现在说这个没有关系吧！
4,真是啰嗦啊……\n就算长得再好看，\n这样可是会被男人逃跑的哦？
3,而且，我们是\n为了某些原因在追捕星晶兽的。\n讨伐星晶兽阿尔巴科尔我们也……
2,但是，\n守护岛屿的人手越多\n不是更好吗？
1,从很久以前开始，\n尤迪斯提拉岛就由\n杜尔加渔团来守护，这是约定俗成的。
0,我们杜尔加渔团啊，\n也兼任着这个岛的自卫团。
0-synopsis,姬塔一行锲而不舍地提出帮忙讨伐星晶兽。但希格告诉他们，与星晶兽阿尔巴科尔有着深仇大恨，让他们不要妨碍，随后丢下一句话就去巡视海岸了。在双方互不相让的情况下，魔物挡在了众人面前。
0-chapter_name,第1话 海岸危机
