id,trans
filename,scene_chr199_q3_s20
translator,Gemini
info,scene_chr199_q3_s20
56,但是，扶手上滑落的小小水滴，\n姬塔却尽收眼底。
55,回礼的赫尔艾斯\n表情难以捉摸。
54,感受到这简短话语中\n饱含的万千情感，士兵们\n强忍着泪水敬礼。
53,我引以为傲的精锐们……\n阿伊尔斯托的子民，就拜托你们了。
50,走到骑空艇边缘的赫尔艾斯\n向士兵们说道。
49,载着姬塔一行人的骑空艇\n缓缓升空。
45,那么……\n我们也差不多该出发了。
44,赫尔艾斯以一如既往的语气\n与士兵们交谈着。
43,啊啊………\n你们也是……
42,赫尔艾斯大人也是……\n请多保重……
41,啊！\n我很期待下次\n再和你们一起训练！
40,欢迎随时再来\n<span class='scene-font-place'>阿尔斯塔岛</span>做客。
39,不过……一直都是我们\n受你们照顾。
38,明白了！
37,请务必\n照顾好赫尔艾斯大人。
36,数日后。\n近卫兵们前来\n为再次踏上旅程的姬塔一行送行。
32,听到近卫兵的话语，赫尔艾斯\n在那天，第一次露出了心满意足的笑容。
31,是、是！\n我一定会铭记于心！
30,如此，\n阿伊尔斯托的未来就一定会安泰……
29,你现在的判断是正确的……\n今后你们也要\n将人民放在首位。
28,是……
27,……你为什么要道歉？\n要更加自信一点。
26,啊……赫尔艾斯大人！\n非常抱歉！
25,哼……
24,近卫兵在担心赫尔艾斯安危之前，\n先确认了孩子的平安。
23,嗯、嗯……\n谢谢你，大哥哥。
22,喂！你没事吧！
19,在赫尔艾斯架起枪之前，\n近卫兵就用枪击中了魔物。
17,咕啊……
13,危险！
12,啊！？
11,在赫尔艾斯放松警惕的瞬间，\n潜藏的魔物突然跳了出来。
10,吼啊啊啊啊！！
9,来，我们回城镇吧……
8,已经没事了…… \n你一个人真勇敢。
7,呜……呜……\n好可怕……
6,将藏身于草丛中的\n孩子救了出来。
5,一行人正谈笑风生时，\n从附近的草丛里传来了孩子的\n啜泣声。
4,哼……\n这绝非我一个人的功劳。\n是平时训练的成果。
3,哈哈哈……确实如此。\n士兵们的动作简直判若两人。
2,不愧是赫尔艾斯大人……\n我们根本无法企及……
1,士兵们对赫尔艾斯和一行人的战斗\n再次刮目相看。
0,在魔物肆虐城镇前\n将其阻止的姬塔一行人。
0-synopsis,击退魔物的赫尔艾斯救出了一名躲藏在附近的孩童。此时，潜藏的魔物突然袭击了赫尔艾斯与孩童。在电光火石间击退魔物的士兵们，却在关心赫尔艾斯安危之前，先确认了孩童的平安。目睹此状的赫尔艾斯心满意足地笑了。数日后，赫尔艾斯与士兵们怀着各自的心意，再次分别了。
0-chapter_name,姬塔小姐引以为傲的近卫队
