id,trans
filename,scene_evt150131_cp0_q2_s10
translator,Gemini
info,scene_evt150131_cp0_q2_s10
122,带着这牢不可破的羁绊，\n二人此刻\n踏上了新的旅程。
121,波蕾米亚紧紧地\n抱住了扑进怀里的莎拉。
116,为了掩饰自己的害羞，\n莎拉扑进了波蕾米亚的怀里。
115,……最喜欢你了！波蕾米亚！\n你是我最自豪的姐姐！
114,怎么了，莎拉。
113,呜，呜～！\n……波、波蕾米亚！
111,莎拉，\n别害羞嘛！\n加油！
110,可、可是……那时候，\n我以为我们要分别了……\n所以……怎么说呢……
109,没错！\n而且莎拉你之前也\n直呼过波蕾米亚的名字吧？
108,别再叫我「波蕾米亚小姐」了，\n太见外了。\n有时候也要从形式上做出改变。
107,哎？
106,这就对了。
105,嗯……你说得对，\n波蕾米亚小姐。
104,露莉亚说得对，\n我们应该坦诚相待。\n你不觉得吗，莎拉？
103,被佣人们\n说坏话的事\n也没有告诉我。
102,我没有向莎拉好好说明治疗的事，\n还让她在我离开的时候感到寂寞。
101,……是啊。\n露莉亚说得对。
100,这一点一定要改！\n虽然有时候也会吵架，\n但事后和好就行了。
99,因为你们都很珍惜彼此，\n所以才不愿让对方担心，选择独自忍受，\n结果反而互相伤害……
98,哎……！？
97,哎呀！就是因为太努力了才会变成这样啊，\n莎拉和波蕾米亚小姐都是！
96,才不是补偿呢！\n如果我能再努力一点的话……
95,但是，正因如此，\n至少让我补偿你吧。
94,莎拉。\n……我也是将你逼入绝境的人之一。\n我不敢奢求你的原谅。
93,莎拉……
92,但是，看到那样的人之后，\n我突然觉得，巫女们牺牲自己，\n也是有意义的……
91,我……果然还是无法原谅这个国家。
90,那个……那个……\n这个国家的人……竟然会对我说那么温柔的话……
89,怎么了，莎拉？\n你看起来很惊讶呢？
88,…………
87,哼……我不在的时候，\n他们肯定都乐得逍遥自在吧。\n……下次得好好谢谢他们才行。
86,……你手下的兵都很不错啊，波蕾米亚。
85,但这次多亏了他和其他\n卫兵的帮助。
84,真是的，那家伙……\n虽然为人正直是件好事，\n但这毛毛躁躁的毛病还是一点没变啊。
82,啊！我的任务时间快到了……\n那么队长，巫女大人！\n祝二位武运昌隆！
81,祝您旅途愉快！\n下次回到这个国家的时候，\n请务必来卫队看看。
80,哎……
79,巫女大人，您身体恢复真是太好了。\n怕我们这些粗鲁的汉子打扰到您，\n所以也没能去探望您……
78,……啊呜……
77,队里其他兄弟也想来着，\n但只能走开一个人……\n巫女大人！
76,听说队长和巫女大人\n今天要再次踏上旅途，特来送行！
75,尤斯夫！？\n怎么了，发生什么事了吗？
74,波蕾米亚队长——！\n巫女大人——！
72,…………
71,……嗯。\n谢谢你，露莉亚。
70,走吧，莎拉！\n快乐的事，开心的事，\n都在等着我们呢！
66,姬塔一行\n等到莎拉体力恢复后，\n便离开了萨普尔岛。
65,这次事件的始末，\n由直属卫队队长作证，\n乌玛最终失势了。
59,呀啊！！
58,……啊，也好。\n毕竟还有很多事\n要处理……！
57,带上莎拉，\n我们先回城吧，波蕾米亚。
56,虽然古拉尼的暴走已经平息，\n但你的疲劳还没消退吧。
55,莎拉！？\n喂，振作一点！！
53,……嗯……对不起……\n波蕾米亚……小姐……\n还有露莉亚……
52,……呜……啊，当然了！\n你这笨蛋！就知道让人担心……！
51,波蕾米亚小姐……\n在哭吗……
50,……嗯。\n……咦……？
49,因为你得救了……
48,她很开心吧。\n因为莎拉你理解了她的心情……
47,……布兰文，刚才……笑了呢。
46,布兰文轻轻点了点头，\n随后便消失不见了。
37,……呵呵……
36,……原来如此……\n和古拉尼的分身在一起的话，\n就不会寂寞了吧……？
35,…………
34,…………\n布兰文……？\n是你吗……？
33,……！古拉尼体内，\n那股暴走的力量……\n消失了……？
32,…………！
30,身体变轻了……\n也不难受了……？
29,啊，这……？
28,莎拉！！
22,布兰文伸出手，\n触碰到了波蕾米亚怀中的莎拉。
21,…………！
19,……布兰文？
18,…………
16,别把这孩子带走！\n莎拉还有……还有很多\n未曾体验过的幸福！！
15,住手！！\n别靠近，布兰文！！
14,…………
12,布兰文……我会陪着你……\n所以……\n别再哭了……
11,莎拉！？\n你在说什么……
10,那个……我啊，\n快要死了……所以……\n我的灵魂，就交给你吧……
9,呜……
8,和我一样呢……
7,……你很寂寞吧。很难过吧。\n一直在耳边听到那些难听的话……\n……孤身一人。
6,…………
5,……布兰文……
4,莎拉！你醒了吗！？
3,……啊……
2,唔……呜……
1,怎么会这样……\n布兰文竟然……
0,因为姬塔等人的战斗，\n布兰文平静了下来。
0-synopsis,因为姬塔等人的战斗，布兰文平静了下来。意识到自己死期将至的莎拉对布兰文说，可以把自己的灵魂带走。但布兰文只将古拉尼的分身——那股暴走的力量——带走，随后便离去了。恢复健康的莎拉在尤斯夫的目送下，与波蕾米亚一起踏上了自由的天空之旅。
0-chapter_name,结局
