id,trans
filename,scene_evt141031_cp6_q3_s10
translator,Gemini
info,scene_evt141031_cp6_q3_s10
17,……是啊。\n我们只能放手一搏……！
16,都到这一步了怎么能退缩！\n我们要竭尽全力，\n对吧，姬塔！
15,是的……\n但是那个对手那么强\n还是很危险……
14,你是说，只要打败它\n它就不会再反抗了？
13,但如果能削弱\n「不可触碰之物」的力量，\n下次或许就能成功……
12,那个，刚才……\n虽然吸收「不可触碰之物」的力量\n失败了……
11,在这样的氛围中，\n一直陷入沉思的露莉亚\n露出了认真的表情开了口。
10,阿斯特蕾娅的话\n姬塔也表示赞同，\n同伴之间稍微缓和了些许气氛。
9,没错！重要的是，\n多亏了大家，斯黛拉姐姐才没有\n继续苛责自己！
8,嘛，虽然不知道\n她是怎么想的……\n但你能积极地看待这件事是好事。
7,唔嗯……真的吗……？\n那个姐姐，\n会想得那么深吗。
6,对不起，姐姐大人……\n我居然没有领会您的真意还出言不逊……\n斯黛拉果然还差得很远！
5,啊……！\n姐姐大人也是为了让我明白这一点\n所以才故意说那些严厉的话……！
4,谢谢……！\n是啊，如果一个人做不到的话\n大家一起做就好了……
3,我们还有可靠的姬塔小姐，\n就像阿斯特蕾娅酱说的那样\n一起加油吧！
2,斯黛拉小姐是个努力家，\n所以才会觉得必须由自己来做才行吧。
1,给大家添麻烦了……\n我该如何道歉才好……
0,各位……真是对不起。\n因为一心想着只有自己能做到而固执己见……\n我的视野变得狭隘了呢……
0-synopsis,斯黛拉为之前没有顾及周围人的感受而道歉。意识到如果一个人做不到，大家一起齐心协力就好了的斯黛拉，认为或许梅迪亚拉说出那些严厉的话也是为了让自己明白这一点。为了赌一把露莉亚所说的“如果能削弱「不可触碰之物」的力量，或许就能吸收它的力量”，一行人为了再次与「不可触碰之物」战斗而踏上了寻找其踪迹的道路。
0-chapter_name,第六话 引导明日的嚆矢
