id,trans
filename,scene_evt150710_cp3_q1_s30
translator,Gemini
info,scene_evt150710_cp3_q1_s30
38,那，今天就先\n回骑空艇吧！
37,嘿嘿！\n请多关照！ 索菲！
36,嗯，谢谢！
35,如果可以的话，\n我们很乐意帮忙！
34,真的吗？
33,总之，在你想起些什么之前，\n要不要和我们一起？
32,你不用道歉啦。\n嘛，我们能相遇\n也算是缘分一场。
31,……对不起。
30,唉……\n果然如此。
29,这个，我不记得了……
28,冷静点！\n那个人叫什么名字？ 长什么样？
27,不知道。\n但我必须去见那个人。
26,啊，果然索菲小姐，\n之前是和同伴在一起的吗？
25,……我，\n要去见一个人。
24,话说回来，索菲你\n接下来打算怎么办？
23,啊，谢我什么，\n我什么也没做啊。
22,嗯。\n谢谢你帮我回忆起来，\n伊欧。
21,索菲……吗。\n呵呵呵，你的名字是索菲啊！
20,索菲仿佛在确认着自己的存在一般，\n满含爱意地低声念着自己的名字。
19,我的名字是……索菲。\n我的名字取自黑索菲之花。
18,……嗯？\n花的名称怎么了？
17,……花的……名字。
16,嗯……好香啊。
15,花的……香味。
14,从脚下升腾起来的花香，\n钻入了两人的鼻腔。
13,就在这时。\n一阵轻柔的风从众人之间吹过——
12,真是的。\n本想寻找目标之花，\n结果却遇到了失忆少女吗……
11,面对答非所问的少女，\n伊欧耸了耸肩。
10,唔……
9,不知道？\n那还记得其他事吗？
8,……不知道。
7,那么……如此不一般的\n你，究竟是什么人？
6,等闲之辈？
5,那身手，\n一看就不是等闲之辈！
4,是啊！ 明明是没见过的魔物，\n你却一点都不害怕……
3,嗯！ 你瞬间就\n把魔物打倒了，吓了我一跳！
2,强？ 我？
1,呼。不过真让人吃惊啊。\n你居然这么强！
0,多亏少女的活跃，众人将魔物一扫而空。
0-synopsis,多亏少女的活跃，众人将魔物一扫而空。伊欧询问少女，然而对方却连自己的名字都不记得了。就在这时，一阵风从两人之间吹过，花香弥漫开来。少女在花香的引导下，想起了自己的名字叫「索菲」。一行人决定暂时照顾无处可去的索菲。
0-chapter_name,索菲篇 追寻失去的记忆
