id,trans
filename,scene_evt190527_cp1_q2_s10
translator,Gemini
info,scene_evt190527_cp1_q2_s10
157,法斯提瓦收拾着碗筷，\n温柔地守护着\n这位年轻朋友专注的身影。
156,…………
154,嗯……然后，……
153,玛丽在西露给她的信纸上\n写下了她在骑空团生活的点点滴滴。
152,哇哇，什么都有！\n不愧是法斯提瓦！\n那我就不客气了……
151,嗯，当然。\n我这里有钢笔和墨水，你用吧。
150,……好！\n法斯提瓦，\n我在这里写可以吗？
149,呵呵，是啊。\n这本身就像冒险故事一样\n会让他很开心的。
148,不要想得太复杂，\n只要告诉老头子\n我每天都在做什么就好了。
147,呼呼……我感觉，\n自己能写好这封信了！
146,是啊……\n我们相遇的时候\n她还只是个菜鸟骑空士。
145,接纳所有人，\n并将大家凝聚成一个团体……\n团长真是个了不起的人啊。
144,呵呵，多亏了团长\n我才能\n认识玛丽你啊。
143,这里真是聚集了各种各样的人，\n姬塔小姐\n真是宽宏大量，让我惊讶。
142,被白龙骑士团\n拿着剑包围起来。
141,现在，我偶尔还会\n梦到骑士团来抓我！
126,哈哈哈，是啊！\n如果没有加入这个骑空团\n骑士大人对我来说就是高不可攀的存在……
125,有时候，我感觉自己\n就像冒险故事里的人物一样。
124,嗯……果然\n因为心跳得厉害\n刺激感都被抵消了……
122,前几天就因为卡鲁巴\n让我们陷入了危险的境地。\n从某种意义上来说，还挺刺激的……
117,确实，姬塔\n来者不拒，\n而且奇怪的委托也不少，或许不错！
116,写写最近的委托怎么样？\n当然，有些事情必须\n保密……
115,……真的，是啊！
114,呵呵，热闹又快乐的每一天……\n多亏了团长啊。
113,每天都有人\n在制造骚动，\n确实有很多可以写的事情！
111,扎扎他人很好，但是\n偶尔会让人担心……\n……不是偶尔，是经常？
106,哈哈哈，确实。\n姬塔小姐总是\n会把奇怪的家伙捡回来～
105,写写骑空团的同伴\n也不错呢。\n那里有很多有趣的人！
104-sel2_txt,是关于最近的委托吧
104-sel1_txt,是关于同伴的事吧
104,这个嘛……
103,信……要写些什么呢。\n如果是法斯提瓦\n你会写些什么？
101,……谢谢。
100,……红茶，再来一杯吗？
97,…………
96,但是……
95,……很重要啊。\n他们都是家人。
94,是啊……
93,但是……我曾经也\n怨恨过老头子和阿尔托斯。\n因为贫穷，我们还去偷东西……
92,家人……嗯，家人。\n西露也像我的弟弟一样，\n我们一起生活得很热闹……
91,是写给家人的信啊。\n真棒。
90,嗯。他和我同岁，\n……像兄弟一样\n陪在他身边。
89,嗯。\n……我记得，他现在在医院\n休养身体吧。
88,之前也稍微说过一点。\n那个捡到被抛弃的我\n并把我养大的老头子。
87,我在想……\n是关于给加鲁奇萨……那个养育我的\n老头子的信。
86,品尝着蜜饯和红茶的玛丽，\n开始断断续续地讲起话来。
80,我这里有诺伊修君推荐的茶叶！\n口感清爽\n和蜜饯很搭哦。
77,啊呜，\n这种诱惑……我无法拒绝……！
76,呵呵，如果还不困的话\n我再给你泡杯红茶吧？
75,嗯～！　好吃～！\n唔，还有股香味\n让人停不下来……
74,谢谢！\n……啊呜……
73,尤利乌斯君分了我一些\n列维翁的特产红酒。\n味道和香气都非常好～
70,答对了！\n用葡萄酒做成了蜜饯。\n用甜食来赶走疲劳吧！
69,哇，好漂亮的颜色……\n呃……是梨……吗？
66,了解。\n那么……这个怎么样？
65,嗯……今晚，\n我一直都在想事情\n想要能缓解疲劳的东西。
64,呵呵，那我就赶紧\n把「好东西」端上来吧。\n你有什么想吃的吗？
63,哈哈哈，如果是法斯提瓦的料理\n那肯定就是「好东西」了。
62,虽然比不上宝藏，\n但我想为每个人\n提供「稍微好一点的东西」。
61,我借鉴了彩虹尽头埋藏着宝藏，\n的童话故事。
60,是这样啊！
59,呵呵，很漂亮的招牌吧？\n是维拉君帮我做的～
58,是的，是「彩虹」的意思。
57,晚上好。\n……你挂上招牌了啊，\n呃……「拉杜伽」？
56,哎呀，玛丽。\n晚上好。
49,去法斯提瓦那里\n坐坐吧……
48,……总觉得，想太多\n都累坏我了。
47,……已经，这么晚了啊……
46,面对着信纸的玛丽\n陷入了沉思，\n却怎么也想不出要写些什么。
45,唉……
39,……信，啊……
38,真是的……就知道强人所难\n……
37,啊！\n喂，你等等！
34,我买了漂亮的信纸哦，\n就用这个吧！\n拜托了，玛丽姐～！
33,那个……\n……是，但是……
32,玛丽姐，你上次寄贺卡\n还是在上一个圣夜吧？
29,嗯！\n老头子和阿尔哥\n一定会很高兴的！
28,诶！？　我！？
27,所以，玛丽姐也\n给老头子他们写封信吧！\n我们一起寄出去？
26,……不是啦！\n我是说，信封里还能再装几张。
25,嘿嘿，有很多想写的东西……
24,哼嗯，你还是一如既往地喜欢写信呢。
23,那个，我给老头子和阿尔哥\n写了封信哦！
22,之后，玛丽和西露\n加入了拯救了她们养育之恩的姬塔\n的骑空团。
17,虽然被追究了罪行，但还是得到了宽大处理，\n由于常年的影响导致身体垮掉\n的加鲁奇萨住进了医院。
16,加鲁奇萨被星晶兽操控了心灵，\n让养子们去偷东西，\n后来摆脱了星晶兽的影响。
11,玛丽和西露是被叫做加鲁奇萨的老人在矿山岛西德洛斯\n抚养长大的孤儿。
3,嗯？\n西露，怎么了？
2,玛丽姐～！
0-synopsis,玛丽被西露邀请，一起给加鲁奇萨他们写信。玛丽为信的内容一直苦恼到深夜，为了转换心情，她去法斯提瓦的酒吧露了个面，并向法斯提瓦咨询了信的内容。听着法斯提瓦的话，玛丽慢慢地开始下笔，法斯提瓦则在一旁温柔地守护着她。
0-chapter_name,第一话 善意红线
