id,trans
filename,scene_evt240928_cp6_q4_s20
translator,Gemini
info,scene_evt240928_cp6_q4_s20
182,是！！
181,大家……亚瑟！\n<span class='scene-font-4'>准备好了吗！？</span>
179,……我知道了。
178,看来，我们没时间在这里\n争论了。
177,咕哦哦哦……！
174,你在说什么啊亚瑟！\n把你投入到这样的前线……
173,我也要一起战斗！
172,是的，是陛下让我带着的！\n这样……
171,为什么……\n那是，圣剑吧？
170,是姬塔小姐她们\n把我送到这里来的。
169,露莉亚，碧……\n姬塔小姐也……为什么会在这里！？
168,你还好吗！？
167,韦恩先生！！
163,亚瑟！？
162,手持散发着耀眼光芒的剑\n的亚瑟站在那里。
161,啊，哈，哈啊……！
160,伴随着闪光，野兽的黑色咆哮被撕裂\n冲击消散之后——
153,哈啊啊啊啊！！
149,可……恶啊啊啊啊！！
148,（不行，要撑不住了……！）
147,咕呜……
146,然而韦恩的双脚在地面上犁出沟壑\n不断后退，握着战斧的手\n皮肤被灼烧，鲜血喷涌而出。
144,由我来，守护……！！
143,为什么……！！
142,<span class='scene-font-4'>别过来，凯！！</span>\n你负责让大家撤退……！
141,韦恩先生！！
140,韦恩举起武器，\n挡下了袭击菲德拉赫阵营的咆哮。
139,唔……呜哦哦哦哦哦！！
138,那简直就像将战场上的污秽\n聚集起来释放出去一般的咆哮。
135,嘎啊啊啊啊！！
134,全体成员，进入防御态势！！
133,糟了……！
132,…………
131,从内部吞噬阿尔巴诺姆士兵的身体，战场上弥漫的不祥气息\n开始聚集到谜之野兽的周围。
128,咕噜噜噜……
127,到底，发生了什么事……！
124,但相对的，似乎也\n会变得不稳定。
123,拉莫拉克先生说\n那是在飞跃性地\n强化人体。
122,那不是像烈人那样\n只融合一个种族的因子\n而是融合了各种各样的因子……
121,从阿尔巴诺姆的士兵身上\n感觉到了非常诡异……\n令人厌恶的气息。
118,那是，姬塔小姐她们\n说过的……！？
91,呜，呜呜呜……！
90,啊，全体成员撤退！！\n能动的立刻撤退！！
89,从阿尔巴诺姆士兵的身体中\n升腾起不祥的漆黑瘴气\n将他们的身影异化。
86,嘎嘎……咕哦哦哦！
85,在因谜之野兽降临而陷入混乱的战场的\n各处，阿尔巴诺姆士兵\n都开始发出充满痛苦的惨叫。
84,呜哇啊啊！？
81,嘎啊啊啊！！
80,什……！？
77,唔，唔……呜哦哦哦哦！！
76,看来并非如此……
75,狂暴的野兽的利爪，\n无论是阿尔巴诺姆的士兵\n都毫不留情地撕裂开来。
73,呀啊啊啊！！
71,咕嘎啊！
70,不……
69,这么说来那家伙是，\n从希贝鲁古莱夫派来阿尔巴诺姆的\n援军！？
68,────！
67,和曾经，希贝鲁古莱夫的国旗上\n装饰的生物\n很像……！
66,因为这次的事，我重新确认了\n在古老的资料里看到过。
65,你知道那是什么！？
64,不，等等……\n我可能想起来了。
63,不管是魔物还是星晶兽\n我都没见过也没听说过……
62,那难道是……星晶兽！？\n作为魔物来说也太大了吧！
61,不行！！\n全体成员，与谜之野兽拉开距离！
60,呜哇啊啊！？
58,咕哦哦……！
56,咕噜噜噜……
55,战场上有魔物！？\n怎么会……！
54,啊，那是什么！？
53,然后，那头仰望才能看到全貌的巨大野兽，\n降临到了两军交锋的最前线。
48,在怒吼声回荡的战场上，\n响起了野兽的咆哮。
47,咕哦哦哦……！
46,就在这时——
45,（各处都开始出现阵型崩溃……\n这样下去很快就会到极限了。\n必须想办法打开突破口……）
42,呜哦哦哦！
41,是，是！
40,坚持得不错！\n你负责照顾那边的伤员！
39,啊……副团长！！
36,喝啊啊！！
34,唔……糟糕，已经没有力气了……
28,哼……！
27,阿尔巴诺姆依靠着残酷的行军和压倒性的\n兵力，逐渐削弱着菲德拉赫的兵力。
26,菲德拉赫的骑士们英勇无畏\n所有人都奋勇作战。\n然而……
25,到底是什么啊……\n那些家伙，真的是人类吗……！？
24,从阿尔巴诺姆军后方发射出的魔法\n即使射程内有己方阿尔巴诺姆士兵\n也毫不顾忌地以强大的威力灼烧着周围。
21,呀啊啊啊！
14,即使一名士兵倒下，也会立刻有其他的阿尔巴诺姆士兵\n踏过他的身体逼近过来。
13,可恶！
12,…………
8,唔……
6,呜哦哦哦！
5,韦恩等人站在了与突然重新开始进攻的\n阿尔巴诺姆军的战斗中\n最为激烈的最前线。
4,是！
3,从中央后方调遣援军！\n现在决不能让阵型崩溃。
2,右翼撑不住了！\n正被以惊人的气势压制着！
1,韦恩副团长！！
0-synopsis,阿尔巴诺姆军突然重新开始了对菲德拉赫的进军。除了异化的阿尔巴诺姆士兵之外，与希贝鲁古莱夫相关的谜之野兽也以丧失理智的状态出现，韦恩等人陷入苦战。这时，手持圣剑的亚瑟与姬塔一行人抵达。为了守护菲德拉赫，一行人与暴走的谜之野兽对峙。
0-chapter_name,第六话 觉醒
