id,trans
filename,scene_fate_chr034_ep1
translator,gpt-4o-latest
info,scene_fate_chr034_ep1
45,为了超越宿于自身的魔力，泽赫克的旅程依然在继续。
44,就这样，泽赫克终于找回了他长期以来遗失的安宁——
43,啊！？又倒下了！喂！快醒醒啊！！
41,感，感谢你们！在与你们的旅途中，我……我一定会战胜这病魔……给你们看……
40,没错！怎么可能把这么重病的人丢在这种地方不管！
39,那就请多多关照了！兄弟！我也会支持你战胜病魔的！
38-sel2_txt,不能把重病患者独自留在这里
38-sel1_txt,一起战胜这病魔吧
38,让我加入你们的旅程吧！只要有这把短剑，我就不会给你们添麻烦……
37,我看中了你的实力，有个请求！！
36,果然……你拿到这把短剑肯定是某种缘分……
35,对，我们是骑空团！姬塔是团长！
34,看你们的装束……是骑空士吧……
31,曼道对古老的魔法病产生了反应，通过其魔封之力暂时安抚了泽赫克的病情。
30,……我能感受到！！曼道与我的身体正在共鸣……呃呃……
29,果然，这上面的刻字……和我体内的相同！！……我感受到了……
28,让我……仔细看看……
27,可是……虽然说是魔封之短剑，这家伙好像并没有封住魔物……
26,什么？兄弟，你知道这把短剑吗？
25,……哈！！你手里的那个……难道是魔封之短剑，曼道！？
24,哇！？他复活了吗！？
23,但，但是……自从你们来了以后，魔物就没再靠近，这是怎么回事？
22,啊！？他，他死了吗……！？怎，怎么办，姬塔！！
20,你们能来真是……太好了……
19,什么！？一，一百天！？那可真是辛苦了……
18,已经……快一百天了，我一直在战斗……呼……呼……
17,你怎么了！？兄弟，你看起来快要死了啊！
16,我不能让周围的人……呼，呼……受到牵连，所以我只能独自一人旅行……咕，呃，咳！
15,呼……呼……用任何方法都无法阻止这股奔流……
14,是的……咳咳……在我体内肆虐的魔力不断涌出，永不枯竭……
13,原来如此……这就是你和魔物战斗的原因啊……
12,据他说，泽赫克的身体因病的影响不断溢出魔力，而那些魔力会引来魔物——
11,泽赫克向救了他一命的姬塔一行讲述了自己被古老魔法病困扰的命运。
10,仅凭一人挑战魔物的青年……泽赫克在姬塔的帮助下脱离了险境。
9,喂，喂！你没事吧！？他这样下去很危险！我们去帮忙吧！姬塔！
5,喂！那边的兄弟！……那位兄弟，为什么一个人挑战魔物啊！？
2,哇！我就说吧！魔物出现了……喂！姬塔！你看那边！
1,咕哦哦哦！！
0,小心点！姬塔！魔物随时都可能出现……
0-synopsis,被古老的魔病侵袭，独自一人对抗魔物长达一百天的青年泽赫克。在与持有「魔封之短剑曼道」的姬塔相遇后，他请求加入旅途同行。
0-chapter_name,病之战士
