id,trans
filename,scene_exjob_drum_ep1_q2_s20
translator,Claude 3 Opus
info,scene_exjob_drum_ep1_q2_s20
95,嗨呀！！
94,出发吧！
93,嗯。但是，还不够！\n从现在开始，我要\n好好地教你！
92,哦，这股气势！
91,嗯—，可惜了！\n但没关系。\n从现在开始我会好好教你的！
90-sel2_txt,嗨呀！
90-sel1_txt,好！
90,那么，我们出发吧！
89,哦哦！没想到还能再次\n看到那些人的祭典音头！\n真是让人移不开视线啊！
88,……喂喂，这\n场面闹得很大啊！？
87,那么马上，\n就让你见识一下我们的『气魄』吧！
86,呼～……\n总算停下来了……
85,哦，这样啊！\n明白了！
84,啊！好的！拜托了！\n请把『气魄』\n传授给姬塔吧！
83,喂，喂……\n这下没法逃了吧！？\n姬塔！
82,嗨呀嗨呀嗨呀嗨呀！！
81,嗨呀嗨呀嗨呀嗨呀！！
80,那个……
79,嗨呀嗨呀嗨呀嗨呀！！
78,呜哇！？\n这、这是什么啊！？
77,……嗨呀！！
76,嗨呀！
75,嗨呀！
74,……唔—嗯…………
73,那么马上，\n就让你见识一下我们的『气魄』吧！
72,嗯，很好的觉悟。
71-sel2_txt,稍等一下……
71-sel1_txt,拜托了！
71,如果姬塔殿有此意愿的话\n我们可以将那份『气魄』\n传授于你。
70,喂喂！\n你在说什么啊！\n不是已经决定了吗！
69,诶？\n怎么做，什么怎么做！？
68,那么，你打算怎么做？
67,就是这么回事！\n所以呢，我们也想\n亲眼见证这一幕。
66,<span class='scene-font-4'>就是这样！</span>\n只要你能理解这一点，\n就能成为名垂青史的祭典之主。
65,姬塔殿不仅实力强大，\n内心也十分高尚。\n剩下的就只有挑战这个祭典的『气魄』了。
64,那个，\n坦率地表露，是吗……？
63,哈哈！\n别害羞，\n要更加坦率地表露出来啊！
62,嗯……我觉得你总是能保持冷静\n这一点非常了不起……
61,混蛋！\n装什么酷啊！！
58,姬塔殿不仅实力强大，\n内心也十分高尚。\n剩下的就只有挑战这个祭典的『气魄』了。
57,喔！\n就是这样就是这样！\n不愧是姬塔！
51-sel2_txt,也没什么……？
51-sel1_txt,不甘心！
51,我说啊，姬塔。\n你怎么想？被这些家伙\n随意说三道四，不觉得不甘心吗？
50,啊啊，看起来大叔们\n也参加过这个祭典呢。
49,哇……\n总、总觉得事态\n变得很厉害了呢……？
48,就是啊！\n祭典的气魄可不能\n托付给这种家伙们啊。
47,啊！？\n还不是因为你们\n太没用了吗！
46,喂，为什么三羽乌鸦\n会在这里啊！？
45,不会吧……\n你们是传说中的祭典男人！？
43,嗷嗷嗷！！
36,嗨呀！
29,嗨呀！
22,嗨呀！
21,哼！\n终于注意到了吗！
20,难道说，那个……！
19,哈！？\n喂，喂……
18,嗯？\n这个嘛……
17,喂，喂，大叔们，突然冒出来\n是怎么回事？虽然你们能这么说\n我很感激，但是啊。
16,喔！\n什么外地人啊小鬼的\n根本就是无理取闹嘛！
15,嗯……\n祭典之主所需要的\n应该是强健的体魄和坚定的意志。
14,哎呀哎呀……\n话说到这个份上\n也不能再沉默了啊。
13,哈！\n我可没打算躲藏！
9,什、什么！？是谁！？\n有意见的家伙\n给我滚出来！！
8,喂喂！\n这不是很奇怪吗！？
7,怎么这样～……
6,哈？吵死了！\n像你这样的小鬼\n根本当不了祭典之主！！
5,诶，那个……但这个\n没问题的……
4,喂！\n你们本来就是外地人吧！？\n怎么可能把祭典之主的位置交给你们！
3,可恶！\n这怎么能接受！！
2,咳……连我都……
1,怎么样！\n服软了吗！？
0-synopsis,姬塔虽然战胜了小混混的老大，但那些小混混们以她是个外地来的小孩为由，拒绝将祭典之主的位置交给她。就在吵闹声中，欧根、索利兹和仁三个人大声疾呼。他们作为「传说中的祭典男人、三羽乌鸦」而在海上男儿中声名远扬。姬塔将从他们三人那里学习作为祭典之主所需的气魄。
0-chapter_name,祭典和打架是大海的华彩
