id,trans
filename,scene_evt140630_cp6_q1_s20
translator,Gemini
info,scene_evt140630_cp6_q1_s20
26,在我拼命压抑恐惧的时候！\n不要来打扰我！
25,叽啊啊啊啊啊！！
24,……是，我害怕。\n不是岛屿，这么一大块机械，\n竟然漂浮在空中……真是难以置信……！
23,嘎哈哈！\n你害怕了吧，塞尔菲拉！！
22,要是掉下去怎么办啊，\n高的地方腿会发软啊，\n我才没有想……啊……
21,爷、爷爷！\n不要说多余的话！！\n我、我才不害怕呢！
20,塞尔菲拉，害怕的东西\n就说害怕也没关系。\n你是第一次乘坐飞艇吧？
19,眼、眼睛里进沙子了……\n没事，没事的……！\n
18,怎么了，塞尔菲拉小姐？\n总觉得，你看起来很悲伤……
17,…………
11,是啊……！\n大家一起，让米德加尔兹奥尔姆\n再次沉睡吧！
10,喂喂，别说得好像已经结束了一样！\n现在才是正戏！
9,……谢谢。\n真的……\n姬塔小姐你们也是，艾尔塔也是……
8,交给我吧，艾尔塔，塞尔菲拉！\n我的格兰赛法\n没有去不了的地方！
7,再说，我们\n是为了帮助这个村子才来的。\n对吧，姬塔！
6,嘿嘿！\n你以为我们会因为你这么说，\n就拒绝吗？
5,所以，拜托了！\n据说米德加尔兹奥尔姆所在的岩山，\n非常险峻，无法徒步攀登……
4,是的。我已经下定决心了。\n……为了不失败，\n我会竭尽全力的。
3,！\n艾尔塔君……可以吗？\n很危险的。
2,请带我和塞尔菲拉小姐，\n去米德加尔兹奥尔姆那里！
1,哦？艾尔塔，怎么了？\n一大早就表情这么严肃……
0,姬塔小姐，各位。\n我有一个请求！
0-synopsis,早上，艾尔塔将大家聚集起来，低头恳求带他去米德加尔兹奥尔姆那里。姬塔一行欣然接受了决心已定、鼓起勇气的艾尔塔的请求，乘坐格兰赛法前往米德加尔兹奥尔姆的所在地。第一次乘坐飞艇的塞尔菲拉显露出了对高空的恐惧，并将满溢的感情发泄在了突然出现的魔物身上。
0-chapter_name,第六话 献给蛇神的歌
