id,trans
filename,scene_evt210927_cp3_q3_s10
translator,Gemini
info,scene_evt210927_cp3_q3_s10
74,真是的……笨蛋亚瑟。
73,亚瑟立刻握紧剑柄\n再次面对魔物，但他的动作\n与之前相比却显得有些僵硬。
72,嗯、嗯……！
71,没事！我没事！\n我没事所以你集中精神，亚瑟！
70,莫、莫德雷德！！
69,莫德雷德\n以敏捷的反应躲开了亚瑟的\n剑。
67,可……恶！！
66,剑尖，差点就\n伤到前来支援的莫德雷德。
65,什么！？
64,回过身挥向魔物的\n亚瑟的剑比想象中\n更深地刺入了它的血肉。
63,咕呀！
61,在那里……啊——！！
59,亚瑟，后面！
58,糟糕，阵型出现破绽了……！
57,什么！？\n亚瑟！\n你太冒进了！！
56,哈啊！\n还差得远呢！
55,碧踮起脚尖\n观察着在前线挥舞着剑的亚瑟他们，\n疑惑地眯起了眼睛。
54,等等，不对劲？
53,库鲁斯也很厉害！
52,亚瑟和莫德雷德，\n配合还是那么默契呢！
51,以亚瑟他们三班为中心，二年级\n的见习骑士们以惊人的动作\n将魔物群斩杀殆尽。
45,哈！
44,喝！！
43,哈啊啊！
42,嘎啊啊啊啊——！
41,哦！！
40,上吧，亚瑟！
39,当然！
38,我去支援中列！\n二年级的！\n让我看看你们的实力！
37,来了！\n托涅利罗说得没错！
36,咕噜……咕噜噜噜！！
34,我知道了！\n大家小心！
33,托涅利罗，你就在那里\n照顾受伤的新人吧。
32,了解。
31,好！\n为了不被包围，沿着街道\n横向展开阵型！
30,迎击。
29,不愧是托涅利罗！
28,从地形和植被来看……\n应该会从队伍的右前方过来！
27,援军要来了。
26,小心，大家！\n刚才那只可能是斥候。\n附近可能有巢穴……
25,刚才的魔物……
24,别追太深！\n准备迎战下一波！
21,咕噜噜——！
20,太浅了……\n快跑！！
18,嘿！
17,呀……！
16,刚说完……！
15,呜，呜啊啊啊！\n出现了！
14,嘎啊啊啊！
12,派个二年级的去那边……
11,是啊。\n没事吧。
10,右翼后方那个一年级的，\n好像稍微落后了。
9,啊，不过别忘了互相提醒！
8,“以现在的阵型为基础，\n必要的话，\n要随机应变。 ”
7,不只是前方、后方，\n左右也要注意索敌！
6,别在山路上就累趴下了。\n马上就要进入魔物的领地了！
5,听到维恩的呼唤，\n各班都作出了回应。
4,二班也是！
3,三班一个人都没少！
2,哪个班，\n都没有掉队的吧？
1,维恩率领的见习骑士们\n为了抵达今天的目的地——山顶\n在山道上前行。
0-synopsis,在山道上前行时，见习骑士们遭到了魔物的袭击。以托涅利罗为首的二年级见习骑士们相互配合，与魔物群战斗。姬塔一行人觉得他们的活跃表现十分可靠。然而，亚瑟在无意识中过度冒进，不仅打乱了队伍阵型，还险些伤到莫德雷德。虽然亚瑟重新振作精神面对魔物，但他的动作却显得有些僵硬。
0-chapter_name,第三话 夹缝之地
