id,trans
filename,scene_evt190527_cp1_q3_s10
translator,Gemini
info,scene_evt190527_cp1_q3_s10
84,…………
83,我明白，可是……
82,不……\n应该说对不起的是我才对。\n是我想太多了，我明白……
81,没关系的，别放在心上。\n抱歉，是我太轻率地提议了……
80,对、对不起，莫尔菲……\n我……
79,……啊……
78,谁知道呢！！
77,如果你说要帮忙的话，\n法斯提瓦小姐\n应该不会拒绝的吧……
76,真是的，姐姐……\n又没有必要\n跑着逃 away  啊。
75,呼，呼……
67,……没人啊……\n是我听错了吗……？
64,～……！！
63,……嗯？我好像听到什么声音了……
62,哇！？\n你反应也太大了吧……
61,哇！？
60,……姐姐。
59,（可是，……可是！\n要是给人家添乱了怎么办……！）
58,（我也想像那孩子一样，\n帮法斯提瓦的忙……！）
57,……呜……
56,有一道小小的身影\n正从门外偷偷地\n注视着两人和睦相处劳作的样子。
52,有希尔帮忙，\n法斯提瓦得以继续准备\n其他的料理。
51,嘿嘿，小事一桩！
50,嗯，小心别切到手了。\n谢谢你，希尔。
49,包在我身上！\n用刀把茎切掉就行了，对吧？
48,那……\n就拜托你了。
47,……其实，我刚才\n还和猫\n一起晒太阳来着……
44,我今天没有要帮忙做委托，\n没事的！
43,啊，可以吗？\n你应该还有别的事要做吧……
42,这么多的话，\n一个人做太辛苦了。\n我来帮忙吧！
41,嗯哼哼～，没错！\n不过，把茎和叶子切掉的话，\n体积就会缩小很多……
40,哇！这些，全都是毛豆！？
39,嗯，是啊。\n我弄到了新鲜的毛豆，\n想让大家都尝尝。
38,你好，法斯提瓦小姐！\n是在准备晚上的东西吗？
37,啊，希尔，欢迎！
36,咦？\n现在还不是晚上，怎么就开门了……？
34,哼哼哼～♪
29,计划完成后，\n她又开始着手准备\n今晚要做的料理。
28,法斯提瓦和齐哈尔谈笑风生，\n一边听取着路过的团员们的意见，\n一边制定着酒水采购计划。
27,下次再来光顾拉狄加\n真是让人期待啊！\n哈哈哈哈！
26,哪里哪里。\n老夫只是单纯地想\n品尝各种各样的酒罢了。
25,多亏了你我才意识到这一点，\n齐哈尔先生，谢谢你！
24,一个人钻牛角尖的话，\n就会被自己的想法束缚住，\n这样可不行……
23,与其费尽心思地准备同样的酒，\n不如把这份精力用来\n收集更多种类的酒，这样大家都能喝得开心……
22,的确……！\n你说得对，齐哈尔先生。
21,汇集了各岛本地酒，在空中旅行的酒吧，\n想想就觉得很有意思啊……
20,能一直喝到新鲜的酒的乐趣，\n和能一直喝到熟悉的味道的安心感，\n这两者可是难分伯仲的啊。
19,但是，拉狄加的话，\n就算酒架上的酒一直在更新换代\n也没关系吧？
18,确实，如果非要追求\n一模一样的酒，\n的确是个难题。
17,如果采购量大的话，\n杂货店老板倒也能帮忙\n确保一部分的品牌……
16,原来如此……
15,如果有客人喜欢上了某种酒，\n想再点一次的时候，\n却拿不出同样的酒，真是不好意思啊。
14,骑空艇一直在移动，对吧？\n所以要一直采购到\n同样的酒水有点困难。
13,这个嘛……该怎么说呢，\n的确是有点棘手的问题……
12,你看起来已经\n干劲满满了……\n是有什么心事吗？
11,看来我得\n打起十二分精神来挑选酒水了……！
10,哎呀……！\n拉狄加也能在您那些辉煌的回忆中\n占有一席之地吗？
9,等老夫到了能喝酒的年纪，\n就被他带着\n踏遍了各个岛上的酒馆！
8,哈哈哈哈！\n以前在旅团的同伴里\n也有个酒豪呢。
7,呵呵，齐哈尔先生\n喝酒的样子真潇洒。\n我也要好好学习一下。
6,既然是进了拉狄加的酒，\n那老夫说不定\n也会去尝尝鲜的。
5,哦！\n那可不能置之不理。
4,啊，齐哈尔先生，您好。\n……我正在考虑\n酒水采购的事情。
3,哎呀，怎么了？\n怎么又是这副\n愁眉苦脸的样子……
2,唔嗯……该怎么办呢……
0-synopsis,法斯提瓦正为酒吧「拉狄加」倾注全力，从酒水采购到料理准备，想将它打造成一个舒适惬意的地方。薇特尔担心自己帮忙反而会添乱，迟迟开不了口说出「我想帮法斯提瓦的忙」，只是偷偷地观察着拉狄加的状况。
0-chapter_name,第一话 善意之线
