id,trans
filename,scene_evt210528_cp3_q3_s10
translator,Gemini
info,scene_evt210528_cp3_q3_s10
92,就这样，翔\n让同伴们先逃走，\n独自一人前往通用门。
91,别担心。\n我很快就会追上的……\n<span class='scene-font-4'>Go！</span>
90,King……可是！
89,你们先走吧。\n我必须去救它……！
88,<span class='scene-font-4'>别开玩笑了啊啊啊啊！</span>\n倾注了我全部爱意的搭档……\n居然被擅自骑走，真是岂有此理！
87,因此，\n在特级岛内巡逻时很方便，\n所以被回收后经常使用。
86,暴走族的摩托，\n因为经过改装，\n速度很快。
85,据情报贩子说……
84,看到通用门前排列的摩托中\n出现了自己熟悉的爱车的身影，\n翔感到震惊。
83,诶？ 那是，King的？
82,为什么？\n为什么，我的搭档会在这里……！？
81,King！\n你在干什么，快点！
80,刚才那是……
78,────
76,呼……\n好，就快到了。\n全力冲向港口！
75,这样一来，\n消防那边也腾不出人手了吧。\n追兵减少的话就能轻松一点了！
74,<span class='scene-font-4'>哈哈哈！</span>\n时机正好！\n各种尝试果然没有白费。
73,诶，难道说……\n用那种药剂……？
72,多摩屋！！
69,好，再来一发！
68,……！？
67,突然，\n从南馆传来爆炸声，\n接着就看到滚滚浓烟升腾而起。
64,What？\n你在说什么？
63,啊，我想应该快了……
62,怎么了？
61,正准备前往港口的翔，\n看到光华师望着建筑物坐立不安的样子，\n歪了歪头。
60,好了，大家！ 快走吧！
59,一脸开心的样子。\n果然是抖M啊，这家伙……
58,哼，气氛越来越热烈了啊！
57,这一切交织在一起，\n宛如一首交响曲，\n从空中倾泻而下。
56,响彻的警报声。\n被关押的学生们的欢呼声。\n看守们的怒吼声。
55,<span class='scene-font-4'>发现逃犯！</span>\n西馆，速速前往铁丝网附近！\n重复……发现逃犯！
54,啧……
52,太逊了吧，真的。
51,碰巧！？
50,我们不是经过了主馆吗？\n那时候，碰巧发现的。
49,等等……\n等等，King。\n你，那身衣服哪来的？
48,好了，从现在开始无论发生什么，\n都不要回头，给我冲！\n拼命往前跑！
42,以从未有过逃脱者而自豪的，\n特级少年罪犯流放岛的历史\n即将被改写。
41,今夜……
40,<span class='scene-font-4'>哈哈哈！</span>\n不愧是King，干得漂亮！\n好嘞！ 我们也跟上！！
39,没有什么好怕的……\nCome on！ 你们！\n<span class='scene-font-4'>给我大闹一场！</span>
38,呼呼……\n<span class='scene-font-4'>呀哈哈哈哈！</span>
34,即使火花四溅，\n翔也毫不惊讶，毫不慌乱，\n翻越了铁丝网。
33,那道堪称完美的抛物线，\n成功地跳到了铁丝网上。
32,翔，飞向了苍空。
29,呜哦哦哦哦！！
28,然后，毫不犹豫地，\n助跑之后，\n用力蹬了一下屋顶的边缘……
27,手上戴着层层叠叠的橡胶手套。\n在腿和躯干上，也缠绕着加工过的\n橡胶手套，翔鼓足干劲。
26,Just do it……
25,比想象中还要Heavy……\n但我们已经不会停下脚步了。
24,不久之后，\n劈啪作响放着电的巨大铁丝网\n出现在眼前。
19,在一片骚乱中，下定决心的\n翔一行人，一边反复移动到\n监视塔的死角，一边向西馆的边缘赶去。
18,走吧……
16,嘴上这么说～\n脸上却笑开了花。
15,哼……\n一群蠢货。
14,就是那个，那个！\n浪漫，吧。
13,西馆的那些家伙，\n是不是在我们身上……\n看到了什么希望？
12,我们……\n是无所不能的……
11,感觉能做到？\n不，那不对。
10,总觉得，不可思议地……\n感觉什么都能做到。
9,真的，感觉超级自由……
8,话说回来，\n屋顶居然是这么\n舒服的地方啊？
7,唔～，浪漫主义者！
6,抱歉……\n因为满月实在是太美了……
5,真是的……\n你在干什么啊～\n后面都堵住了知道吗？
4,被怒吼声拉回现实的\n翔，抓住同伴的手，\n将他们从脚下的通风井中拉上来。
3,呼，现在还不是……\n享受情调的时候吧……
2,喂！\n闪开，King！
1,光芒四射的满月啊……\n你是在为我们……\n指引前进的道路吗？
0-synopsis,登上屋顶的翔一行人。他们甚至翻越了通电的铁丝网，终于成功逃脱。翔一行人无视警报声，准备赶往港口，却在经过的通用门处发现了翔的摩托。翔让情报贩子们先走一步，自己则为了夺回爱车跑向通用门。
0-chapter_name,第三话 传说的开始
