id,trans
filename,scene_fate_chr016_ep1
translator,gpt-4o-latest
info,scene_fate_chr016_ep1
46,自由奔放的尤艾尔引发的众多奇妙冒险，将在另一个故事中讲述……
45,将元气满满的尤艾尔加入队伍后，姬塔一行踏上了下一段旅程──
44,那就拜托你们了！来吧，带路吧！！
43,这家伙无论遇到什么都不像会被打倒的样子。欢迎她加入吧！
42,宝物以外的目的？嗯呵呵……那也挺有意思的！
41,对吧！那就谈妥了！
40-sel2_txt,不是为了宝物。
40-sel1_txt,超喜欢宝物！！
40,你们看起来很喜欢宝物。要是和我在一起，肯定能找到超多宝物！ …怎么样？
39,比起那些！你们的旅行，要不让我一起去怎么样？
38,你真是个拘泥细节的蜥蜴啊。这是古老的传说，我自己也搞不太清楚。
37,喂喂，你刚才不是还说三大神器吗？一下子就多了五个！
36,要是和你们在一起，我觉得八大神器也能马上找到！
35,嗯，就是这么回事！喂喂，你们不是开着船在天空中飞来飞去吗？
34,然后就迷路了啊……
33,为了寻找带有王家纹章的宝物这一关键，她离开了家族，独自一人四处游历——
32,这个用奇怪口音说话的少女名叫尤艾尔。为了复兴一族曾经侍奉的王家，她说自己一直在追寻千年的历史。
31,……我还以为你们也是盯上我手里的王家情报的拐子呢。
30,为了完成一族的重要使命，我正在寻找刻有王家纹章的三大神器。
29,王家的纹章？精灵族的大姐，这把大斧子怎么了？
28,仔细一看，你拿的那把斧子上刻着过去王家的纹章！
27,等、等一下！
26,姬塔！这家伙太危险了，赶紧把她带出这片森林吧。
25,唉～……真是个麻烦的家伙啊。
24,我还以为自己会在这里不小心野化呢。
23,……嗯，虽然我确实是迷路了。如果你们这些蜥蜴能帮我，那就太好了♪
22,什么啊，我们还以为是有人遇到麻烦用狼烟发出了求救信号呢……
21,哇哦，精灵族的大姐，你真厉害！！……等等，烤鱼吗！？
20,厉害吧！这是我独有的特殊技艺。然后，就这样……把鱼烤得恰到好处……
19,哇啊！！刚才那是什么！！精灵族的大姐，刚才你从哪儿放出了火啊！？
16,我只是用这狐火篝火在烤捕到的鱼……
15,狼烟？你在说什么？
14,难道说，那个狼烟是你放的吗？
13,喂，精灵族的大姐。我们看到从这个岛上升起的狼烟，才过来救援的。
12,……是、是这样吗？那我迷路是因为装备不对吗……
11,没有装备，怎么可能进入这种幽深的森林啊！
10,你都拿着那么大的斧头了，还敢说这种话！
9,好了，快放手！我们不是可疑的人！
8,哇！！什么，蜥蜴在说话！！这是什么情况？
7,哇！！这精灵族是怎么回事！喂，打算对我做什么！快放开我！
6,别动！！你们这些拐子……我可不会轻易被抓住！
4,都已经升起了狼烟，到底跑哪儿去了？喂！有人在吗！？
3,看来这里曾经的确有人在。
2,不久，他们到达了狼烟升起的地方，但那里早已没有了人影……
1,在树木茂密的幽深森林中，姬塔一行继续搜寻发出救难信号的人——
0,在旅途中，姬塔一行看到了从一个小岛上升起的狼烟，便紧急改变航向，降落到这个偏僻的地方。
0-synopsis,为了获得实现一族愿望的王家复兴之钥，尤艾尔独自离开故乡踏上了旅程。在茂密的森林中徘徊的尤艾尔，遇到了携带着刻有王家纹章的宝物的姬塔一行。尤艾尔相信这是命运的相遇，便提出要同行。
0-chapter_name,精灵族的元气少女登场！
