id,trans
filename,scene_evt151031_cp1_q4_s30
translator,Gemini
info,scene_evt151031_cp1_q4_s30
14,与姬塔她们同时出现的\n企图征服全空的男子，连斯。\n他来到菲尔泰尔岛的目的究竟是什么。
13,(真遇到什么事的时候\n盾牌减少了会很麻烦啊。)
12,哈哈！谁知道呢。
11,哦，哦……\n……你小子，\n又在打什么鬼主意……
10,喂喂……\n我们是团队，团队。\n至少在这座山上是这样。
9,啊？真少见啊。\n居然会担心别人……
8,嘿嘿！抱歉啦。\n那是下意识的反应嘛。\n嘛，没什么大事真是太好了。
7,你小子……！\n既然注意到了就告诉我们啊混蛋！
6,一边收剑一边咒骂的连斯。\n他最先察觉到从头顶倾泻而下的刺的气息，\n并将其斩落。
5,你们几个别松懈……\n被那家伙干掉的话\n可不是受伤就能了事的？
4,啊，是那棵树吗……\n确实长得挺壮实的……
3,哎呀哎呀……是钢铁栗的刺啊。\n经常生长在悬崖边上的。\n在悬崖下行走很危险哦？
2,可恶……！拔不出来！\n突然从上面\n掉下来刺扎到我了！
1,痛……痛死了……！！\n这……这是什么……！
0,在姬塔她们与魔物战斗的同时，\n连斯他们这边……
0-synopsis,在悬崖下前进的连斯一行被尤达尔拉哈踢落的钢铁栗刺扎到。然而只有连斯以迅雷不及掩耳的剑法将其斩落。
0-chapter_name,第1话 异形栖息的山
