id,trans
filename,scene_evt150930_cp4_q4_s10
translator,Gemini
info,scene_evt150930_cp4_q4_s10
17,包在我们身上吧！\n我们走，姬塔！
16,什么！？我知道了！\n马上就去救援！
15,诺、诺伊修大人！\n城镇郊外的商队遭到魔物袭击……
13,呵呵！\n虽然嘴上是这么说，\n不过他们看起来关系真好呢。
12,哈哈哈！\n诺伊修那家伙，完全被斯卡哈\n牵着鼻子走啊！
11,唉，真是的……
10,哼……\n是我让他照顾我的。
9,呵呵，能一直和这么帅的小伙子\n一起玩，真好呀～
8,哎呀！\n诺伊修大人也一起啊！
7,哼哼，居然会跟不上\n我这副模样，真是可怜。
6,喂，斯卡哈！\n我不是说了别一个人跑到前面去吗！
4,这样啊……\n那可真没意思。
3,抱歉啊。\n好像商队的抵达时间推迟了，\n没什么新鲜玩意儿。
2,嗯。\n今天工作也很努力嘛。\n那么，有进什么稀罕玩意儿吗？
1,哎呀，欢迎光临！\n斯卡哈小姐。
0,史尔特尔袭击事件过后，姬塔一行人\n仍在继续巡视城下町。
0-synopsis,诺伊修与姬塔一行外出巡视城下町，同行而来的斯卡哈擅自四处走动，让他头疼不已。姬塔一行对诺伊修和斯卡哈之间的互动感到忍俊不禁，却突然听说城镇郊外的商队遭到魔物袭击，于是立刻赶往现场。
0-chapter_name,第四话 愤怒的黑色羽翼
