id,trans
filename,scene_evt240928_cp2_q3_s10
translator,Gemini
info,scene_evt240928_cp2_q3_s10
171,然后，独自一人悄悄地走出了帐篷。
170,确认亚瑟发出规律的呼吸声\n后，\n莫德雷德站了起来。
167,呼……呼……
166,嗯，晚安。
165,嗯……晚安……
164,……你给我睡觉。
163,你，温柔又坚强……\n我也要，像你一样……
162,嗯……两个人\n也是由一个个体组成的吧。\n所以，我也要……
161,……一个人？
160,我也要，变得更加可靠\n即使一个人也要\n独当一面才行。
159,莫德雷德，\n一直以来谢谢你。
158,啊哈哈，好像是有这么回事～
157,你啊，要不是我用草药\n帮你按穴位\n你根本醒不过来。
156,诶～有吗？
155,我给你\n擦了多少次屁股了……
154,是是。\n你也是。\n有我这个伙伴你也很幸运吧。
153,莫德雷德，有我这个伙伴真是太好了吧。
152,不爱哭的你\n需要我替你哭～
151,啊？\n你这是在拐弯抹角地指责我吗？
150,毕竟啊，偶尔会\n不择手段的你\n如果做得太过火的话，我可以阻止你啊。
149,两个人，吗……
148,不是一个人……\n而是两个人，真是太好了。
147,和你一起长大，\n朝着同一个目标努力，\n一起來到王都……
146,虽然我们相遇的契机\n是战争那样的\n悲伤往事，\n但我们被温柔的修女收养……
145,看到护身符突然就想说了。
144,哈……？\n你说什么呢，突然。
143,我啊……有你在\n真是太好了。
142,…………
141,这样，你就不会再做噩梦了。
140,不行，拿着。\n代替你那个\n放在枕头底下。
139,为什么啊。\n我不能要。
138,啊，只是借给你而已？\n回王都的时候要还给我。
137,你，这个……\n不是修女给你的护身符吗。
136,这个就交给你了。
135,亚瑟在被子里摸索着\n拿出一个东西\n递给莫德雷德。
134,所以啊……
133,……这样啊。
132,但是，大部分的梦\n醒来后就忘记了。
131,真的～
130,哈哈，真可惜啊。
129,而且啊，我盛了满满一盘\n都快要掉出来了，正要开动\n就醒过来了……
128,你这家伙就是个吃货吧。
127,我梦到食堂的饭，变成了维恩副团长\n做的自助餐～
126,诶，是什么样的呢，让我想想……
125,……什么样的？
122,我当然也会做梦啊。
121,诶？ 你这是什么意思。
120,啊，那个……算了。\n问了个无聊的问题。\n没什么特别的意义。
117,我说亚瑟……\n你会做梦吗？
114,对了，莫德雷德。\n你刚才的问题……
113,亚瑟沉重地眨了眨眼，\n抬头看向莫德雷德。
112,嗯，是啊。
111,……睡一会儿吧。\n你刚才不是说\n没睡好吗。
110,回到帐篷后，莫德雷德\n让亚瑟躺在床上。
109,那就好……
108,我没事。\n真的只是小伤而已。
107,没事吧？
101,和托涅利罗一样，\n亨利和库鲁斯也\n向凯点了点头。
100,知道了！
99,托涅利罗，库鲁斯，亨利\n在我回来之前就拜托你们照看医务室了。
98,那么……\n我去周围巡逻，看看\n有没有其他异常。
97,很好。
96,我知道了！
95,知道了！
94,知道了吗？
93,…………
92,……你的脸色也很差。\n就你这状态，进了医务室\n病号都会被你吓到病情加重。
91,不，不是……
90,啊？ 你这是在顶嘴？
89,我没事！\n而且，马上就要到和托涅利罗他们\n换班的时间了……
88,莫德雷德你把亚瑟\n带回去。\n然后你也去休息。
87,是，是！
86,闭嘴！\n禁止顶嘴！！
85,但是，我没事！
84,亚瑟，你的伤\n好像没什么大碍\n总之先回帐篷休息。
83,唉……算了。
82,是，是……对不起……
81,我知道。\n又没人说你没错。
80,凯前辈！\n不是的！ 是我的错，\n亚瑟是为了保护我才……！
79,是……对不起。
78,我，说过了对吧？\n没有多余的人手照顾你们。
77,是，是！
76,亚瑟
75,……凡事总有例外。\n比起这个现在首先……
74,但是，很奇怪啊。\n营地附近没有魔兽\n我们应该已经确认过了……
73,是吗。
72,只是轻微的划伤。\n血也已经止住了。
71,我知道了。\n只有亚瑟受伤了吗？
70,魔兽已被排除。\n附近，没有其他气息。
69,……亚瑟和莫德雷德\n遭遇了魔兽。\n亚瑟受了轻伤。
68,凯，凯前辈……！
67,你们在干什么！
66,ひ……！？
65,想被训斥的话，我\n现在就可以给你们安排上？
64,哈？ 笨蛋吗！\n这种事被维恩副团长\n发现的话，你们就完蛋了？
63,……放在，帐篷里了……
62,真是的，净会给人添麻烦……\n话说回来，你们的剑呢。
61,（无论怎么想，伤口的程度\n和出血量都对不上……\n这……）
55,嗯……\n虽然不太清楚，\n但我真的没事。
54,你只有膝盖擦伤……？\n那这些血是怎么回事？
49,……哇，这是什么！？\n衣服都染红了！
48,血？
47,……！\n亚瑟，你……在流血！
39,（这……和那时一样……？）
38,嗯……好像没事。\n就好像是被划伤了一样……
36,亚瑟……你没事吧……？
35,怎么会……？\n衣服都裂开了，\n还流了这么多血……
34,伤口，是指这个吗？\n就好像是被划伤了一样……？
33,……咦？
32,伤口……
31,亚瑟！ 让我看看伤口！
30,呜……好痛……
29,亚瑟他，亚瑟他……！！
28,你们两个！没事吧！？
27,你们在干什么啊！
24,库鲁斯……！
21,咕嘎……
18,哈啊！！
17,亚瑟，莫德雷德！
14,可恶！ 剑……！
10,咕噜噜……！
9,亚瑟！ 振作一点！
8,呜，呜……
7,亚瑟！！
5,唔啊……！！
1,嘎啊啊啊！！
0-synopsis,托涅利罗、库鲁斯和亨利赶到，虽然魔兽被打倒了，但亚瑟却被魔兽击中。然而与出血量相比，他的伤却小得有些不自然。回到帐篷后，亚瑟将自己从修女那里得到护身符借给了莫德雷德，并向莫德雷德表达了平时的感谢后便睡着了。目送亚瑟睡着后，莫德雷德独自一人走出了帐篷。
0-chapter_name,第二话 两人
