id,trans
filename,scene_evt180809_cp2_q3_s10
translator,Gemini
info,scene_evt180809_cp2_q3_s10
99,就这样，露莉亚通过和千歌她们的交流\n逐渐恢复了\n精神。
98,那我们走吧！\n全速前进，哟索罗♪
97,啊……好的！
96,唱歌和跳舞，我来教你！
95,……呐，那，\n要不要和我们一起练习？
94,虽然我也没有在人前唱过歌……\n但是我很喜欢\n和卡塔莉娜她们一起唱歌。
93,好可惜……不过，还是要谢谢你们。\n能看到这么棒的东西\n我真的很开心。
92,好可惜……不过，还是要谢谢你们。\n听了几首女孩子的歌，\n让我回想起了一些快乐的心情。
83,抱歉……
82,难道说，\n没法继续看了吗？
81,……没有啊……
80,插座……？
79,露莉亚酱，哪里有\n插座吗？
78,<span class='scene-font-4'>诶——！？</span>\n怎么会……
77,啊……千歌酱，\n这个，电池没电了……
76,试着操作了几下，\n却没有任何反应。
75,等一下，怎么了？\n笔记本电脑先生……？
73,诶？
72,还没等千歌说完，\n画面就一片漆黑，音乐也停止了。
71,然后呢，接下来终于要到\n我们Aqours的……
70,……嗯，超级喜欢。\n如果露莉亚酱\n也能喜欢上的话我会很开心的……
69,千歌桑，真的很喜欢校园偶像\n呢。
68,露莉亚注视着\n千歌眯起眼睛微笑的侧脸。
67,…………
66,两人目不转睛地\n盯着屏幕上\n女孩子们的身影。
65,嗯。是吧？
64,……闪闪发光，真好看呢。
63,现在正在唱歌的孩子们就是μ's。\n我看了这场演唱会后，\n就决定成为校园偶像了。
62,…………！\n这个是……！
61,…………
48,过了一会儿，\n伴随着音乐，女孩子们的身影\n被投射出来。
47,千歌打开了一个扁平的东西，\n接着进行了某种操作。
45,嘿嘿嘿……把我当成拉露莉亚酱入坑的人\n首先想让她了解一下Aqours的\n根源……
44,……说起来，我们\n是连同社团教室的桌子一起被带到这里的来着。
43,<span class='scene-font-4'>锵锵！</span>\n社团教室的笔记本电脑！
37,原来如此……\n露莉亚酱，稍微等一下！
36,嘿嘿……是说两者都想……\nAqours各位的歌声和舞蹈，\n我还没有看过呢……
35,唱歌！！\n制服！！
33,啊……那个，那样的话……
32,唔……\n那要先和梨子酱的演奏\n一起唱歌才行！
31,我帮露莉亚酱\n做件可爱的制服吧！
30,回想起开心的事……\n如果有能让人想起开心事的\n契机就好了。
29,……但是总觉得，\n就算读了也没有什么实感……
28,我的日记。\n我想着如果读一遍的话，\n说不定就能想起什么开心的事来。
27,露莉亚酱，你在看什么？
26,…………
18,稍微休息一下吧……
17,我也是……
16,我也是。
15,……不行啊。我也想不出什么办法……
14,嗯……
13,靠露莉亚的力量来想办法……\n又不能让她太勉强……
12,那个，离开这座岛是不可能了\n贸然呼叫救援的话姬塔小姐\n恐怕也会落得同样的下场……
3,可恶……没想到对方的实力\n居然能让骑空艇都动不了\n真是出乎意料……
2,离开这座岛的作战\n失败了呢……
1,喂喂……骗人的吧，\n格兰赛法号不能动了……
0-synopsis,碧和水团的成员们苦于现状，想不出任何突破困境的办法。此时，为了让露莉亚回想起快乐的心情，千歌用笔记本电脑给露莉亚播放了μ's的演唱会影像。听到露莉亚说「喜欢和卡塔莉娜她们一起唱歌」，千歌提议和她一起练习唱歌跳舞。通过与千歌她们的交流，露莉亚逐渐恢复了精神。
0-chapter_name,第二话 田纳西的街道
