id,trans
filename,scene_evt240428_cp0_q1_s10
translator,Claude 3 Opus
info,scene_evt240428_cp0_q1_s10
200,没人知道这样令人难忘的事件\n正在前方等待着他们——
194,面对更加哲学的问题，\n众人纷纷抱头苦思。
193,诶……？
192,意大利面和拉面，\n有什么区别呢？
189,对于巨大的文化冲击，\n可露露做出了哲学般的反应。
188,说到男孩子……\n就是不是女孩子吗？
185,玛娜玛尔说出了\n与「可爱」相去甚远的神秘词语。
184,全裸拉面！？
178,这两个人很快就要\n遭遇一连串热闹的骚动——
177,玛娜玛尔慌忙追赶\n噔噔噔跑出去的可露露。
176,啊，可露露！\n你还涂得惨白呢～！
173,好的！
172,呵呵……\n我们去餐厅吧。
171,……但是，在那之前\n得先找晚饭吃……
169,我明白了！\n在这个城市逗留期间，\n我一定会找到的！
168,嗯嗯……\n属于自己的时尚……
167,参考别人是很重要。\n但光模仿是不够的……\n要找到属于自己的时尚。
166,肤色、骨骼、耳朵形状，\n每个人都不一样。
161,明白吗，可露露？\n时尚是因人而异的。
160,自从遇到玛娜玛尔后，\n那本「时尚手账」上的\n笔记也渐渐增多。
159,可露露一边涂得惨白的脸，\n一边兴致勃勃地在手账上做笔记。
158,原来如此……！\n化妆真是博大精深啊。
157,而且涂抹不均匀也很明显。\n尤其是鼻翼等细节部位，\n要用粉扑仔细涂抹哦。
156,玛娜用的粉底\n色号还蛮多的，\n一定有适合可露露的。
155,真是的……！\n玛娜和可露露的肤色不一样。\n完全相同是不行的。
154,是的！
153,难道说，可露露……\n用了和玛娜一样的化妆品！？
147,而可露露，11岁——\n这个爱吃又率直的少女，\n最近对时尚非常感兴趣。
146,在奥布库埃岛的一件事后状况有了进展，\n后来虽然和那位「姐姐」邂逅，\n但现在还没走到那一步。
145,玛娜玛尔，17岁——\n为了寻找生离死别的姐姐而旅行，\n对可爱有着执着的少女。
139,回到自己房间的玛娜玛尔\n迎接她的是\n满脸惨白却笑眯眯的可露露。
138,呀啊啊啊啊啊！！？
137,欢迎回来～！
135,我回来了～
130,在停靠于微风港的格兰赛法号内。
124,自在婚庆行业流传的\n「双新娘逃跑事件」过去了一段时间，\n来到了现在——
118,这、这个～……\n好像撞见了一场\n不得了的婚礼啊……
117,…………
116,让我们携手合作吧。\n为了我蕾雅家的夙愿！
115,必须把女儿们带回来。\n这关系到我拉布梅雷家的声誉！
114,真巧啊……\n我女儿的婚礼也是！
113,怎么会这样……！\n女儿的婚礼乱七八糟的！
107,拉姆酱……\n<span class='scene-font-4'>自由了啊啊啊啊啊！！！</span>
102,啊，我就算了。
101,我们去更远的地方吧！\n去找帅气的男孩子！
100,呵呵……\n你真是个有趣的孩子。
99,顺便把你父亲\n也撞飞就好了！
98,……没关系吗？\n你把父亲\n撞飞了哦。
92,噗！？
70,拉姆拉拉握住蕾莉可的手，\n拼命地跑了起来。
69,哇……！？
68,快跑快跑快跑！
66,糟了……！
65,喂，拉姆拉拉！？\n你在这里到底在干什么——
61,蕾莉可先是看了看暴跳如雷的父亲，\n然后看向拉姆拉拉伸出的手。
60,…………
59,你在做什么，蕾莉可！\n想要白费我的努力吗！？
58,很有趣……？
57,那不如我们两个一起！\n两个新娘双双逃跑，\n很有趣不是吗？
56,我也快要被迫\n接受讨厌的婚姻了。
55,…………！
54,虽然我多管闲事……\n姐姐，你不喜欢\n那个人吧？
53,和、和我……？
52,我们一起逃出去吧，\n从这里。
51,拉姆拉拉无视他径直走到\n站在祭坛前的蕾莉可面前，\n直截了当地伸出了手。
50,喂，够了吧！\n回到隔壁的婚礼现场去！
47,被甩了也没办法。\n不过既然都跑来了……
46,在新郎瞪大眼睛的时候，\n拉姆拉拉吐出一口气。
45,成鸟……？
44,……对不起。\n总觉得是个有趣的人呢……\n像成鸟一样绚丽。
43,蕾莉可小姐的笑容……\n我还是第一次看到。
40,呵呵……
39,<span class='scene-font-4'>咣当！？</span>\n瞬间就被甩了～！？
38,非常抱歉。
37,而且在隔壁的婚礼现场，\n我发现了一位很棒的男士！
36,可是，我和你\n今天才第一次见面……
35,在结婚典礼进行的时候\n突然跑出去什么的……！\n爸爸妈妈都很生气哦！
34,呼……哈……\n拉姆拉拉酱的新郎……
33,就在婚礼现场陷入混乱之时，\n一位满身大汗的男性冲了进来。
32,这次又是谁！？
31,等一下啊啊啊！！
27,<span class='scene-font-4'>你是什么人！</span>\n而且为什么穿着婚纱——
25,还不认识真是太幸运了！\n和拉姆酱在一起的话，\n每天都会很开心哦？
24,不，完全不认识……
23,……是认识的人吗？
22,我、我吗！？
21,那边的帅哥……\n从现在开始，选我如何！
20,闯入者朝着困惑的新郎\n指了指。
19,反过来婚礼出局又是……？
18,婚礼安全……？
17,呼，好险……\n如果还没接吻的话，\n婚礼还算安全吧？
16,诶……？
15,给我等一下啊啊啊！！！
13,在众多来宾的注视下，\n新娘轻轻闭上眼睛的时候——
10,…………
9,……可以吗？
8,那么，请允诺之吻吧。
7,在某个婚礼现场，\n一对新人正要\n踏入婚姻的新篇章。
1,在花开鸟鸣、\n吉祥的某个春日。
0-synopsis,在某个春日，拉姆拉拉和蕾莉可这两位新娘差点被迫接受父母决定的婚姻，于是她们从婚礼现场逃走，引发了「双新娘逃跑事件」。时间流逝，某日，停靠在<span class='scene-font-place'>微风港</span>的格兰赛法，可露露得到了玛娜玛尔的建议，决心要寻找属于自己的时尚。
0-chapter_name,开场
