id,trans
filename,scene_evt260329_cp1_q2_s10
translator,gemini-3.1-pro-preview
info,scene_evt260329_cp1_q2_s10
68,我们也正在问呢……
67,……这是什么情况？
59,我是克拉莉丝的母亲，普洛美缇娅。\n感谢你们邀请我参加\n格兰赛法参观日。
56,骗人的吧……
55,哎呀，真是相当热闹呢。
54,还是老样子啊……\n所以说到底，那个什么\n格兰赛法参观日到底是怎么回事——
53,但是，我是母亲嘛。\n能倾注爱的母亲，\n再多也不会让人困扰吧？
52,不，这还是稍微客气点吧。
51,虽然你有真正的母亲，\n但也可以把我也当成\n你的母亲哦。
50,呵呵，确实……\n总觉得有种怀念的感觉呢。
49,嗯，看着艾奇多娜，\n就感觉心里暖暖的。
48,<span class='scene-font-spword'>掌管母亲</span>……\n星晶兽还真是形形色色啊。
42,在纳尔·格兰德空域旅行的途中\n与姬塔一行人相遇，\n直到现在。
41,她的力量是曾经某位星之民\n因为渴求幽世的力量\n而创造出来的。
40,艾奇多娜是与贝斯提埃岛\n签订了契约，\n掌管一切万兽之母的星晶兽。
34,不好意思。\n让我重新介绍一下吧——
33,那个，我不太\n了解……\n请问这位是……？
32,唔唔……
31,……乖哦乖哦。
29,姬塔默默地点了点头，\n用力回抱住\n那巨大的身体。
28,艾奇多娜温柔地\n将姬塔拥入怀中。
27,你很努力了呢。\n妈妈为你感到骄傲。
26,是啊。听说大家\n从<span class='scene-font-place'>伊斯塔鲁西亚</span>回来了，\n我就按捺不住了。
25,对了，因为幽世消失了，\n所以离开岛屿也没问题了呢！
24,艾奇多娜……！？
23,呵呵……\n外面的世界有很多稀奇的东西，\n让人不禁眼花缭乱呢。
20,这个嘛——
19,这么快就从\n<span class='scene-font-place'>贝斯提埃岛</span>回来了，\n是发生什么事了吗？
18,咦？\n但是，现在离约定的时间\n还早得很吧……？
17,萝赛塔……！\n欢迎回来！
16,姬塔……！\n哎呀，看来我们迟了一步……
13,今天！？
12,集合地点是格兰赛法\n日期是——
11,因此，请各位前来参观的家长\n在下方注明的日期和时间，带上此信，\n前来集合。
10,<span class='scene-font-italic scene-font-blue'>希望能借此机会</span>\n<span class='scene-font-italic scene-font-blue'>让各位了解孩子们在骑空团的表现</span>\n<span class='scene-font-italic scene-font-blue'>敬请踊跃参加</span>……
9,致格兰赛法各位监护人。\n这次，我们策划了格兰赛法参观日。
8,一行人凑近去看那封信，\n一边逐字逐句地确认一边读了下去。
7,比起那个，\n现在更重要是这封信吧。
6,是的！飞艇随时都非常欢迎您！
5,嘛，虽然有些惊讶。\n不过你想什么时候来都行啊？
4,但看你们的反应，\n似乎并不是……\n很抱歉突然就跑过来了。
3,是啊。\n我还以为一定是姬塔\n寄来的呢……
2,看着寄给阿莉西亚的那封信，\n一行人歪着头陷入了沉思。
1,也就是说，这封信寄到了妈妈那里，\n所以你才来到了飞艇上。
0-synopsis,一行人对“格兰赛法参观日”这个词感到困惑。这时，从<span class='scene-font-place'>贝斯提埃岛</span>回来的萝赛塔和艾奇多娜与大家会合，他们得知此事的发起人正是艾奇多娜。碧理所当然地提出了这究竟是个什么活动的疑问，紧接着，克拉莉丝的母亲普洛美缇娅也来到了飞艇上。
0-chapter_name,第1话 袭来！
