id,trans
filename,scene_evt160731_cp7_q4_s10_ss
translator,Gemini
info,scene_evt160731_cp7_q4_s10_ss
106,就这样，姬塔等人\n顺利地完成了\n海之家的看店工作。
105,姬塔向露莉亚点点头，\n享受着与同伴们的欢聚时光。
104,呼呼，本来就很好吃的饭菜\n大家一起吃就更美味了！\n对吧，姬塔！
103,哈啊～，渔夫爷爷\n烤的鱿鱼，真好吃啊……！
102,（唉……这种情况\n一时半会儿好不了了……）
101,……不，不用\n拿那么多。
100,是、是的！\n交给我吧！
99,喂，露娜露。\n把那边的盘子递给我。
98,鱼板，是吗？\n名字真有趣啊！
97,啊，那是鱼糜。\n有很多种类，\n那种叫做鱼板。
96,爷爷带回来的土特产，\n这个白色的、软软的是什么？\n甜甜的，很好吃～！
95,……还剩一些！\n如果可以的话，请\n再吃一碗吧。
94,哪里的话，准备不足还\n这么努力，真是辛苦了。\n这可真好吃啊！
93,那个，\n是不是太自作主张了……？
92,哦，是你们\n做的这个咖喱啊！
91,在卡塔库里的慰劳下，\n大家把剩下的菜摆在桌子上，\n开始吃晚餐。
90,抱歉回来晚了。\n谢谢你们帮忙看店。
89,渔夫爷爷，你回来啦！
88,到了关店时间，姬塔等人\n开始收拾海之家的时候，\n卡塔库里回来了。
87,啊，谢谢！
86,呵呵，辛苦了。\n要喝水吗？
85,哈啊……！\n好、好累啊……！
84,……看来，客人\n也渐渐少了。
78,姬塔等人做的鱼肉咖喱\n很受欢迎，销量\n不亚于其他菜品。
76,好的！\n马上就来！
75,喂——，这边也\n来份咖喱吧？
74,呼……
73,嘿～，是稀有的咖喱啊！\n嗯，这个也很好吃！
72,是的！\n今天是特制的鱼肉咖喱。
71,玩得肚子饿的时候\n咖喱的味道真是太棒了～\n啊呜……嗯？和平时的味道不一样？
70,正如赫尔艾斯所说，\n虽然不如中午那么多，\n但海之家的客人开始增多了。
69,从中午也过了一段时间了，\n应该又会有客人\n来休息了。来得及真是太好了。
68,哇～，看起来好好吃！
67,……做好了！\n完成了，\n海之家特制鱼肉咖喱！
66,姬塔等人\n在海上钓到的鱼，\n蕾·芬耶等人继续烹饪。
59,姬塔赞同碧的话，\n留下几个同伴在海之家，\n出发去钓鱼了。
58,姬塔，让认识的渔夫\n大叔们出海吧！
57,没有卖的话就钓就好了！\n我们赶快去钓点鱼\n回来就行了。
56,但是，我记得这附近\n市场只在清晨开放吧……？
55,既然如此，就要赶快\n弄到鱼才行。
54,反而，那样\n更有特色也说不定。
53,这里是<span class='scene-font-place'>奥古斯特</span>，\n用鱼肉代替肉做咖喱\n也可以吧！
52,……就是这个！\n赫尔艾斯小姐，好主意！！
51,咖喱有很多种类。\n不一定要用肉吧？
50,诶？
49,芬耶小姐。\n咖喱一定，\n要用肉做吗？
48,这可怎么办啊～……\n呜，该怎么办……
47,但是啊，肉都是早上在市场\n采购的。\n这附近有肉店吗……？
46,那个，库姆优去跑一趟\n买肉回来吧？
45,没有肉了……！？　我竟然，\n没有事先确认，\n真是太失误了……
44,嗯～，没有呢……\n可能是卡塔库里先生用完了。
43,姬塔应蕾·芬耶的要求，\n去找肉，但是……
42,姬塔小姐，\n能帮我拿一下肉吗？
41,呵呵，洋葱也变成焦糖色了，\n把蔬菜炒一下，嗯……
40,哇，好香啊～！
34,好！\n交给我吧。
33,……谢谢。
32,库姆优也要帮忙！
31,这么多一个人做很辛苦吧。\n我已经做完了，\n我来帮你吧，帕西瓦尔先生。
30,我现在正集中精力切碎洋葱，\n不要随便和我说话。
29,胡、胡说！\n我才没有哭。
28,呜……怎么了，姬塔……\n我的脸上有什么东西吗？\n嗯？……我不可能哭啊。
27,……呜……
26,嗯，首先要炒洋葱。\n洋葱是帕西瓦尔负责的吧。\n切好了吗？
25,露娜露开始帮忙帕西瓦尔进行作业。
24,啊，那个，我来帮你剥剩下的洋葱皮吧！
23,可恶……\n我竟然如此失策。
22,（原来如此……真正的骑士，\n这种事情都不知道啊……）
21,什么……？\n这里还是皮吧！
20,现在剥的白色部分，是用来吃的。
19,那个……洋葱的皮，只有褐色的部分才是……
18,…………什么？
17,那个，我想那个皮应该已经剥完了。
16,（削皮……？\n嗯，可是……）
15,……怎么了。\n我现在正忙着削皮呢。\n……可恶，怎么都剥不完……
14,那、那个……
13,…………
12,呜……终、终于让他清醒过来了……
11,帕西瓦尔默默地继续剥着洋葱皮。
10,…………
9,……皮……\n这东西，用手就能剥掉吧。
8,帕西瓦尔看着大家开始削皮，拿起了一个洋葱。
7,那我们就来削胡萝卜皮吧。
6,来吧，首先把土豆皮削掉吧！
5,如果做过点心的话，应该没问题吧。妈妈说过做点心更难！
4,希望我不会拖大家的后腿……
3,……真伤脑筋。虽然我经常做点心，但日常的饭菜却不太会做……
2,那么，首先要削蔬菜皮呢。
1,姬塔等人听从蕾·芬耶的指示，开始了咖喱的制作。
0,蕾·芬耶提议要自己制作售罄的咖喱，提供给顾客。
0-synopsis,在蕾·芬耶的指挥下，姬塔等人开始了咖喱的制作，但在中途发现厨房里没有肉了。在赫尔艾斯的提议下，决定做「鱼肉咖喱」，做好的咖喱获得了不亚于卡塔库里咖喱的好评。晚上，回到海之家的卡塔库里向姬塔等人道谢，并款待了他们晚餐。众人一边品尝着料理，一边享受着融洽的欢乐时光。
0-chapter_name,大海的热销商品
