id,trans
filename,scene_evt191128_cp0_q3_s10
translator,Gemini
info,scene_evt191128_cp0_q3_s10
224,　\n　\n　　　　　　　　　　　　　　──End.
219,比赛开始啦啊啊啊！！
202,信号灯马上就要亮起来了！！
201,女士们，先生们！\n各位观众朋友们！\n<span class='scene-font-4'>准备好了吗—！？</span>
195,我已经累趴下了……
194,呵呵，姬塔也\n完全迷上竞速大赛了呢。
193,……嗯？\n等等，姬塔！\n你该不会也要准备参赛吧！
192,啊哈哈……\n大家真的很喜欢竞速大赛呢。
191,喂喂喂，你是认真的吗……\n你还想飞啊？
190,等等！\n我的竞速艇都坏了！？\n这不公平！
189,哦哦！\n你说得对！
188,这可是千载难逢的宝贵\n机会啊。能不能再\n重新举办一次比赛呢？
187,虽然那也算是一种乐趣，\n但好不容易来到尼姆姆什的赛道，\n结果却变成这样……
186,嗯？\n确实如此呢。
185,因为那台奇怪的机器，\n比赛时的天气\n也变得乱七八糟的，对吧？
184,对了，说到这个……
183,真是的……我们\n明明是来这岛上参加竞速大赛的，\n结果却发生了这么多事。
182,呵呵，虽然发生了很多事，\n但总算是告一段落了呢。
181,你小子……你这副惹人厌的嘴脸\n让我想起了夸克那家伙，\n越看越让人火大！
180,好啦好啦。\n冷静一点，\n马蒂先生。
179,你笑什么笑！
178,<span class='scene-font-4'>啊啊哈哈哈！</span>\n说得好，菲尔。
177,……哈。\n露出真面目了吧。
176,能得到您的关注，\n真是我的荣幸。
175,对一个小孩子，\n你还真是穷追不舍啊，\n马蒂先生。
174,<span class='scene-font-4'>喂，小鬼！</span>\n这家伙可是要由我来打败的！\n你还早个一百年呢！！
173,<span class='scene-font-4'>哈哈哈！</span>\n我会等着你的，菲尔。
172,菲尔像是放下了什么似的\n斩钉截铁地说道。
171,然后，我会到达<span class='scene-font-spword'>「那个地方」</span>的。\n绝对。
170,我也会从这里重新\n站起来的。
169,……少给我说这种大话。
168,……不过，\n虽然很不甘心，但这次我\n就乖乖接受你的说法吧。
167,什……！\n我才没有被吓尿裤子呢！？
166,哼……话说回来，那边的臭小子\n还活着吗？\n没被吓尿裤子吧？
165,哼……我知道。\n我随时奉陪。
164,我之前就说过了，\n这一切都是为了让我亲手\n把你打个落花流水！
163,现在是说这种话的时候吗？
162,……多亏了马蒂。\n真是帮大忙了。
161,不过，大家都能平安回来\n真是太好了！
160,我已经累瘫了……
159,呼～……真是的。\n我还以为会发生什么事呢。
158,由于以修库鲁多停止运转，岛外的\n暴风雨已经停歇，他们受到了\n许多面带安心笑容的人们的迎接。
157,姬塔一行人\n虽然个个伤痕累累，但都平安无事地\n回到了港口。
156,啊，露莉亚小姐……\n您没有受伤吧？
155,<span class='scene-font-4'>啊—！</span>\n他们回来啦—！
140,────！！
138,啊啊啊啊啊啊啊！！
137,噢噢噢噢噢噢！！
136,可恶……！
135,他的目光，直视着遥远天际\n那闪耀着银白色光芒的地平线。
134,原来已经这么远了啊……
133,菲尔紧紧握着\n烟枪凯西号的操纵杆。
132,这就是那些人所看到的景色……
131,说话的话小心咬到舌头哦。
130,呼、呼、呼呼呼……\n这速度太快了，已经……！
126,冲啊ーーー！！
116,我们也跟上！
106,别想用那台破破烂烂的机器\n跑到我前面去啊啊啊啊！
104,噢噢噢噢噢！
95,就由我来开路！
94,正合我意！多亏了之前\n一直没有发挥用武之地，\n现在我的氮气加速也还留着呢！
93,快点！风墙上的洞要\n合上了！
91,夜巡者号、蓝天疾驰号\n以及凯撒·赫尔沙夫特号三架机器\n起飞后立刻提升至最高速度。
87,就是现在！\n上吧！！
73,巴哈姆特！
72,黑暗之炎之子……\n汝之名为……
70,好耶！\n拜托你了，露莉亚！
66,但打开一个突破口应该没问题！
65,这次的龙卷风比那次\n要大得多，所以我想应该不可能\n完全消除掉……
53,充填完毕！瞄准完毕！\n……发射！！
50,发现龙卷风！\n距离，大约1100米！
47,我们从船坞出发时，希洛先生\n用巨型飞碟\n做的那招……
46,怎么了？露莉亚。
45,……那个！\n<span class='scene-font-4'>让我来！</span>
43,也就是说，比马蒂来的时候\n还要厚……
42,随着漩涡的收缩，\n风墙好像也变得越来越厚了……
41,……好厚的风啊。\n真的能突破吗？
40,<span class='scene-font-4'>哇哦！</span>\n风墙马上就要到眼前了！
33,一行人分别登上自己的竞速艇，\n做好了准备。
32,……我知道了。
31,喂，小鬼，\n这种小事你总该自己能做到吧？
30,知道了就赶紧的！\n虽然说是牵引，\n但为了以防万一，你还是握好操纵杆吧。
29,毕竟他可是把蓝天疾驰号\n一路牵引到这儿来的。
28,……确实，和这里比起来，\n马蒂的力量\n可是鹤立鸡群的。
27,那个，\n是拴到凯撒·赫尔沙夫特号上吗？
26,我知道！\n赶紧把它拴到后面去！
25,啊？\n可是这台机器……
24,剩下的三个人就一起坐那台机器吧。
23,问题是烟枪凯西号……
22,这边也没问题！
20,姬塔小姐认同地点了点头，\n也立刻开始确认夜巡者号的状态。
19,剩下的就只有那堵风墙了……\n我以我的技术和尊严发誓，\n一定会飞过去的。
18,……确实已经到极限了。\n但我们又不是要像来的时候那样\n在暴风雨中飞行。
17,蓝天疾驰号\n不是已经到极限了吗？\n真的没问题吗？
16,……太好了，还能飞。
15,缪恩确认蓝天疾驰号已经脱离凯撒·赫尔沙夫特号的牵引，松了一口气。
14,……蓝天疾驰号应该可以。
13,别说那些了，\n还能飞吗？
12,<span class='scene-font-4'>哈！</span>\n不然还能怎么着。
11,……你是说\n你突破了风墙？
10,那种事情，\n当然是飞过来的啦！
9,然后，是怎么来的来着……\n是来着？
8,这岛上有个技术高超的科学家。\n想让MMF复活的话，\n他可是帮了大忙啊。
7,<span class='scene-font-4'>你才！？</span>\n都说啦我不是蜥蜴……
6,你这只吵死了的蜥蜴！
5,你怎么又和机器合体了啊？\n你是怎么到这儿来的！？
4,喂喂喂！\n这到底是什么情况啊！？\n我想问的事情可多着呢！？
3,喂你们这些家伙！\n磨磨蹭蹭地干什么呢！\n出发准备做好了吗！？
2,一行人惊讶地发现，凯撒·赫尔沙夫特号停在了他们面前。
0-synopsis,所有人分别登上蓝天疾驰号、夜巡者号，以及由凯撒·赫尔沙夫特号牵引的烟枪凯西号。接着，露莉亚召唤出巴哈姆特，在厚实的风墙上打开一个缺口，一行人总算平安回到了大家等待的港口。之后，在缪恩的号召下，尼姆姆什岛的比赛再度拉开帷幕。
0-chapter_name,结局
